"StudyID","XML_FileName","Lat","Long","Altitude","terrain","note"
"CANA323","noaa-tree-13755.xml",56,-60,-33,-35,"reported below sea level"
"AK112","noaa-tree-13705.xml",60.5,-146,0,111,"reported exactly 0 m"
"AK114","noaa-tree-13707.xml",56,-132,0,145,"reported exactly 0 m"
"AK158","noaa-tree-23054.xml",56.2301,-131.9479,0,237,"reported exactly 0 m"
"MO1","noaa-tree-3451.xml",37.13,-91.2,0,239,"reported exactly 0 m"
"MO2","noaa-tree-3452.xml",37.12,-91.48,0,290,"reported exactly 0 m"
"BRIT030","noaa-tree-3489.xml",55,-2,0,163,"reported exactly 0 m"
"BRIT035","noaa-tree-3492.xml",53.75,-2,0,305,"reported exactly 0 m"
"BRIT029","noaa-tree-3493.xml",51.75,-2,0,170,"reported exactly 0 m"
"BRIT032","noaa-tree-3494.xml",53.5,-1.5,0,122,"reported exactly 0 m"
"BRIT033","noaa-tree-3495.xml",53.5,-1.5,0,122,"reported exactly 0 m"
"BRIT3","noaa-tree-3496.xml",51,-3.83,0,119,"reported exactly 0 m"
"BELG001","noaa-tree-3499.xml",50.17,5.75,0,438,"reported exactly 0 m"
"BELG003","noaa-tree-3501.xml",50.5,5.25,0,162,"reported exactly 0 m"
"BELG004","noaa-tree-3502.xml",50.47,4.87,0,123,"reported exactly 0 m"
"NETH014","noaa-tree-3630.xml",50.87,6.07,0,139,"reported exactly 0 m"
"FRAN029","noaa-tree-3853.xml",46.25,4,0,269,"reported exactly 0 m"
"FRAN030","noaa-tree-3854.xml",46.83,6.25,0,963,"reported exactly 0 m"
"TX043","noaa-tree-4838.xml",31.45,-96.2,0,157,"reported exactly 0 m"
"NM562","noaa-tree-5081.xml",32.7,-106.35,0,1215,"reported exactly 0 m"
"NM553","noaa-tree-5091.xml",32.72,-106.37,0,1204,"reported exactly 0 m"
"OR033","noaa-tree-5229.xml",45.28,-118.57,0,1341,"reported exactly 0 m"
"OR031","noaa-tree-5231.xml",45.47,-118.2,0,1385,"reported exactly 0 m"
"OR032","noaa-tree-5234.xml",45.12,-117.02,0,1637,"reported exactly 0 m"
"TURK035","noaa-tree-5510.xml",37,34.5,0,1113,"reported exactly 0 m"
