"file","series","year","category","check","evidence"
"asia/kyrg014.rwl",NA,NA,"Can't be read at all","conflicting precision flags in one series","In data_files/treering/measurements/asia/kyrg014.rwl, core(s) kok3a have different precision flags."
"europe/brit048i-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/brit048i-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: more columns than column names | read.tucson2: subscript out of bounds"
"europe/brit048t-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/brit048t-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: more columns than column names | read.tucson2: subscript out of bounds"
"europe/brit049i-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/brit049i-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: more columns than column names | read.tucson2: subscript out of bounds"
"europe/brit049t-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/brit049t-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: more columns than column names | read.tucson2: subscript out of bounds"
"europe/bulg002i-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/bulg002i-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: precision unknown in series 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981 | read.tucson2: subscript out of bounds"
"europe/bulg002t-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/bulg002t-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: precision unknown in series 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1981 | read.tucson2: subscript out of bounds"
"europe/roma004i-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/roma004i-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: more columns than column names | read.tucson2: subscript out of bounds"
"europe/roma004t-noaa.rwl",NA,NA,"Can't be read at all","NOAA template file with a .rwl extension","this is a NOAA Template text file, not a Tucson decadal file; anything reading *.rwl will mis-parse it"
"europe/roma004t-noaa.rwl",NA,NA,"Can't be read at all","unreadable by either reader","read.tucson: more columns than column names | read.tucson2: subscript out of bounds"
"africa/mar047.rwl",NA,NA,"Readers disagree","readers return different values","9 non-zero value(s) read.tucson2 refused as ambiguous"
"africa/mar047.rwl","TIZ19A",1900,"Readers disagree","value shifted out of column","line 313 field(s) 9 10 = '3   10' '4   11'"
"asia/bt006.rwl","CAMPS12B",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 456 year(s)"
"asia/chin037.rwl","GKM3_13a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 577 year(s)"
"asia/chin067.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"asia/chin069.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson failed; read.tucson2 read it"
"asia/japa018.rwl","YKCrw11a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 410 year(s)"
"asia/japa018.rwl","YKCrw27b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 406 year(s)"
"asia/japa018.rwl","YKCrw32b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 114 year(s)"
"asia/japa018x.rwl","mx11a",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 410 year(s)"
"asia/japa018x.rwl","mx27b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 406 year(s)"
"asia/japa018x.rwl","mx32b",2000,"Readers disagree","series ID reused with overlapping years","stop marker ends a line at 2000 but the ID continues; blocks overlap by 114 year(s)"
"asia/kyrg014.rwl",NA,NA,"Readers disagree","only one reader can open it","read.tucson read it; read.tucson2 failed"
"asia/mng044.rwl",NA,NA,"Readers disagree","readers return different values","10 non-zero value(s) read.tucson2 refused as ambiguous"
"asia/mng044.rwl","KLL3093x",1300,"Readers disagree","value shifted out of column","line 3390 field(s) 3 4 = '9  111' '0  774'"
