"file","category","n_findings","checks","species","n_series","n_cells","yr_first","yr_last"
"asia/kyrg014.rwl","Can't be read at all",14,"conflicting precision flags in one series; file mixes precision flags across series; interior year gap; negative ring width; one ID carries two separate segments; only one reader can open it","Picea schrenkiana Fisch. & C.A. Mey.",34,9054,1551,2005
"europe/brit048i-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/brit048t-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/brit049i-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/brit049t-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/bulg002i-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/bulg002t-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/roma004i-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"europe/roma004t-noaa.rwl","Can't be read at all",2,"NOAA template file with a .rwl extension; unreadable by either reader","--------",NA,NA,NA,NA
"northamerica/canada/cana540.rwl","Readers disagree",25,"ID fills all 8 columns; interior year gap; series ID reused with overlapping years","Picea glauca (Moench) Voss",92,15382,1618,2007
"southamerica/arge141.rwl","Readers disagree",20,"blank inside series ID; ID fills all 8 columns; interior year gap; one ID carries two separate segments; series ID reused with overlapping years; stop marker mid-series, series continues immediately","Nothofagus pumilio (Poepp. & Endl.) Reiche",157,36848,1546,2011
"northamerica/usa/nv520.rwl","Readers disagree",18,"interior year gap; one ID carries two separate segments; one ID starts a second block","Pinus longaeva D.K. Bailey = Pinus aristata var. longaeva",210,94640,-2649,2002
"northamerica/usa/co691.rwl","Readers disagree",17,"embedded tab; interior year gap; one ID carries two separate segments","Pinus ar",38,19752,-364,2007
"australia/newz018.rwl","Readers disagree",16,"interior year gap; one ID carries two separate segments; one ID starts a second block; series ID reused with overlapping years","Libocedrus bidwillii Hook. f.",40,14668,1256,1976
"australia/newz062.rwl","Readers disagree",16,"interior year gap; one ID carries two separate segments; one ID starts a second block; series ID reused with overlapping years","Libocedrus bidwillii Hook. f.",56,18455,1256,1992
"northamerica/usa/ut542.rwl","Readers disagree",16,"interior year gap; one ID carries two separate segments; series ID reused with overlapping years","Juniperus osteosperma (Torr.) Little",43,14703,1338,2012
"southamerica/arge021.rwl","Readers disagree",15,"interior year gap; one ID carries two separate segments; one ID starts a second block","Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri",29,8185,1418,1975
"australia/ausl028.rwl","Readers disagree",14,"interior year gap; one ID carries two separate segments; one ID starts a second block; stop marker mid-series, series continues immediately","Phyllocladus aspleniifolius (Labill.) Hook. f.",48,10827,1467,1994
"australia/newz063.rwl","Readers disagree",14,"ID fills all 8 columns; interior year gap; one ID carries two separate segments; one ID starts a second block; series ID reused with overlapping years","Libocedrus bidwillii Hook. f.",63,22691,1140,1992
