"file","series","first","last","span","n","n_zero","med","min","max","out_z","out_val","out_year","n_series","med_span","n_short","frac_short","n_overlap","r","report","tier"
"asia/tha025.rwl","ma040B",1964,1967,4,4,0,11.915,6.93,16.24,1.59300730138531,6.93,1966,256,30,4,0.015625,4,NA,TRUE,"investigate"
"europe/germ4.rwl","048052",1960,1964,5,5,0,0.65,0.51,0.76,1.43583874966569,0.51,1962,25,168,1,0.04,4,NA,TRUE,"investigate"
"europe/swit277.rwl","BRE50112",1990,1993,4,4,0,3.005,2.18,4.14,0.871623748619137,4.14,1991,294,55,45,0.153061224489796,4,NA,TRUE,"investigate"
"europe/swit277.rwl","BRE50114",1990,1993,4,4,0,2.71,1.72,3.43,1.34204489397758,1.72,1992,294,55,45,0.153061224489796,4,NA,TRUE,"investigate"
"europe/swit277.rwl","BRE50116",1990,1993,4,4,0,2.595,1.73,3.19,1.28236054123016,1.73,1992,294,55,45,0.153061224489796,4,NA,TRUE,"investigate"
"europe/swit277.rwl","BRE50118",1990,1993,4,4,0,2.8,1.92,3.62,0.91557253844099,1.92,1992,294,55,45,0.153061224489796,4,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA35082",1991,1993,3,3,0,3.31,2.02,5.09,0.774052463473463,2.02,1992,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA35084",1991,1993,3,3,0,3.15,2.33,5.18,1.1126216401186,5.18,1993,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA35086",1991,1993,3,3,0,3.31,2.02,5.11,0.767062261389285,2.02,1992,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA35088",1991,1993,3,3,0,3.04,2.96,5.35,14.2959719813475,5.35,1993,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA38082",1991,1993,3,3,0,4.04,2.52,5.15,1.31142081008582,2.52,1992,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA38084",1991,1993,3,3,0,3.53,2.02,4.65,1.36626582847411,2.02,1992,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA38086",1991,1993,3,3,0,3.83,2.59,4.16,3.19255404948235,2.59,1992,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit285.rwl","GRA38088",1991,1993,3,3,0,3.1,2.54,4.41,1.19324356027011,4.41,1993,324,68,36,0.111111111111111,3,NA,TRUE,"investigate"
"europe/swit290.rwl","LAS02092",1989,1992,4,4,0,3.035,1.19,4,2.47920949400253,1.19,1990,303,53,24,0.0792079207920792,4,NA,TRUE,"investigate"
"europe/swit290.rwl","LAS02094",1989,1992,4,4,0,2.775,1.28,3.46,2.5655350865346,1.28,1990,303,53,24,0.0792079207920792,4,NA,TRUE,"investigate"
"europe/swit290.rwl","LAS02096",1989,1992,4,4,0,2.74,1.16,3.73,1.77841576610585,1.16,1990,303,53,24,0.0792079207920792,4,NA,TRUE,"investigate"
"europe/swit290.rwl","LAS02098",1989,1992,4,4,0,2.89,1.1,4.56,1.91579075841648,1.1,1990,303,53,24,0.0792079207920792,4,NA,TRUE,"investigate"
"europe/swit312.rwl","C1-199",1948,1951,4,4,0,3.145,2.59,4.43,2.06666166551392,4.43,1948,421,23,41,0.0973871733966746,4,NA,TRUE,"investigate"
"europe/swit312.rwl","C1-380",1947,1950,4,4,0,5.08,4.01,7.31,1.27412144967124,7.31,1947,421,23,41,0.0973871733966746,4,NA,TRUE,"investigate"
"europe/swit313.rwl","C2-156",1946,1949,4,4,0,4.86,3.19,8.52,1.27306119837368,8.52,1947,452,31,40,0.0884955752212389,4,NA,TRUE,"investigate"
