# Esper - Tazzeka MTAZ - CDAT - ITRDB MAR052
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42145
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42145.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/mar052-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/africa/mar052.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/mar052.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Tazzeka MTAZ - CDAT - ITRDB MAR052
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Tazzeka MTAZ
#   Location: Morocco
#   Northernmost_Latitude: 34.083333
#   Southernmost_Latitude: 34.083333
#   Easternmost_Longitude: 4.183333
#   Westernmost_Longitude: 4.183333
#   Elevation_m: 1800
#--------------------
# Data_Collection
#   Collection_Name: MAR052
#   First_Year: 1846
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Cedrus atlantica (Endl.) Manetti ex Carrière
#   Common_Name: Atlantic cedar
#   Tree_Species_Code: CDAT
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## mtaz01a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz01a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz01b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz01b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz02a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz02a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz02b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz02b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz03a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz03a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz03b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz03b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz03c1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz03c1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz04a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz04a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz04b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz04b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz05a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz05a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz05b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz05b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz06a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz06a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz06b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz06b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz07a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz07a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz07b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz07b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz08a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz08a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz08b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz08b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz09a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz09a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz09b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz09b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz10a1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz10a1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## mtaz10b1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: mtaz10b1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	mtaz01a1_raw	mtaz01b1_raw	mtaz02a1_raw	mtaz02b1_raw	mtaz03a1_raw	mtaz03b1_raw	mtaz03c1_raw	mtaz04a1_raw	mtaz04b1_raw	mtaz05a1_raw	mtaz05b1_raw	mtaz06a1_raw	mtaz06b1_raw	mtaz07a1_raw	mtaz07b1_raw	mtaz08a1_raw	mtaz08b1_raw	mtaz09a1_raw	mtaz09b1_raw	mtaz10a1_raw	mtaz10b1_raw
1835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.77	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.49	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.69	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.51	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.47	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.31	NA	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.44	1.65	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	4.6	4.58	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	0.34	NA	NA	NA	NA	NA	NA	NA	NA	3.08	3.23	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA	4.69	4.83	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA	NA	NA	NA	6.33	6.14	NA	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	1.12	NA	NA	NA	NA	NA	NA	NA	NA	5.99	5.83	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	7.01	0.81	NA	NA	NA	NA	NA	NA	NA	NA	5.69	5.83	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	5.82	0.86	NA	NA	NA	NA	NA	NA	NA	NA	2.59	3.66	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	6.07	0.32	NA	NA	NA	NA	NA	NA	NA	NA	2.55	3.04	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	5.64	0.31	NA	NA	NA	NA	NA	NA	NA	NA	4.11	4.49	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	6.91	0.65	NA	NA	NA	NA	NA	NA	NA	NA	5.55	6.21	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	5.81	0.92	NA	NA	NA	NA	NA	NA	NA	NA	2.33	3.1	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	6.5	1.34	NA	NA	NA	NA	NA	NA	NA	NA	1.12	0.83	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	4.64	1.04	NA	NA	NA	NA	NA	NA	NA	NA	1.79	0.91	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	4.87	1.15	NA	NA	NA	NA	NA	NA	NA	NA	2.8	1.78	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	5.09	1.84	NA	NA	NA	NA	8.38	6.66	NA	NA	2.89	2.35	NA	3.84	NA	NA	NA	NA
1862	NA	NA	NA	5.32	1.24	NA	NA	NA	NA	7.72	7.53	NA	NA	2.17	2.03	NA	3.09	NA	NA	NA	NA
1863	NA	NA	NA	5.34	0.55	NA	NA	NA	NA	6.26	8.25	NA	NA	0.68	0.51	NA	1.8	NA	NA	NA	NA
1864	NA	NA	NA	4.69	0.34	NA	NA	NA	NA	3.6	3.56	NA	NA	0.41	0.28	NA	1.96	NA	NA	NA	NA
1865	NA	NA	NA	4.57	0.49	NA	NA	NA	NA	4.72	4.38	NA	NA	0.7	0.63	NA	1.08	NA	NA	NA	NA
1866	NA	NA	NA	6	0.78	NA	NA	NA	NA	5.63	4.25	NA	NA	1.67	1.61	NA	2.57	NA	NA	NA	NA
1867	NA	NA	NA	6.84	1.14	NA	NA	NA	NA	7.36	5.87	NA	NA	3.49	3.06	NA	4.01	NA	NA	NA	NA
1868	NA	NA	NA	6.43	1.16	NA	NA	NA	NA	6.95	6.42	NA	NA	3.55	3.27	NA	5.1	NA	NA	NA	NA
1869	NA	NA	NA	5.15	1	NA	NA	NA	NA	6.9	6.58	NA	NA	3.73	3.08	NA	3.23	NA	NA	NA	NA
1870	NA	NA	NA	6.04	0.69	NA	NA	NA	NA	6.86	7.04	NA	NA	4.35	3.99	4.58	3.26	NA	NA	NA	NA
1871	NA	NA	NA	6.41	0.83	NA	NA	NA	NA	6.84	7.33	NA	NA	4.36	4.02	3.85	2.9	NA	NA	NA	NA
1872	NA	NA	NA	5.72	0.44	NA	NA	NA	NA	6.91	6.5	NA	NA	2.5	2.77	1.37	1.21	NA	NA	NA	NA
1873	NA	NA	NA	5.1	0.46	2.67	NA	NA	NA	6.09	6.14	NA	NA	3.35	3.78	2.89	2	NA	NA	NA	NA
1874	NA	NA	NA	5.62	1.05	2.91	NA	NA	NA	6.81	6.03	NA	NA	3.22	4.76	2.59	2.81	NA	NA	NA	NA
1875	NA	NA	NA	5.71	1.04	2.47	3.33	NA	NA	6.15	4.86	NA	NA	3.56	5.05	4.94	4.35	NA	NA	NA	NA
1876	NA	NA	NA	5.29	1.1	2.77	4.44	NA	NA	5.81	5.09	NA	NA	3.23	4.98	4.13	4.13	NA	NA	NA	NA
1877	NA	NA	NA	4.99	1.54	2.48	3.11	NA	NA	6.15	5.27	NA	NA	3.15	4.79	4.76	4.51	NA	NA	NA	NA
1878	NA	NA	NA	3.25	1.33	1.15	3.34	NA	NA	6.22	4.88	NA	NA	2.72	5.14	5.9	4.83	1.85	NA	NA	NA
1879	NA	NA	NA	1.81	0.69	0.38	1.24	NA	NA	4.24	2.71	NA	NA	0.89	2.24	2.41	1.9	1.9	NA	NA	NA
1880	NA	NA	NA	2.2	1.35	0.67	1.73	NA	NA	4.53	3.42	NA	NA	1.33	2.74	2.65	2.78	3.63	NA	NA	NA
1881	NA	NA	NA	2.49	1.99	1.25	2.66	NA	NA	4.83	4.53	NA	NA	1.95	3.03	7.5	7.18	4.01	NA	NA	NA
1882	NA	8.52	NA	2.15	1.98	1.47	3.4	NA	NA	4.74	4	NA	NA	1.77	2.79	5.95	6.9	3.29	NA	NA	NA
1883	NA	9.9	NA	2.24	2.16	3.02	4.28	4.28	NA	4.51	4.33	NA	NA	2.35	3.11	6.63	7.66	3.17	NA	NA	NA
1884	NA	9.11	NA	1.88	1.75	3.34	4.17	2.62	NA	4.05	3.94	NA	NA	2.27	2.89	5.09	5.91	2.82	NA	NA	NA
1885	NA	7.75	NA	1.36	1.41	3.06	3.39	2.21	NA	3.61	3.45	NA	NA	2.05	2.4	3.81	4.46	1.8	NA	NA	NA
1886	NA	6.01	NA	0.96	1.24	2.82	2.49	1.01	NA	3.28	3.22	NA	NA	1.94	1.93	4.07	4.02	1.02	NA	NA	NA
