# Maxwell - Sunderbans - SOAP - ITRDB BGD005
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40440
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40440.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/bgd005-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/bgd005.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/bgd005.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Maxwell - Sunderbans - SOAP - ITRDB BGD005
#--------------------
# Investigators
#   Investigators: Maxwell, Justin; Harley, Grant
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = SOAPE_BAN_01
#--------------------
# Publication
#   Authors: Maxwell, Justin T.; Grant L. Harley; Abdullah F. Rahman
#   Published_Date_or_Year: 2018
#   Published_Title: Annual Growth Rings in Two Mangrove Species from the Sundarbans, Bangladesh Demonstrate Linkages to Sea-Level Rise and Broad-Scale Ocean-Atmosphere Variability
#   Journal_Name: Wetlands
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1007/s13157-018-1079-5
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Sunderbans
#   Location: Bangladesh
#   Northernmost_Latitude: 22.562933
#   Southernmost_Latitude: 22.562933
#   Easternmost_Longitude: 90.270297
#   Westernmost_Longitude: 90.270297
#   Elevation_m: 2.0
#--------------------
# Data_Collection
#   Collection_Name: BGD005
#   First_Year: 1929
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Sonneratia apetala Banks
#   Common_Name: Sonneratia apetala
#   Tree_Species_Code: SOAP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SMS01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS23S_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS23S; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS23B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS23B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS25B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS25B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SMS26B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SMS26B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SMS01_raw	SMS02A_raw	SMS03A_raw	SMS06B_raw	SMS08A_raw	SMS09A_raw	SMS11A_raw	SMS12A_raw	SMS12B_raw	SMS13A_raw	SMS14A_raw	SMS14B_raw	SMS16B_raw	SMS23S_raw	SMS23B_raw	SMS25A_raw	SMS25B_raw	SMS26B_raw
1929	NA	NA	NA	NA	NA	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1930	NA	NA	NA	NA	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1931	NA	NA	NA	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1932	NA	NA	NA	NA	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1933	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1934	NA	NA	NA	NA	NA	1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1935	NA	NA	NA	NA	2.27	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1936	NA	NA	NA	NA	2.03	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1937	NA	NA	NA	NA	0.97	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1938	NA	NA	NA	NA	1.92	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1939	NA	NA	NA	NA	1.2	1.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1940	NA	NA	NA	NA	3.51	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1941	NA	NA	NA	NA	1.16	1.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1942	NA	NA	NA	2.86	1.24	1.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1943	NA	NA	NA	3.38	1.83	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1944	NA	NA	NA	2.39	1.66	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1945	NA	NA	NA	1.22	1.73	2.18	NA	NA	NA	NA	NA	1.32	NA	NA	NA	NA	NA	NA
1946	NA	NA	NA	0.66	0.44	1.25	NA	NA	NA	NA	NA	2.94	NA	NA	NA	NA	NA	NA
1947	NA	NA	NA	0.43	1.21	2.11	NA	NA	NA	NA	NA	3.18	NA	NA	NA	NA	NA	NA
1948	NA	NA	NA	1.39	1.34	2.4	NA	NA	NA	NA	NA	1.62	NA	NA	NA	NA	NA	NA
1949	NA	NA	NA	1.07	1.38	1.52	NA	NA	NA	NA	NA	2.31	NA	NA	NA	NA	NA	NA
1950	NA	NA	NA	3.12	1.35	1.57	NA	NA	NA	NA	NA	3.52	NA	NA	NA	NA	NA	NA
1951	NA	NA	1.41	1.41	1.26	1.2	NA	NA	NA	NA	NA	2.72	NA	NA	NA	NA	NA	NA
1952	NA	NA	0.94	2.02	0.94	0.82	NA	NA	NA	NA	1.25	0.73	NA	NA	NA	NA	NA	NA
1953	NA	NA	1.41	1.68	1.14	1.76	NA	NA	NA	NA	1.94	1.91	NA	NA	NA	0.56	NA	NA
1954	1.5	NA	1.42	1.49	1	1.09	NA	NA	NA	NA	0.99	0.97	NA	3.21	NA	1.27	NA	NA
1955	1.85	0.88	1.18	1.2	1.25	1.02	NA	NA	NA	NA	1.08	1.37	NA	2.24	NA	0.84	NA	NA
1956	1.55	0.85	1.11	0.96	1.2	0.97	NA	NA	NA	NA	1.21	0.73	NA	1.06	NA	0.93	NA	NA
1957	4.05	1.69	1.96	1.15	1.98	0.66	NA	1.52	NA	NA	1.41	1.98	NA	1.64	NA	0.78	NA	NA
1958	4.77	2.25	3.13	2.5	2.23	1.41	NA	1.98	NA	NA	1.26	2.72	NA	0.83	NA	1.38	NA	NA
1959	2.91	3.2	1.88	1.44	2.22	2.58	NA	1.94	NA	NA	1.27	2.28	NA	1.15	NA	1.78	NA	NA
1960	4.3	3.03	3.28	2.45	2.46	1.65	NA	3.31	NA	NA	1.85	2.02	NA	1.17	5.84	2.38	4.4	NA
1961	3.03	2.24	3.08	1.9	2.57	2.93	NA	2.01	NA	NA	1.69	1.76	NA	0.73	1.8	0.66	5.74	NA
1962	2.8	2.48	3.4	2.69	1.69	1.52	NA	2.11	NA	NA	1.24	1.93	NA	2.64	4.11	0.72	3.12	NA
1963	2.27	1.15	4.01	2.27	2.27	1.33	NA	3.21	NA	NA	1.02	1.13	2.27	3.11	1.91	0.99	3.31	NA
1964	2.98	2.79	2.62	1.22	1.31	1.92	NA	2.22	NA	5.09	1.94	2.37	2.44	3.43	2.98	1.1	1.94	NA
1965	1.63	0.95	2.92	2.17	2.34	2.15	NA	1.43	NA	2.6	1.31	1.37	2.84	0.81	1.72	0.65	1.64	NA
1966	1.66	1.58	2.75	2.15	2.66	0.28	NA	1.85	NA	3.04	0.88	1.47	3.06	2.01	1.84	0.96	2.62	NA
1967	1.46	1.39	3.76	2.57	1.87	1.12	NA	4.49	NA	2.54	1.64	2	2.25	2.44	4.5	1.76	3.32	NA
1968	1.48	1.78	2.08	1.73	1.97	1.57	NA	2.18	NA	0.53	1.02	1.23	1.47	2.32	0.94	0.74	1.83	NA
1969	1.59	1.71	3.4	0.91	1.54	1.02	NA	1.03	NA	0.76	1.09	0.74	1.33	1.29	1.04	0.5	1.5	NA
1970	2.45	1.64	2	1.55	1.15	0.85	NA	2.14	NA	0.59	0.79	1.5	1.57	0.65	0.87	0.48	1.46	NA
1971	2.51	3.01	1.46	1.34	1.79	1.49	NA	2.89	NA	1.03	0.86	1.36	1.13	1.24	1.99	1.62	1.29	2.84
1972	1.82	1.58	1.74	1.69	1.5	2.46	NA	3.29	NA	1.61	1.12	0.93	2.65	1.2	1.12	1.51	0.86	1.89
1973	3.8	3.02	2.62	2.58	1.64	2.28	NA	2.18	NA	3.43	1.26	2.25	0.96	1.14	3.88	1.05	0.76	4.93
1974	1.88	1.31	2.18	1.27	1.64	1.95	NA	2.93	NA	3.43	0.87	0.99	1.24	1.49	0.95	2.45	0.76	4.09
1975	0.88	1.29	2.06	1.19	0.67	0.64	NA	2.18	NA	1.42	1.16	1.78	1.3	1.58	0.92	1.04	0.87	3.14
1976	1.34	0.9	3.02	2.01	1.16	3.58	NA	1.86	NA	2.82	2.54	2.35	4.63	3.22	1.37	1.42	3.02	3.16
1977	1.43	0.99	3.46	1.34	1.68	3.74	NA	1.78	4.24	2.56	0.92	1.55	0.85	1.99	1.9	2	2.12	5.24
1978	0.94	1.82	2.83	1.9	1.75	2.07	NA	1.68	2.28	1.76	1.4	2	1.69	1.25	1.45	1.88	3.42	4.76
1979	1.59	1.55	1.6	1.92	0.84	1.08	NA	1.56	2.67	1.98	1.48	1.17	1.44	1.68	1.32	1.54	3.14	1.29
1980	1.75	3.1	1.87	2.18	1.36	2.06	4.41	3.15	1.22	1.94	1.8	2.11	1.52	1.89	0.71	2.6	3.38	1.27
1981	1.71	2.12	1.04	1.69	2.73	2.89	2.86	2.6	1.14	2.18	1.16	1.06	1.7	1.41	0.91	2.87	2.17	0.9
1982	2.52	4.25	1.62	2.16	3.27	2.23	2.48	2.85	1.34	2.17	1.3	1.15	4.56	1.01	1.15	2.28	3.11	3.4
1983	1.87	3.74	1.46	3.19	3.56	2.68	2.28	1.99	0.64	1.21	0.84	1.68	6.11	1.36	1.26	1.8	1.98	3.02
1984	2.78	2.7	1.43	0.62	2.63	2.32	2.49	1.39	1.24	1.28	0.98	2.33	6.91	1.23	1.94	1.78	4.16	1.91
1985	1.85	2.55	1.02	0.63	2.8	3.32	5	3.56	1.91	1.48	2.03	1.56	5.08	1.59	1.71	1.38	2.92	1.06
1986	1.16	1.56	1.44	0.85	1.46	3.75	2.3	2	1.62	1.07	1.37	1.1	1.64	1.14	2.42	1.68	3.73	1.03
1987	1.34	1.29	0.99	2.48	2.18	2.04	3.82	2.4	1.62	1.06	1.36	2.5	1.78	0.98	2.37	1.59	1.74	1.07
1988	0.84	1.46	0.84	1.43	2	2.86	3.25	2.64	1.95	1.38	2.26	2.39	1.34	1.09	1.3	1.78	5.05	1.43
1989	3.61	1.57	1.14	0.96	1.29	3.34	2.89	2.42	6.76	2.03	2.05	2.22	1.74	1.66	1.28	1.73	2.26	1.25
1990	1.1	1.42	0.97	0.94	1.94	3.1	4.22	2.57	3.95	3.07	1.81	2.38	2.44	1.63	0.99	1.64	2.99	2.85
1991	1.88	0.96	1.05	1.61	1.53	1.4	4.4	2.36	3.28	3.52	1.1	1.4	1.02	1.5	0.81	2.02	1.67	1.12
1992	2.64	1.01	1	0.89	1.98	2.7	4.14	2.04	5.35	2.49	1.1	0.94	1.56	1.27	1.06	2.36	1.81	0.64
1993	2.39	0.83	1.05	1.57	2.34	2.49	4.14	2.26	8.45	2.43	0.64	1.5	2.41	0.99	1.47	2.95	1.45	0.96
1994	1.91	0.5	0.64	0.62	1.86	3.28	1.97	0.91	2.05	1.89	0.5	1.4	1.46	0.62	0.8	0.73	1.31	1.07
1995	1.54	0.6	0.94	1.18	2.13	4.23	3.3	1.11	1.65	2.63	1.09	2.62	1.66	1.44	0.6	1.4	1.77	1.03
1996	0.74	0.76	0.84	1.36	1.32	2.49	2.21	1.07	1.53	1.78	2	1.14	0.98	0.61	1.02	0.93	0.74	1.58
1997	1.77	0.76	1.02	1.18	2.52	3.17	3.62	2.45	2.3	2.63	1.47	2.2	2.34	0.82	1.4	1.65	1.24	1.52
1998	1.34	1.93	1.39	1.62	2.82	1.27	3.72	1.82	1.34	3.65	1.39	2.59	1.14	1.23	2.52	0.68	1.54	1.84
1999	1.27	1.39	1.28	0.84	1.16	3.28	1.97	0.74	1.9	3.62	1.62	2.74	2.37	0.77	1.62	1.18	0.95	1.77
2000	1.36	1.01	0.53	0.82	1.43	NA	1.49	1.12	1.93	2.59	1.25	1.5	0.9	0.96	0.81	1.19	1	1.31
2001	2.94	1.3	0.57	0.9	2.56	NA	1.85	1.27	0.91	2.09	1.16	1.38	0.9	0.81	0.79	1.24	0.96	1.58
2002	1.01	0.51	NA	0.99	0.87	NA	0.78	0.94	1.27	2.79	1.32	1.48	1.14	0.78	1.57	1.38	1.18	1.88
2003	0.79	0.57	NA	1.26	0.9	NA	1.03	1.58	0.61	1.4	1.66	0.7	1.63	1.41	1.86	1.29	1.88	2.55
2004	1.48	0.4	NA	0.88	1.71	NA	1	2.09	0.72	0.99	1.03	1.12	1.67	0.84	2.22	2.63	1.08	1.15
2005	0.83	1.15	NA	1.26	1.08	NA	0.34	1.61	0.49	1.87	0.62	1.68	0.79	NA	1.63	1.06	1.56	1.09
2006	1.62	0.62	NA	1.05	1.24	NA	0.78	NA	0.54	3.32	2.18	1.42	1.47	NA	1.25	1.59	1.37	2.33
2007	0.66	0.53	NA	0.95	NA	NA	0.92	NA	0.94	1.94	0.85	1.25	0.92	NA	1.05	1.8	1.19	1.64
2008	0.44	0.74	NA	0.87	NA	NA	1.32	NA	0.96	3.22	1.97	1.28	1.22	NA	0.96	0.5	1.07	1.89
2009	0.57	0.83	NA	0.88	NA	NA	1.26	NA	0.6	1.79	1.4	0.83	2.01	NA	1.09	0.63	NA	0.99
2010	0.56	0.5	NA	0.98	NA	NA	1.09	NA	0.79	1.5	2.3	1.18	1.62	NA	1.35	1.36	NA	1.8
2011	0.68	NA	NA	1.19	NA	NA	0.9	NA	1.51	1.85	1.85	NA	NA	NA	1.27	0.73	NA	1.08
2012	NA	NA	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.84	0.87	NA	0.59
