# Pumijumnong - Mae Wong Update - TEGR - ITRDB THA028
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40560
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40560.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/tha028-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/asia/tha028.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/tha028.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Pumijumnong - Mae Wong Update - TEGR - ITRDB THA028
#--------------------
# Investigators
#   Investigators: Pumijumnong, Nathsuda
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = TEGRA_THA_07
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Mae Wong
#   Location: Thailand
#   Northernmost_Latitude: 15.813845
#   Southernmost_Latitude: 15.813845
#   Easternmost_Longitude: 99.308639
#   Westernmost_Longitude: 99.308639
#   Elevation_m: 209.0
#--------------------
# Data_Collection
#   Collection_Name: THA028
#   First_Year: 1898
#   Last_Year: 1996
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Tectona grandis L. f.
#   Common_Name: teak
#   Tree_Species_Code: TEGR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MVN2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN2A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN2A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN4A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN4A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN4B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN4B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN3A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN3A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN9C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN9C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN3B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN3B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN9A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN9A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN9B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN9B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN1A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN1A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN1B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN1B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN8A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN8A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN8B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN8B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN7B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN7B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN7A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN7A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN6B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN6B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MVN5A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MVN5A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MVN2B_raw	MVN2A_raw	MVN4A_raw	MVN4B_raw	MVN3A_raw	MVN9C_raw	MVN3B_raw	MVN9A_raw	MVN9B_raw	MVN10B_raw	MVN1A_raw	MVN1B_raw	MVN8A_raw	MVN8B_raw	MVN10A_raw	MVN7B_raw	MVN7A_raw	MVN5B_raw	MVN6B_raw	MVN5A_raw
1898	NA	NA	NA	NA	NA	NA	NA	2.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1899	NA	NA	NA	NA	NA	NA	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1900	NA	NA	NA	NA	NA	NA	NA	1.52	NA	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1901	NA	NA	NA	NA	NA	5.86	NA	4.96	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	8.82	NA	3.28	NA	2.56	NA	NA	NA	NA	NA	NA	NA	NA	5.76	NA
1903	NA	NA	NA	NA	NA	9.47	NA	3.26	NA	6.2	NA	NA	NA	NA	NA	5.88	NA	17.96	6.59	NA
1904	NA	NA	NA	NA	NA	6.33	NA	1.83	NA	4.8	NA	NA	NA	NA	NA	4.92	NA	4.98	6.35	NA
1905	NA	NA	NA	NA	NA	5.54	NA	3.27	NA	13.54	NA	NA	NA	NA	NA	1.43	NA	5.03	4.12	NA
1906	NA	NA	NA	NA	NA	4.86	NA	4.31	NA	5.82	NA	NA	NA	NA	NA	1.14	3.76	6.1	4.85	NA
1907	NA	NA	NA	NA	NA	4.46	NA	5.61	NA	3.78	NA	NA	NA	NA	NA	5.84	6.75	9.55	9.42	NA
1908	NA	NA	NA	NA	NA	8.61	NA	4.31	NA	8.43	NA	NA	NA	NA	NA	7.27	6.81	3.99	1.51	NA
1909	NA	NA	NA	NA	NA	1.78	NA	0.89	NA	1.5	NA	NA	NA	NA	NA	9.5	2.71	5.48	1.15	NA
1910	NA	NA	NA	NA	1.91	2.62	NA	1.11	NA	1.63	NA	NA	NA	NA	NA	4.26	3.61	4.62	1.91	NA
1911	NA	NA	NA	NA	3.57	1.87	NA	0.54	NA	2.05	NA	NA	NA	NA	NA	1.56	9.7	10.31	2.26	NA
1912	NA	NA	NA	NA	5.29	4.51	4.48	3.02	4.11	6.42	NA	NA	NA	NA	NA	7.66	6.68	6.12	6.6	NA
1913	NA	NA	NA	NA	2.6	3.07	2.93	1.77	2.48	3.28	NA	NA	NA	NA	NA	1.39	13.21	6.44	4.23	NA
1914	NA	NA	NA	NA	4.72	8.39	3.17	1.56	2.7	4.44	NA	NA	NA	NA	NA	2.38	13.64	4.37	8.77	NA
1915	NA	4.99	NA	NA	3.41	4.42	3.82	3.23	1.38	1.99	NA	NA	NA	NA	NA	6.98	10.66	2.97	5.51	NA
1916	NA	1.96	NA	NA	4.21	3.77	1.08	3.2	2.42	2.84	NA	NA	NA	NA	NA	8.73	8.16	4.35	5.97	NA
1917	NA	4.4	NA	NA	3.98	5.11	3.07	2.26	3.8	8.1	NA	NA	NA	NA	NA	10.49	5.08	6.36	6.6	NA
1918	NA	4.92	NA	NA	3.71	2.6	4.6	2.29	1.53	2.95	NA	NA	NA	NA	2.09	1.61	5.11	6.41	5.84	NA
1919	NA	6.14	NA	NA	3.81	2.34	4.21	0.42	2.15	1.11	NA	NA	NA	NA	2.91	1.45	8.25	5.83	1.84	NA
1920	NA	3.6	NA	NA	7.43	1.53	0.47	0.29	1.62	1.68	11.46	NA	5.91	NA	3.5	0.77	13.58	7.94	3.53	NA
1921	NA	0.6	NA	NA	2.24	2.57	1	2.86	1.48	0.96	3.03	NA	3.45	NA	2.62	0.7	7.15	1.03	4.14	NA
1922	NA	1.98	NA	NA	1.88	1.82	2.96	1.44	6.43	2.07	3.95	NA	6.21	4.43	3.21	2.33	1.87	0.73	8.42	NA
1923	NA	1.33	NA	NA	6.76	1.33	6.8	1.92	6.03	1.69	5.06	NA	7.24	1.03	2.57	1.44	6.57	3.27	4.46	NA
1924	NA	10.97	NA	NA	5.02	2.66	4.2	0.96	5.36	1.82	2	5.46	8.35	1.79	3.51	4.88	8.86	3.17	3.21	NA
1925	NA	4.98	NA	NA	4.26	2.5	3.02	1.63	5.79	3.03	1.18	3.38	4.04	2.54	3.13	3.77	4.54	3.51	6	NA
1926	NA	4.2	NA	NA	2.21	1.93	1.53	0.56	5.16	3.74	5.08	2.26	2.79	1.99	1.1	3.54	3.93	3.26	7.18	2.67
1927	NA	3.47	NA	NA	0.81	1.18	0.67	0.68	6.59	1.35	13.43	1.45	2.31	1.47	0.5	1.23	1.25	1.07	4.91	1.44
1928	NA	1.08	NA	NA	2.08	0.88	2.46	0.76	2.66	0.54	4.25	2.97	2.54	1.39	0.6	1.48	1.94	1.43	9.48	1.13
1929	6.23	3.46	NA	NA	5.93	1.77	5.04	1.64	2.83	0.56	3.45	3.97	4.25	0.92	1.22	7.95	6.99	7.64	7.06	5.52
1930	4.77	4.6	NA	NA	3.61	3.76	2.78	1.94	2.58	2.89	2.31	2.27	1.76	6.46	2.49	3.54	3.38	2.17	5.8	2.5
1931	13.78	6.11	NA	NA	7.45	1.73	7.74	1.35	5.06	1.82	4.45	4.79	3.67	1.86	1.83	6.14	4.09	3.11	7.13	5.6
1932	11.4	4.97	NA	NA	5.86	3.21	5.47	0.75	3.07	1.3	1.11	6.09	5.21	3.57	1.8	1.43	2.97	1.76	7.61	4.66
1933	10.41	3.46	8.79	NA	6.21	2.93	4.81	0.7	2.76	1.18	2.73	7.92	4.36	5.8	1.37	2.5	3.53	4.67	6.19	7.48
1934	4.44	9.19	6.8	NA	5.37	3.36	1.59	0.6	0.52	0.6	4.36	3.06	2.16	3.89	3.73	4.2	3.11	2.36	6.44	5.53
1935	5.55	1.11	6.97	NA	3.91	2.17	1.73	0.44	2.65	0.55	5.69	3.15	1.1	3.79	1.26	4.43	2.8	1.56	6.67	8.57
1936	5.13	7.26	8.25	NA	4.99	3.36	2.11	0.52	1.98	1.75	3.8	7.62	1.3	5.84	4.99	3.78	2.14	1.14	5.99	4.87
1937	2.82	7.25	1.49	NA	1.46	2.07	1.14	0.21	1.38	0.59	3.8	2.33	6.47	4.14	3.17	1	6.12	1.85	3.55	2.05
1938	2.07	4.04	1.74	NA	1.71	1.45	0.71	0.2	1.12	0.61	2.76	2.83	3.13	0.76	1.74	1.38	5.43	0.68	1.39	1.24
1939	5.95	7.77	10.74	NA	8.41	2.1	3.65	0.72	1.1	3.22	2.95	10.37	7.44	3.43	3.84	4.64	2.87	4.49	6.22	5.14
1940	5.93	5.05	9.03	NA	7.41	4.57	3.84	0.47	1.11	1.17	8.81	5.34	6.8	4.74	1.29	4.91	2.72	3.19	5.28	8.15
1941	3.8	3	4.19	NA	6.19	4.09	2.49	0.81	0.48	1.25	6.25	4.25	4.22	4.82	0.69	2.38	1.88	2.29	3.77	3.99
1942	4.54	4.45	1.8	NA	5.1	2.69	0.77	0.32	0.42	1.31	5.57	4.51	1.48	1.85	1.41	2.49	2.57	1.76	4.54	4.65
1943	2.32	0.81	1.53	NA	1.27	1.5	0.27	0.24	0.84	0.78	4.38	1.44	1.5	0.32	0.42	0.44	0.49	0.9	0.9	2.19
1944	1.9	0.51	0.82	NA	1.22	0.66	1.01	0.67	0.82	0.54	1.6	4.18	4.17	0.43	0.93	0.49	0.45	0.39	0.92	1.64
1945	6.35	4.4	10.02	NA	9.91	6.92	2.21	2.38	1.23	1.71	3.77	4.55	4.77	3.21	0.93	2.9	1.64	2.12	7.91	2.49
1946	3.35	3.93	7.28	6.78	3.36	4.24	2.47	0.88	0.58	2.23	2.74	12.52	3.74	5.52	0.65	2.12	1.73	2.57	4.13	3.79
1947	5.15	4.98	12.71	12.16	2.9	4.06	1.52	2.2	2.22	4.49	3.81	8.54	6.34	5.35	1.51	2.68	1.39	4.93	4.03	1.3
1948	6.46	3.69	6.42	13.97	1.94	2.96	1.17	1.99	1.94	8	7.66	10.13	3.57	2.13	1.25	2.66	1.71	5.21	3.71	1.35
1949	5.9	4.31	5.79	15.07	2.66	2.7	0.44	1.62	0.86	11.83	6.14	4.59	5.05	0.98	1.03	1.77	3.76	4.5	3.02	2.94
1950	5.57	4.67	2.57	6.3	1.51	2.16	0.39	1.36	1.17	9.53	6.17	11.06	3.46	2.42	1.55	0.79	2.97	2.04	3.47	3.56
1951	8.47	6.01	11.22	12.44	5.01	4.76	2.05	2.75	1.69	6.13	6.82	8.91	6.75	7.47	1.66	1.27	3.94	2.67	5.77	3.53
1952	5.85	3.92	4.71	8.15	3.24	2.25	1.45	1.34	0.77	4.56	4.29	3.5	2.45	2.89	1.24	0.82	2.59	2.23	3.99	2.18
1953	6.24	2.91	7.17	13.6	3.3	1.86	1.03	4.07	0.79	12.87	3.13	4.11	2.09	4.56	8.26	0.95	1.06	1.52	4.04	2.88
1954	6.76	4.03	7.55	12.05	2.25	2.22	2.19	4.31	1.76	3.36	3.84	4.74	2.72	5.69	13.04	1.3	0.83	3.47	4.34	3.88
1955	2.58	1.74	2.55	3.93	0.47	1.97	1.09	3.59	1.08	3.06	1.18	1.14	3.05	4.83	9.46	0.67	0.77	1.48	2.91	1.14
1956	5.18	2.34	7.79	8.84	2.22	2.38	2.2	4.66	2.44	3.19	2.13	2.62	4.25	2.3	8.91	1.83	2.71	1.91	4.05	2.04
1957	2.49	1.6	2.19	2.88	0.85	1.01	0.82	1.77	0.74	1.71	0.77	0.53	2.48	1.02	2.19	1.08	1	0.81	1.78	0.72
1958	5.48	3.97	9.13	7.72	4.37	3.64	2.44	2.99	1.22	1.96	2.16	1.71	2.08	1.77	4.49	2.62	0.92	1	4.5	1.2
1959	5.02	4.97	7.44	8.14	2.8	3.63	2.5	4.18	4.08	1.65	1.34	2.15	2.6	2.75	5.39	2.11	0.79	1.02	6	1.19
1960	2.11	1.83	2.91	2.71	0.96	0.82	0.92	1.52	3.79	1.82	0.46	1.1	1.04	2.79	3.36	1.97	0.78	0.74	3.48	1.31
1961	3.2	1.84	2.46	2.32	1.05	1.92	0.79	1.27	0.93	2.05	0.76	1.72	3.12	4.54	3.02	1.65	1.62	0.7	2.33	1.26
1962	5.54	3.49	5.86	8.63	3.29	1.97	2.59	2.47	2.39	2.63	1.3	2.25	3.4	3.77	2.57	3.05	1.75	1.53	2.98	1.86
1963	6.65	4.4	5.05	7.47	2.01	2.45	2.1	5.63	9.01	3.05	0.65	1.64	2.99	5.69	1.15	0.62	1.56	1.62	3.17	1.37
1964	5.37	3.3	4.92	5.72	1.87	2.15	2.31	3.38	2.5	1.81	0.72	1.33	3.27	3.94	1.5	0.65	1.87	0.52	1.45	1.6
1965	1.85	1.05	1.17	1.2	0.49	2.04	2.83	1.12	1.2	4.8	0.6	0.62	2.72	1.75	1.77	0.67	0.39	0.51	1.4	4.79
1966	1.42	4.18	0.84	1.31	0.4	2.53	3.93	2.03	1.2	3.29	1.26	0.38	2.12	5.73	1.05	2.52	0.41	1.96	3.11	4.13
1967	8.2	0.5	5.3	9.97	3.36	2.89	4.46	0.42	1.36	2.1	1.43	2.99	2.2	2.97	0.79	3.62	2.42	3.72	3	3.28
1968	3.56	0.45	1.33	2.61	1.22	1.39	0.25	5.61	1.34	6.55	4.07	2.84	0.77	2.45	1.24	0.94	2.18	2.49	3.25	2.48
1969	7.77	4.22	9.1	11.04	4.51	1.76	0.38	5.68	2.24	5.56	0.73	4.48	3.55	3.09	1.52	2.15	2.17	2.19	3.46	3.01
1970	11.4	5.23	10.15	12.06	5.65	2.38	2.68	0.63	3.58	7.38	1.1	0.86	2	7.07	1.32	3.13	1.54	1.78	3	2.52
