# Allen - Buckleys Chance - LAFR - ITRDB AUS128
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# Data License: nan
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44782
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44782.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/aus128d-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/australia/aus128d.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-06-01
#--------------------
# File_Last_Modified_Date
#   Date: 2026-06-01
#--------------------
# Title
#   Study_Name: Allen - Buckleys Chance - LAFR - ITRDB AUS128
#--------------------
# Investigators
#   Investigators: Allen, Kathryn
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Allen, K J; E R Cook; R Evans; R Francey; B M Buckley; J G Palmer; M J Peterson; P J Baker
#   Published_Date_or_Year: 2018
#   Published_Title: Lack of cool, not warm, extremes distinguishes late 20th Century climate in 979-year Tasmanian summer temperature reconstruction
#   Journal_Name: Environ. Res. Lett.
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1088/1748-9326/aaafd7
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Australian Research Council
#   Grant: LP12020811
#--------------------
# Site_Information
#   Site_Name: Buckleys Chance
#   Location: Tasmania
#   Northernmost_Latitude: -42.27
#   Southernmost_Latitude: -42.27
#   Easternmost_Longitude: 145.87
#   Westernmost_Longitude: 145.87
#   Elevation_m: 900
#--------------------
# Data_Collection
#   Collection_Name: AUS128
#   First_Year: 1179
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Lagarostrobos franklinii (Hook. f.) Quinn
#   Common_Name: huon pine
#   Tree_Species_Code: LGFR
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BC102SE_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC102SE
## BC103S_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC103S
## BC103W_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC103W
## BC106W_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC106W
## BC106N_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC106N
## BC107N_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC107N
## BC108E_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC108E
## BC108NW_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC108NW
## BC108W_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC108W
## BC109N_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC109N
## BC111N_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC111N
## BC117SW_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC117SW
## BC124N_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC124N
## BC127SW_raw	density,,,gram per decimeter,,tree ring,,,N,Tree ID: BC127SW
#---------------------
# Data:
# Missing_Values: NA
age_CE	BC102SE_raw	BC103S_raw	BC103W_raw	BC106W_raw	BC106N_raw	BC107N_raw	BC108E_raw	BC108NW_raw	BC108W_raw	BC109N_raw	BC111N_raw	BC117SW_raw	BC124N_raw	BC127SW_raw
1179	NA	NA	NA	NA	0.771	NA	NA	NA	NA	NA	NA	NA	NA	NA
1180	NA	NA	NA	NA	0.732	NA	NA	NA	NA	NA	NA	NA	NA	NA
1181	NA	NA	NA	NA	0.695	NA	NA	NA	NA	NA	NA	NA	NA	NA
1182	NA	NA	NA	NA	0.709	NA	NA	NA	NA	NA	NA	NA	NA	NA
1183	NA	NA	NA	NA	0.682	NA	NA	NA	NA	NA	NA	NA	NA	NA
1184	NA	NA	NA	NA	0.698	NA	NA	NA	NA	NA	NA	NA	NA	NA
1185	NA	NA	NA	NA	0.691	NA	NA	NA	NA	NA	NA	NA	NA	NA
1186	NA	NA	NA	NA	0.676	NA	NA	NA	NA	NA	NA	NA	NA	NA
1187	NA	NA	NA	NA	0.638	NA	NA	NA	NA	NA	NA	NA	NA	NA
1188	NA	NA	NA	NA	0.699	NA	NA	NA	NA	NA	NA	NA	NA	NA
1189	NA	NA	NA	NA	0.677	NA	NA	NA	NA	NA	NA	NA	NA	NA
1190	NA	NA	NA	NA	0.757	NA	NA	NA	NA	NA	NA	NA	NA	NA
1191	NA	NA	NA	NA	0.672	NA	NA	NA	NA	NA	NA	NA	NA	NA
1192	NA	NA	NA	NA	0.609	NA	NA	NA	NA	NA	NA	NA	NA	NA
1193	NA	NA	NA	NA	0.621	NA	NA	NA	NA	NA	NA	NA	NA	NA
1194	NA	NA	NA	NA	0.657	NA	NA	NA	NA	NA	NA	NA	NA	NA
1195	NA	NA	NA	NA	0.653	NA	NA	NA	NA	NA	NA	NA	NA	NA
1196	NA	NA	NA	NA	0.684	NA	NA	NA	NA	NA	NA	NA	NA	NA
1197	NA	NA	NA	NA	0.648	NA	NA	NA	NA	NA	NA	NA	NA	NA
1198	NA	NA	NA	NA	0.634	NA	NA	NA	NA	NA	NA	NA	NA	NA
1199	NA	NA	NA	NA	0.643	NA	NA	NA	NA	NA	NA	NA	NA	NA
1200	NA	NA	NA	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
1201	NA	NA	NA	NA	0.652	NA	NA	NA	NA	NA	NA	NA	NA	NA
1202	NA	NA	NA	NA	0.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
1203	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	NA	NA	NA
1204	NA	NA	NA	NA	0.625	NA	NA	NA	NA	NA	NA	NA	NA	NA
1205	NA	NA	NA	NA	0.556	NA	NA	NA	NA	NA	NA	NA	NA	NA
1206	NA	NA	NA	NA	0.575	NA	NA	NA	NA	NA	NA	NA	NA	NA
1207	NA	NA	NA	NA	0.614	NA	NA	NA	NA	NA	NA	NA	NA	NA
1208	NA	NA	NA	NA	0.636	NA	NA	NA	NA	NA	NA	NA	NA	NA
1209	NA	NA	NA	NA	0.592	NA	NA	NA	NA	NA	NA	NA	NA	NA
1210	NA	NA	NA	NA	0.587	NA	NA	NA	NA	NA	NA	NA	NA	NA
1211	NA	NA	NA	NA	0.627	NA	NA	NA	NA	NA	NA	NA	NA	NA
1212	NA	NA	NA	0.727	0.639	NA	NA	NA	NA	NA	NA	NA	NA	NA
1213	NA	NA	NA	0.667	0.667	NA	NA	NA	NA	NA	NA	NA	NA	NA
1214	NA	NA	NA	0.642	0.677	NA	NA	NA	NA	NA	NA	NA	NA	NA
1215	NA	NA	NA	0.643	0.614	NA	NA	NA	NA	NA	NA	NA	NA	NA
1216	NA	NA	NA	0.642	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
1217	NA	NA	NA	0.579	0.609	NA	NA	NA	NA	NA	NA	NA	NA	NA
1218	NA	NA	NA	0.602	0.631	NA	NA	NA	NA	NA	NA	NA	NA	NA
1219	NA	NA	NA	0.615	0.626	NA	NA	NA	NA	NA	NA	NA	NA	NA
1220	NA	NA	NA	0.624	0.649	NA	NA	NA	NA	NA	NA	NA	NA	NA
1221	NA	NA	NA	0.626	0.608	NA	NA	NA	NA	NA	NA	NA	NA	NA
1222	NA	NA	NA	0.608	0.582	NA	NA	NA	NA	NA	NA	NA	NA	NA
1223	NA	NA	NA	0.651	0.624	NA	NA	NA	NA	NA	NA	NA	NA	NA
1224	NA	NA	NA	0.641	0.633	NA	NA	NA	NA	NA	NA	NA	NA	NA
1225	NA	NA	NA	0.628	0.655	NA	NA	NA	NA	NA	NA	NA	NA	NA
1226	NA	NA	NA	0.695	0.678	NA	NA	NA	NA	NA	NA	NA	NA	NA
1227	NA	NA	NA	0.596	0.627	NA	NA	NA	NA	NA	NA	NA	NA	NA
1228	NA	NA	NA	0.617	0.639	NA	NA	NA	NA	NA	NA	NA	NA	NA
1229	NA	NA	NA	0.708	0.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
