# Klesse - 1M Boncourt - FASY - ITRDB CHE425
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41221
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41221.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che425-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che425.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che425.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-04-23
#--------------------
# File_Last_Modified_Date
#   Date: 2025-04-23
#--------------------
# Title
#   Study_Name: Klesse - 1M Boncourt - FASY - ITRDB CHE425
#--------------------
# Investigators
#   Investigators: Klesse, Stefan; Wohlgemuth, T.; Meusburger, K.; Vitasse, Y.; von Arx, G.; Lévesque, M.; Neycken, A.; Braun, S.; Dubach, V.; Gessler, A.; Ginzler, C.; Gossner, M.M.; Hagedorn, F.; Queloz, V.; Samblás Vives, E.; Rigling, A.; Frei, E.R.
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Klesse, S.; T. Wohlgemuth; K. Meusburger; Y. Vitasse; G. von Arx; M. Lévesque; A. Neycken; S. Braun; V. Dubach; A. Gessler; C. Ginzler; M.M. Gossner; F. Hagedorn; V. Queloz; E. Samblás Vives; A. Rigling; E.R. Frei
#   Published_Date_or_Year: 2022
#   Published_Title: Long-term soil water limitation and previous tree vigor drive local variability of drought-induced crown dieback in Fagus sylvatica
#   Journal_Name: Science of The Total Environment
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.scitotenv.2022.157926
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: 1M Boncourt
#   Location: Switzerland
#   Northernmost_Latitude: 47.49287
#   Southernmost_Latitude: 47.49287
#   Easternmost_Longitude: 7.02637
#   Westernmost_Longitude: 7.02637
#   Elevation_m: 488
#--------------------
# Data_Collection
#   Collection_Name: CHE425
#   First_Year: 1900
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## X1211A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1211A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1211B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1211B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1212A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1212A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1212B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1212B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1213A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1213A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1213B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1213B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1221A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1221A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1221B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1221B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1222A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1222A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1222B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1222B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1223A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1223A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1223B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1223B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1231A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1231A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1231B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1231B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1232A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1232A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1232B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1232B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1233A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1233A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1233B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1233B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1241A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1241A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1241B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1241B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1242A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1242A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1242B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1242B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1243A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1243A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1243B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1243B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1251A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1251A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1251B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1251B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1252A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1252A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1252B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1252B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1253A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1253A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1253B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1253B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1261A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1261A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1261B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1261B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1262A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1262A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1262B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1262B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1263A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1263A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1263B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1263B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1271A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1271A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1271B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1271B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1272A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1272A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1272B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1272B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1273A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1273A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## X1273B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: X1273B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	X1211A_raw	X1211B_raw	X1212A_raw	X1212B_raw	X1213A_raw	X1213B_raw	X1221A_raw	X1221B_raw	X1222A_raw	X1222B_raw	X1223A_raw	X1223B_raw	X1231A_raw	X1231B_raw	X1232A_raw	X1232B_raw	X1233A_raw	X1233B_raw	X1241A_raw	X1241B_raw	X1242A_raw	X1242B_raw	X1243A_raw	X1243B_raw	X1251A_raw	X1251B_raw	X1252A_raw	X1252B_raw	X1253A_raw	X1253B_raw	X1261A_raw	X1261B_raw	X1262A_raw	X1262B_raw	X1263A_raw	X1263B_raw	X1271A_raw	X1271B_raw	X1272A_raw	X1272B_raw	X1273A_raw	X1273B_raw
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	NA	1.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54	NA	0.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	NA	0.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.38	NA	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	NA	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	0.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.96	NA	1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.78	NA	1.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.18	1.16	1.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.13	0.85	0.76	1.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52	1.37	1.65	2.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42	1.04	0.93	1.55	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6	0.91	0.95	2	2.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.51	1.29	1.14	1.06	1.76	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75	1.97	1.7	1.59	2.87	2.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25	1.32	1.43	1.37	2.17	2.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.47	1.02	1.17	1.18	2.46	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	NA	3.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.82	NA	NA	NA	NA	NA	1.56	0.98	1.47	1.23	2.78	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55
1918	NA	NA	NA	NA	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	NA	1.22	NA	NA	NA	NA	1.69	0.47	NA	NA	NA	1.03	1.14	0.65	0.94	0.61	1.28	1.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89
1919	NA	NA	NA	NA	NA	NA	2.82	NA	NA	NA	NA	NA	NA	NA	NA	0.98	NA	NA	NA	NA	0.84	0.75	NA	NA	NA	0.85	1.28	0.8	1.12	1.13	0.61	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2
1920	NA	NA	NA	NA	NA	NA	2.32	NA	NA	NA	NA	NA	NA	NA	NA	1.49	NA	NA	NA	NA	0.74	0.91	NA	NA	NA	1.16	1.46	0.77	1.37	1.33	1.88	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.79
1921	NA	NA	NA	NA	NA	NA	1.58	NA	NA	NA	1.4	NA	NA	NA	NA	1.43	NA	NA	NA	NA	0.46	0.79	NA	NA	NA	1.07	1.11	0.87	1.04	1.27	1.64	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35
1922	NA	NA	NA	NA	NA	NA	0.54	NA	NA	NA	0.94	NA	NA	NA	NA	2.03	NA	NA	NA	3.32	0.88	1.35	0.71	NA	NA	1.02	1.68	1.01	0.82	0.76	0.47	0.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.82
1923	NA	NA	NA	NA	NA	NA	1.65	NA	NA	NA	2.32	NA	NA	1.89	NA	1.51	NA	NA	NA	3	0.9	1.43	0.91	NA	NA	1.53	1.53	1.2	1.27	1.34	1.47	1.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.36
1924	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	3.12	3.25	NA	2.29	NA	2.64	1.68	NA	NA	3.39	1.39	1.91	0.97	NA	NA	1.67	1.92	1.39	1.42	1.4	1.62	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89
1925	2.44	NA	NA	NA	NA	NA	2.43	3.09	NA	NA	2.39	4.04	NA	1.64	NA	2.29	1.9	NA	NA	3.25	1.81	1.95	0.92	NA	1.62	1.28	2.24	1.36	1.28	1.43	1.97	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11
1926	1.64	NA	NA	NA	NA	NA	2.71	2.86	NA	NA	2.44	4.23	NA	1.66	NA	2.6	2.06	NA	NA	3.4	1.79	1.89	1.24	NA	2.27	1.69	2.12	1.32	1.33	1.76	3.17	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.65
1927	2.23	NA	NA	NA	NA	NA	2.78	2.95	NA	2.63	2.74	3.68	3.4	2.02	NA	3.09	2.35	NA	NA	3.14	1.93	2.16	1.1	NA	3.53	2.48	2.54	1.84	1.95	2.62	4.77	4.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1
1928	1.24	NA	NA	NA	NA	NA	1.55	1.51	NA	1.24	1.28	1.4	1.17	0.66	NA	1.67	1.28	NA	NA	1.7	0.9	0.94	0.73	NA	2.64	2.74	1.31	1.08	1.46	1.91	2.4	2.24	NA	NA	NA	NA	NA	NA	NA	NA	0.96	1.41
1929	1.62	NA	NA	NA	NA	NA	1.87	1.98	1.62	1.81	2.08	1.71	1.63	0.67	NA	2.32	1.41	NA	NA	1.5	1	1.49	1.16	NA	2.86	1.95	1.78	1.19	1.44	1.75	1.98	2.14	NA	NA	NA	NA	NA	NA	NA	NA	1.14	1.46
1930	1.99	NA	NA	NA	NA	NA	2.13	1.14	1.09	1.11	2.61	3.62	1.88	1.44	NA	2.97	1.31	NA	NA	2.34	1.52	1.66	1.2	NA	3.44	2.16	1.84	1.3	1.9	2.53	2.42	2	NA	NA	NA	2.68	NA	NA	0.68	NA	1.2	1.71
1931	2.14	NA	NA	NA	NA	NA	1.85	1.65	1.87	1.5	1.85	2.33	2.65	1.65	NA	2.04	2.09	NA	NA	2.74	1.65	2.06	1.34	NA	3.84	2.02	2.35	1.95	2.44	3.76	3.68	3.01	NA	NA	NA	1.91	NA	NA	0.88	NA	1.86	2.42
1932	2.75	NA	NA	NA	NA	NA	2.4	2.94	2.5	2.46	2.01	2.46	2.61	1.92	NA	1.87	2.21	NA	NA	2.54	1.67	1.82	1.69	NA	3.65	3.22	2.33	2	2.23	3.6	3.83	3.42	NA	NA	NA	2.31	NA	NA	1.13	NA	1.97	2.97
1933	2.1	NA	NA	NA	NA	NA	2.19	2.12	1.62	2.25	1.79	2.24	1.63	1.22	NA	1.65	1.51	1.01	NA	1.76	1.46	1.22	1.25	NA	2.68	2.03	1.71	1.61	1.56	2.38	1.97	1.72	NA	NA	NA	2.53	NA	NA	1.84	NA	1.88	2.76
1934	1.29	NA	NA	NA	NA	NA	1.52	1.14	0.49	0.77	1.04	0.36	0.42	0.32	NA	0.51	0.27	0.36	0.96	0.64	0.52	0.55	0.58	NA	1.37	1.05	0.9	0.66	0.93	1.36	0.21	0.31	NA	NA	NA	1.58	NA	NA	0.91	0.41	0.54	0.8
1935	1.68	NA	NA	NA	NA	NA	2.03	1.54	1.27	1.61	1.66	1.95	1.2	1.18	NA	1.09	0.84	0.57	1.86	1.66	1.17	1.07	1.11	NA	1.72	1.2	1.45	1	1	1.26	1.08	1.07	NA	NA	NA	1.76	NA	NA	1.25	0.53	0.98	1.77
1936	2.89	NA	NA	NA	NA	NA	2.58	2.5	1.87	2.44	3.04	4.51	2.57	2.64	NA	2.17	1.72	1.13	2.78	2.94	1.88	1.82	2.13	NA	3.51	2.84	2.11	1.98	2.6	3.66	2.24	2.27	NA	NA	NA	2.19	NA	NA	2.38	0.93	3.02	3.69
1937	2.59	NA	NA	NA	NA	NA	2.15	3.08	1.67	2.32	2.72	2.98	2.21	2.39	NA	2.06	1.64	1.1	2.05	2.42	1.47	1.48	1.51	2	2.59	2.46	2.05	1.77	2.32	3.79	2.24	2.5	NA	NA	NA	2.17	NA	1.91	1.76	0.81	2.21	2.79
1938	3.13	2.97	NA	NA	NA	NA	2.33	3.2	1.4	2.02	2.98	3.6	1.93	1.33	NA	2.08	1.27	0.7	3.24	2.67	1.79	1.86	1.85	2.2	2.8	2.93	2.36	1.86	2.41	3.93	1.89	2.13	NA	NA	NA	2.28	NA	2.24	1.91	1.26	2.11	3.07
1939	2.49	2.06	NA	NA	NA	NA	3.23	3.3	2.23	2.54	2.61	3.07	2.21	1.36	NA	1.72	1.58	0.94	2.72	2.87	1.75	1.91	1.7	2.54	3	3.04	2.59	1.92	2.31	3.16	2.82	3.19	NA	NA	1.81	2.46	NA	1.72	2.09	1.44	3.1	3.62
1940	1.46	2.75	NA	NA	NA	NA	2.55	2.24	1.9	2.07	1.85	2.37	1.55	1.09	NA	1.49	1.24	0.97	1.83	2.54	1.27	1.48	1.6	2.17	2.39	2.43	2.43	1.34	1.98	2.55	2.27	2.02	1.78	NA	2.61	2.64	NA	1.51	1.49	1.13	1.68	1.77
1941	1.9	2.3	NA	3	NA	NA	2.2	1.74	1.5	1.68	1.51	2.1	1.63	1.05	NA	2	1.98	1.15	1.79	2.51	1.36	1.47	1.52	2.44	2.31	2.36	2.04	1.11	1.75	2.37	1.76	1.56	1.42	2.04	2.49	1.92	3.8	2.69	2.15	1.24	1.35	1.65
1942	2.66	2.4	NA	3.75	NA	NA	1.63	1.59	1.66	1.83	1.62	2.29	2.17	1.35	NA	3.72	2.52	1.11	2.69	2.71	1.27	2.15	1.79	2.17	1.85	1.8	2.59	1.57	1.15	1.48	1.23	1.01	1.64	2.36	2.6	2.32	3.75	3.46	2.93	1.58	1.01	1.35
1943	2.06	1.9	NA	2.77	NA	NA	1.6	1.54	1.6	1.75	1.83	2.1	1.9	2.03	NA	3.85	2.57	1.56	2.8	2.52	2.16	2.11	2.2	2.54	1.61	1.93	2.8	2.16	1.73	1.9	1.78	1.87	2.08	3.07	1.59	2.04	3.35	3.42	2.48	1.72	1.19	1.88
