# Vanoni - Bois de Chênes - FASY - ITRDB CHE439
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41251
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41251.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che439-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che439.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che439.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Vanoni - Bois de Chênes - FASY - ITRDB CHE439
#--------------------
# Investigators
#   Investigators: Vanoni, Marco; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Drought and frost contribute to abrupt growth decreases before tree mortality in nine temperate tree species
#   Journal_Name: Forest Ecology and Management
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.foreco.2016.10.001
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Quantifying the effects of drought on abrupt growth decreases of major tree species in Switzerland
#   Journal_Name: Ecology and Evolution
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1002/ece3.2146
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Swiss National Science Foundation
#   Grant: 140968
#--------------------
# Site_Information
#   Site_Name: Bois de Chênes
#   Location: Switzerland
#   Northernmost_Latitude: 46.435555566
#   Southernmost_Latitude: 46.435555566
#   Easternmost_Longitude: 6.238888895
#   Westernmost_Longitude: 6.238888895
#   Elevation_m: 530
#--------------------
# Data_Collection
#   Collection_Name: CHE439
#   First_Year: 1924
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 41471_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41471; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 41472_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41472; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 41473_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41473; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 41477_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41477; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 41478_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41478; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 41479_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 41479; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	41471_raw	41472_raw	41473_raw	41477_raw	41478_raw	41479_raw
1924	NA	NA	NA	5.17	NA	NA
1925	NA	NA	NA	5.19	NA	NA
1926	NA	NA	NA	4.49	NA	NA
1927	NA	NA	NA	4.67	NA	NA
1928	NA	NA	NA	4.89	NA	NA
1929	NA	NA	NA	4.45	NA	NA
1930	NA	NA	NA	4.05	NA	NA
1931	NA	NA	1.67	4.34	NA	NA
1932	NA	NA	1.56	5	0.85	NA
1933	NA	NA	1.01	4.76	0.72	NA
1934	NA	NA	1.38	3.83	0.61	NA
1935	NA	NA	1.17	3.48	0.99	NA
1936	NA	NA	1.85	3.2	0.62	NA
1937	NA	NA	1.18	4.07	0.88	NA
1938	NA	NA	2.08	4.09	1.9	NA
1939	NA	NA	2.92	4.39	2.59	NA
1940	NA	NA	2.06	3.92	2.78	NA
1941	NA	NA	2.15	4.21	3.28	NA
1942	NA	NA	1.46	4.2	3.09	NA
1943	NA	NA	1.19	3.64	3.14	NA
1944	NA	NA	1.02	3.59	3.46	NA
1945	NA	NA	1.35	2.08	3.04	NA
1946	NA	NA	0.98	3.51	2.54	NA
1947	NA	NA	1.24	3.33	1.77	NA
1948	NA	NA	1.59	3.27	1.99	NA
1949	NA	NA	1.53	2.96	2.33	NA
1950	NA	NA	1.32	3.39	2.12	NA
1951	1.62	NA	1.53	3.88	2.5	NA
1952	1.51	NA	1.55	3.54	2.67	NA
1953	2.19	NA	1.41	4.96	4.1	NA
1954	1.76	NA	1.67	3.36	2.64	NA
1955	1	NA	1.2	4.76	3.27	NA
1956	1.15	NA	1.67	4.12	2.25	NA
1957	0.91	NA	1.99	2.81	2.24	2.03
1958	0.95	NA	0.93	2.94	2.6	2.23
1959	0.78	NA	0.7	2.02	1.48	2.9
1960	1.43	NA	0.55	2.09	1.27	1.64
1961	2	NA	1.08	2.5	2.7	1.72
1962	2.33	NA	1.78	2.95	2.19	2.16
1963	3.99	4.45	2.42	3.37	1.66	3.54
1964	6.34	5.01	1.99	3.23	1.15	3.65
1965	6.33	4.42	2.33	3.91	0.94	3.73
1966	6.29	4.96	2.21	3.02	1.11	3.73
1967	6.07	5.73	2.89	3.3	1.63	5.82
1968	4.08	3.98	2.57	2.89	0.85	5.49
1969	5.23	4.93	2.85	3.78	0.77	4.84
1970	4.99	4.42	2.46	4.54	0.4	4.68
1971	4.92	5.06	2.42	4.17	1.3	4.38
1972	5.15	3.89	3.15	4.42	2.91	3.9
1973	3.77	4	3.87	3.12	2.71	3.46
1974	4.76	3.1	3.63	3.02	1.73	2.26
1975	3.8	4.06	3.88	2.91	1.36	2.6
1976	2.19	2.25	2.33	2.09	0.85	0.91
1977	3.12	3.23	3.72	2.37	1.34	1.81
1978	2.8	3.94	3.94	2.5	1.31	1.89
1979	6.51	3.9	4.72	2.9	1.68	1.69
1980	6.44	3.17	4.38	2.24	1.79	2.67
1981	5.72	3.95	3.32	1.28	1.62	1.94
1982	3.65	4.67	3.64	1.09	1.97	2.58
1983	4.02	5.93	3.89	1.89	2.66	2.68
1984	6.09	4.96	4.15	1.4	1.93	2.06
1985	7.76	5.7	3.57	1.47	2.7	1.73
1986	6.89	5.41	4.19	1.91	3.17	2.37
1987	6.97	5.09	5.8	1.67	4.46	2.89
1988	5.35	4.63	6.17	1.61	3.56	2.77
1989	5.15	5.25	6.06	1.85	3.23	2.15
1990	5.35	5.31	5.63	0.44	3.33	3.03
1991	4.05	2.92	3.63	0.34	2.63	2.23
1992	4.77	4.46	4.26	0.83	3.11	2.7
1993	3.41	3.28	2.56	0.83	1.99	1.88
1994	1.85	1.45	0.61	0.49	1.22	0.9
1995	0.64	2.4	0.75	0.41	1.34	0.78
1996	0.53	3.2	0.39	0.37	2.12	0.92
1997	1.41	2.52	0.59	0.39	3.92	2.43
1998	1.88	3.05	1.02	0.24	3.14	1.96
1999	1.08	3.17	1.12	0.2	5.18	1.84
2000	1.3	2.81	1.83	0.41	3.15	2.23
2001	3.27	3.85	3.94	0.49	4.58	2.47
2002	3.61	3.58	3.26	0.85	3.9	3.34
2003	2.54	1.92	2.23	0.89	2.61	1.69
2004	3.13	3.04	2.51	0.83	4.17	1.87
2005	3.88	2.53	2.65	1.22	4.42	2.95
2006	3.59	2.32	2.47	2.12	5.94	2.99
2007	3.5	2.31	3.2	3.31	5.37	2.85
2008	5.12	3.71	4.19	3.07	5.59	2.9
2009	2.76	3.35	4.3	2.13	3.97	2.58
2010	2.47	3.22	4.27	2	5.97	2.37
2011	2.06	2.94	3.66	2.28	4.87	2.12
2012	2.54	2.63	3.66	2.19	4.26	2.89
2013	2.27	2.88	3.36	1.6	2.77	2.46
