# Vanoni - Tariche Haute Côte - FASY - ITRDB CHE440
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41252
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41252.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che440-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che440.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che440.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Vanoni - Tariche Haute Côte - FASY - ITRDB CHE440
#--------------------
# Investigators
#   Investigators: Vanoni, Marco; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Drought and frost contribute to abrupt growth decreases before tree mortality in nine temperate tree species
#   Journal_Name: Forest Ecology and Management
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.foreco.2016.10.001
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Quantifying the effects of drought on abrupt growth decreases of major tree species in Switzerland
#   Journal_Name: Ecology and Evolution
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1002/ece3.2146
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Swiss National Science Foundation
#   Grant: 140968
#--------------------
# Site_Information
#   Site_Name: Tariche Haute Côte
#   Location: Switzerland
#   Northernmost_Latitude: 47.335555566
#   Southernmost_Latitude: 47.335555566
#   Easternmost_Longitude: 7.161944451
#   Westernmost_Longitude: 7.161944451
#   Elevation_m: 750
#--------------------
# Data_Collection
#   Collection_Name: CHE440
#   First_Year: 1869
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 42270_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42270; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42271_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42271; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42272_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42272; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42273_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42273; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42274_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42274; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42275_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42275; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42276_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42276; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42277_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42277; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42278_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42278; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42279_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42279; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42280_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42280; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 42281_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 42281; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	42270_raw	42271_raw	42272_raw	42273_raw	42274_raw	42275_raw	42276_raw	42277_raw	42278_raw	42279_raw	42280_raw	42281_raw
1869	NA	NA	NA	NA	NA	2.09	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	NA	NA	1.46	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	NA	NA	1.57	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	NA	NA	1.26	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	NA	NA	2.51	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	NA	NA	1.97	NA	NA	NA	NA	NA	0.7
1875	NA	NA	NA	NA	NA	1.58	NA	NA	NA	NA	NA	2.31
1876	NA	NA	NA	NA	NA	2.14	NA	NA	NA	NA	NA	1.99
1877	NA	NA	NA	NA	NA	2.79	NA	NA	2.34	2.66	NA	2.34
1878	NA	NA	NA	NA	NA	1.37	NA	NA	3.26	1.13	NA	1.46
1879	NA	NA	NA	NA	NA	3.46	NA	2.43	3.48	3.08	NA	2.85
1880	NA	NA	NA	NA	NA	3.1	NA	2.35	3.42	1.88	NA	4.01
1881	NA	NA	NA	NA	NA	2.11	NA	2.12	2.53	1.27	NA	1.69
1882	NA	2.05	NA	NA	NA	2.86	NA	2.04	2.91	2.02	NA	2.37
1883	NA	2.47	NA	NA	NA	3.14	NA	2.22	2.35	1.26	NA	1.69
1884	2.41	2.53	NA	1.05	NA	3.28	NA	2.36	2.79	1.64	NA	2.6
1885	1.44	1.97	NA	1.01	NA	2.12	NA	1.79	2.2	1.04	NA	2.28
1886	2.97	1.44	NA	1.75	NA	3.21	NA	2.06	1.32	1.81	1.6	3.59
1887	1.52	1.06	NA	0.47	NA	2.2	NA	1.64	1.32	1.88	1.39	1.85
1888	2.21	1.48	NA	1.02	NA	2.49	NA	1.95	2.04	2.08	1.33	2.83
1889	2.75	2.7	NA	1.59	1.98	2.62	NA	1.86	1.91	2.38	2.12	3.64
1890	2.3	3.1	NA	1.72	1.96	2.94	NA	1.76	1.81	3.15	2.15	3.26
1891	1.37	2.02	NA	0.77	1.42	2.08	1.17	1.6	1.68	2.49	1.48	1.41
1892	1.98	2.58	NA	1.76	2.38	3.07	3.03	2.3	2.88	2.86	2.31	2.3
1893	1.42	1.63	NA	1.21	1.85	1.88	2.41	1.91	2.3	2.19	2.25	1.47
1894	2.23	2.59	NA	2.2	2.72	3.39	4.21	2.21	3.27	2.78	2.53	3.13
1895	2.15	2.67	NA	1.93	2.32	2.72	2.83	2.19	3.46	3.6	2.69	2.97
1896	2.02	2.02	2.44	1.77	1.99	2.62	2.15	2.37	2.45	2.44	2	2.85
1897	2.35	3.1	2.26	2.15	2.34	2.79	2.25	2.18	2.75	1.96	2.71	2.34
1898	1.86	2.18	2.43	1.49	1.65	2.54	1.94	2.63	2.06	2.09	2.31	1.91
1899	2.12	2.29	2.51	1.19	2.2	2.32	2.25	2.62	2.18	2.64	2.66	2.42
1900	2.36	2.32	2.25	1.52	2.54	2.5	3.1	2.23	2.1	2.76	1.75	3.07
1901	2.94	2.21	2.57	1.62	2.72	2.73	3.6	2	3.05	3.16	1.92	3.42
1902	1.7	1.46	1.75	1.49	1.95	2.15	1.79	1.54	3.04	2.83	1.35	2.35
1903	3.26	2.19	2.8	1.97	2.46	2.94	2.92	2	3.67	3.39	1.94	2.41
1904	2.23	1.91	2.43	1.56	2.1	2.37	2.28	1.79	3.52	3.19	1.8	1.94
1905	2.99	2.23	2.11	1.38	2.45	2.43	2.83	2.29	3.86	3.18	2.76	2.15
1906	2.11	1.66	2.22	1.13	2.3	1.91	1.81	1.92	2.46	2.86	1.8	1.79
1907	1.73	1.67	1.6	1.31	1.76	1.98	1.91	2.38	2.55	2.22	2	1.89
1908	2.32	1.81	2.26	1.71	1.95	2.76	2.63	2.57	2.7	2.31	2.8	2
1909	1.49	0.88	2.07	1.76	2.14	2.87	2.83	2.67	3.06	2.27	2.39	2.21
1910	2.18	1.38	3.68	2.15	2.73	3.07	3.11	2.53	3.02	2.16	2.63	2.46
1911	1.73	1.22	2.55	1.78	2.06	2.38	2.34	1.88	2.27	2.52	1.96	1.31
1912	1.48	1.18	1.56	1.2	2.09	2.46	2.21	1.41	2.85	2.86	2	1.38
1913	1.25	1.29	1.61	1.75	1.7	2.67	2.87	1.01	2.57	2.25	1.74	1.73
1914	1.87	1.8	2.83	2.11	2.31	3.01	3.57	1.21	3.23	2.87	2.03	3.12
1915	2.24	1.81	2.47	2.23	2.52	3.19	3.17	2	3.33	3.17	1.9	3.27
1916	2.29	1.78	2.74	2.06	3.04	3.59	3.19	3.5	3.4	3.23	1.63	2.76
1917	2.14	1.64	3.82	1.9	3.11	3.72	3.65	4.09	3.62	2.75	1.38	2.79
1918	1.77	1.54	3.28	1.79	2.89	3.37	2.82	3.29	3.56	2.63	2	2.39
1919	1.67	1.37	2.97	1.94	2.05	2.71	2.08	2.03	2.81	2.12	1.92	2.09
1920	2.13	1.22	2.98	1.85	2.05	2.18	1.91	1.17	2.73	2.08	1.68	2.54
1921	1.23	0.65	2.53	1.53	1.12	2.02	1.64	0.91	2.29	1.74	1.26	2.13
1922	0.79	0.55	1.7	1.94	0.89	1.62	1.32	0.58	2.81	1.68	2.37	2.53
1923	1.67	1.01	2.39	2.08	1.27	1.99	1.6	0.97	2.63	1.79	1.9	2.4
1924	1.11	1.58	2.56	3.17	2.13	2.24	1.34	1.69	2.75	2.02	1.97	2.84
1925	1.81	2.2	3.15	2.33	2.5	2.75	1.82	2.72	3	2.04	2.58	3.16
1926	1.81	1.8	2.51	2.04	2.54	2.51	2.18	2.75	2.84	1.99	2.42	2.73
1927	2.32	1.92	3.37	2.24	3.09	2.92	2.81	2.78	2.87	2.06	3.17	2.56
1928	1.47	1.14	1.87	1.4	1.91	1.96	1.42	1.64	2.08	1.42	1.68	1.6
1929	1.29	1.21	1.37	1.83	1.83	1.41	1.48	0.89	1.75	1.57	2.45	1.83
1930	1.29	1.32	1.77	1.65	1.92	1.52	1.81	0.68	1.64	1.45	2.28	0.99
