# Vanoni - Derborence - LADE - ITRDB CHE443
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41255
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41255.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che443-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che443.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che443.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Vanoni - Derborence - LADE - ITRDB CHE443
#--------------------
# Investigators
#   Investigators: Vanoni, Marco; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Vanoni, Marco; Harald Bugmann; Magdalena Nötzli; Christof Bigler
#   Published_Date_or_Year: 2016
#   Published_Title: Drought and frost contribute to abrupt growth decreases before tree mortality in nine temperate tree species
#   Journal_Name: Forest Ecology and Management
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.foreco.2016.10.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Swiss National Science Foundation
#   Grant: 140968
#--------------------
# Site_Information
#   Site_Name: Derborence
#   Location: Switzerland
#   Northernmost_Latitude: 46.277222232
#   Southernmost_Latitude: 46.277222232
#   Easternmost_Longitude: 7.218055563
#   Westernmost_Longitude: 7.218055563
#   Elevation_m: 1500
#--------------------
# Data_Collection
#   Collection_Name: CHE443
#   First_Year: 1789
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## 60572_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60572; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60573_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60573; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60574_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60574; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60575_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60575; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60576_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60576; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60577_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60577; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60578_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60578; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60579_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60579; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60580_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60580; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## 60581_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: 60581; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	60572_raw	60573_raw	60574_raw	60575_raw	60576_raw	60577_raw	60578_raw	60579_raw	60580_raw	60581_raw
1789	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA
1790	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA
1791	NA	1.1	NA	NA	NA	NA	NA	NA	NA	NA
1792	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA
1793	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA
1794	NA	0.94	NA	NA	NA	NA	NA	NA	NA	NA
1795	NA	1.02	NA	NA	NA	NA	NA	NA	NA	NA
1796	NA	0.87	NA	NA	NA	NA	NA	NA	NA	NA
1797	NA	0.89	NA	NA	NA	NA	NA	NA	NA	NA
1798	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA
1799	NA	0.61	NA	NA	NA	NA	NA	NA	NA	NA
1800	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA
1801	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA
1802	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
1803	NA	0.66	NA	NA	NA	NA	NA	NA	NA	NA
1804	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
1805	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA
1806	NA	0.45	NA	NA	NA	NA	NA	NA	NA	NA
1807	NA	0.59	NA	NA	NA	NA	NA	NA	NA	NA
1808	NA	0.72	NA	NA	NA	NA	NA	NA	NA	NA
1809	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA
1810	NA	0.08	NA	NA	NA	NA	NA	NA	NA	NA
1811	NA	0.09	NA	NA	NA	NA	NA	NA	NA	NA
1812	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA
1813	NA	0.19	1.02	NA	NA	NA	NA	NA	NA	NA
1814	NA	0.13	2.04	NA	NA	NA	NA	NA	NA	NA
1815	NA	0.14	1.4	NA	NA	NA	NA	NA	NA	NA
1816	NA	0.09	1.15	NA	NA	NA	NA	NA	NA	NA
1817	NA	0.05	1.36	NA	NA	NA	NA	NA	NA	NA
1818	NA	0.09	1.29	NA	NA	NA	NA	NA	NA	NA
1819	NA	0.08	0.75	NA	NA	NA	NA	NA	NA	NA
1820	NA	0.16	0.47	NA	NA	NA	NA	NA	NA	NA
1821	NA	0.12	0.44	NA	NA	NA	NA	NA	NA	NA
1822	NA	0.17	0.61	NA	NA	NA	NA	NA	NA	NA
1823	NA	0.55	1.96	NA	NA	NA	NA	NA	NA	NA
1824	NA	0.22	1.7	NA	NA	NA	NA	NA	NA	NA
1825	NA	0.33	1.11	NA	NA	NA	NA	NA	NA	NA
1826	NA	0.31	0.67	2.19	NA	NA	NA	NA	NA	NA
1827	NA	0.25	2.15	2	NA	NA	NA	NA	NA	NA
1828	NA	0.27	1.44	1.7	NA	NA	NA	NA	NA	NA
1829	NA	0.09	0.9	1.21	NA	NA	NA	NA	NA	NA
1830	NA	0.2	0.78	1.02	NA	NA	NA	NA	NA	NA
1831	NA	0.24	0.8	1.11	NA	NA	NA	NA	NA	NA
1832	NA	0.28	0.71	0.8	NA	NA	NA	NA	NA	NA
1833	NA	0.58	3.08	1.54	NA	NA	NA	NA	NA	NA
1834	NA	0.38	1.92	1.33	NA	NA	NA	NA	NA	NA
1835	NA	0.3	1.21	1.34	NA	NA	NA	NA	NA	NA
1836	NA	0.34	0.9	1.27	NA	NA	NA	NA	NA	NA
1837	NA	0.42	0.81	1.53	NA	NA	NA	NA	NA	NA
1838	NA	0.4	0.81	1.25	NA	NA	NA	NA	NA	NA
1839	NA	0.45	0.83	1.43	1.17	NA	NA	NA	NA	NA
1840	NA	0.51	1.11	1.92	1.05	NA	NA	NA	NA	NA
1841	NA	0.54	1.08	2.22	1.09	NA	NA	NA	NA	NA
1842	NA	0.7	1.07	2.27	1.14	NA	NA	NA	NA	NA
1843	NA	0.66	0.83	1.71	1.07	NA	NA	NA	NA	NA
1844	NA	1.05	0.86	3.02	2.44	NA	NA	NA	NA	NA
1845	NA	0.61	0.72	1.99	1.39	NA	NA	NA	NA	NA
1846	NA	0.47	0.99	1.63	1.19	NA	NA	NA	NA	NA
1847	NA	0.61	1.22	1.69	1.19	NA	NA	NA	NA	NA
1848	NA	0.44	1.01	1.47	1.03	NA	NA	NA	NA	NA
1849	NA	0.38	0.72	1.47	0.67	NA	NA	NA	NA	NA
1850	NA	0.45	0.8	1.31	1.04	NA	NA	NA	NA	NA
1851	NA	0.27	0.66	1.24	0.9	NA	NA	NA	NA	NA
1852	NA	0.28	0.85	1.4	0.91	NA	NA	NA	NA	NA
1853	NA	0.29	0.82	1.64	0.83	NA	NA	NA	NA	NA
1854	NA	0.3	0.82	1.39	0.76	NA	NA	NA	NA	NA
1855	NA	0.32	0.79	1.18	0.83	NA	NA	NA	NA	NA
1856	NA	0.36	0.76	1.14	0.78	NA	NA	NA	NA	NA
1857	NA	0.39	0.94	1.39	0.92	NA	NA	NA	NA	NA
1858	NA	0.46	1.05	1.4	0.95	NA	NA	NA	NA	NA
1859	NA	0.43	1.28	1.37	1.28	NA	NA	NA	NA	NA
1860	NA	0.5	1.27	1.41	1.32	0.86	NA	NA	NA	NA
1861	NA	0.28	1.3	1.57	1.25	0.44	NA	NA	NA	NA
