# Rohner - Krummenlinden - QUSP - ITRDB CHE453
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41265
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41265.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che453-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che453.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che453.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Rohner - Krummenlinden - QUSP - ITRDB CHE453
#--------------------
# Investigators
#   Investigators: Rohner, Brigitte; Ringwald, Veronique; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 545 - 555 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Rohner B.E. 2012. Growth and mortality of oak (Quercus spp.): a combined analysis of monitoring and tree-ring data from Swiss forest reserves. PhD thesis. ETH Zurich, Zurich. doi:10.3929/ethz-a-007594406
#   Abstract:
#--------------------
# Publication
#   Authors: Rohner, Brigitte; Harald Bugmann; Christof Bigler
#   Published_Date_or_Year: 2013
#   Published_Title: Estimating the age–diameter relationship of oak species in Switzerland using nonlinear mixed-effects models
#   Journal_Name: Eur J Forest Res
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1007/s10342-013-0710-5
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: Swiss Federal Office for the Environment (FOEN)
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Krummenlinden
#   Location: Switzerland
#   Northernmost_Latitude: 47.5575
#   Southernmost_Latitude: 47.5575
#   Easternmost_Longitude: 8.33555556
#   Westernmost_Longitude: 8.33555556
#   Elevation_m: 550
#--------------------
# Data_Collection
#   Collection_Name: CHE453
#   First_Year: 1888
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KlE092_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE092; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE093_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE093; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE094_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE094; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE095_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE095; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE096_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE096; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE097_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE097; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE098_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE098; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE099_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE099; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE100_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE100; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE101_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE101; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE102_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE102; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE103_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE103; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE104_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE104; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE105_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE105; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE106_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE106; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE107_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE107; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE108_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE108; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE109_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE109; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE111_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE111; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE112_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE112; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE113_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE113; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE114_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE114; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE115_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE115; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE116_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE116; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE117_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE117; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE118_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE118; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE119_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE119; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE120_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE120; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlE121_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlE121; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KlE092_raw	KlE093_raw	KlE094_raw	KlE095_raw	KlE096_raw	KlE097_raw	KlE098_raw	KlE099_raw	KlE100_raw	KlE101_raw	KlE102_raw	KlE103_raw	KlE104_raw	KlE105_raw	KlE106_raw	KlE107_raw	KlE108_raw	KlE109_raw	KlE111_raw	KlE112_raw	KlE113_raw	KlE114_raw	KlE115_raw	KlE116_raw	KlE117_raw	KlE118_raw	KlE119_raw	KlE120_raw	KlE121_raw
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.32	NA	NA	NA	NA	NA	NA	NA	NA	NA
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.27	NA	NA	NA	NA	NA	NA	NA	NA	NA
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39	NA	NA	NA	NA	NA	NA	NA	NA	NA
1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
1898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
1899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA	NA	NA	NA	NA	NA
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
1905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	NA	NA	1.26	NA	NA	NA	NA	0.77
1907	NA	NA	4.38	NA	NA	NA	NA	NA	NA	2.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59	NA	NA	NA	4.04	NA	NA	1.31	NA	1.35
1908	NA	NA	3.71	NA	NA	NA	NA	NA	NA	1.74	1.77	NA	NA	NA	NA	NA	NA	NA	NA	1.43	NA	NA	NA	1.52	NA	NA	2.03	3.13	1.19
1909	NA	2.24	1.87	NA	NA	NA	NA	NA	NA	2.84	2.75	NA	NA	NA	NA	2.81	3.79	1.59	NA	1.42	NA	NA	NA	2.8	NA	NA	1.76	2.45	0.98
1910	NA	2.39	1.14	NA	NA	NA	NA	NA	NA	2.97	2.54	NA	NA	NA	NA	1.45	2.1	1.1	NA	1.32	NA	NA	NA	2.2	NA	NA	2.99	1.74	1.16
1911	NA	1.89	1.27	NA	NA	NA	NA	NA	NA	3.07	4.04	NA	NA	NA	NA	1.28	4.54	1.87	NA	1.79	NA	NA	NA	1.76	NA	NA	2.97	3.76	1.24
1912	4.32	2.92	3.48	NA	NA	NA	NA	4.44	NA	4.86	3.46	NA	NA	NA	NA	2.22	2.98	2.93	NA	2.13	NA	NA	NA	2.43	NA	NA	2.21	4.08	1.97
1913	3.04	2.09	2.21	NA	1.34	NA	NA	2.44	NA	3.22	2.71	NA	NA	NA	NA	1.62	2.01	1.76	NA	1.61	1.08	NA	NA	1.86	NA	NA	2.01	3.7	1.46
1914	3.15	2.12	2.49	NA	0.99	NA	NA	3.19	NA	3.79	3.15	NA	NA	NA	NA	2.06	1.15	1.69	NA	1.78	1.37	NA	NA	2.22	NA	NA	2.26	3.38	1.81
1915	2.05	2.07	2.19	NA	0.96	NA	1.34	2.06	1.93	1.87	2.37	NA	NA	NA	NA	1.4	1.03	2.26	NA	2.1	1.14	NA	NA	1.81	NA	NA	1.65	3.32	0.95
1916	2.19	2.3	2.06	NA	0.87	NA	1.45	2.43	2.54	2.21	2.56	NA	NA	NA	NA	1.61	1.15	1.93	NA	2.51	1.17	0.73	NA	1.99	NA	1.95	2.58	4.53	1.53
1917	1.91	2.33	2.1	NA	0.59	NA	1.32	1.97	2.08	1.74	2.28	NA	NA	1.23	1.33	1.03	1.61	2.21	NA	2.22	1.26	0.76	NA	1.88	NA	1.86	1.88	3.89	1.35
1918	1.77	2.1	2.23	0.8	0.6	NA	1.51	2.15	2.16	1.79	1.9	NA	NA	1.04	1.34	1.23	1.1	2.4	NA	2.04	1.15	0.77	NA	1.62	1.45	1.1	1.66	2.91	1.42
1919	1.19	1.28	1.7	0.71	0.5	NA	1.08	1.62	1.97	1.51	1.4	NA	NA	1.26	1.2	1.12	1.2	2.73	NA	1.7	1.05	0.67	NA	1.21	1.14	0.95	1.45	2.99	0.82
1920	1.64	1.89	1.89	0.66	0.65	NA	1.24	1.59	1.95	1.37	1.73	NA	NA	1.2	1.46	1.34	1.26	2.64	NA	1.31	1.21	1	2.23	1.35	1.3	1.14	1.29	2.48	1.03
1921	1.48	1.6	1.49	0.86	0.65	NA	0.95	1.07	1.65	1.5	1.29	NA	NA	1	1.02	0.82	0.58	2.13	NA	1.19	0.96	1.06	2.04	1.1	1	0.89	1.66	2.04	0.66
1922	1.94	2.37	1.92	1.29	1.27	NA	0.9	1.73	1.56	1.55	1.74	NA	NA	1.59	1.54	1.41	1.51	1.97	1.45	2.14	1.28	1.16	2.41	1.2	1.23	0.93	2.38	2.67	0.68
1923	2.43	1.9	2.15	1.44	1.36	NA	1.09	1.29	2.09	1.31	1.85	NA	NA	1.9	1.29	1.37	2.38	2.55	1.59	2.26	1.12	1.44	2.25	1.26	1.75	1.63	2.05	2.6	0.93
1924	2.19	2.09	1.59	1.23	1.54	NA	1.13	1.24	1.83	1.71	1.8	NA	NA	1.9	1.9	1.45	2.67	2.46	2.29	2.61	1.44	1.27	2.15	1.44	1.65	2.12	2.12	2.32	0.95
1925	1.94	2.12	1.84	0.88	1.33	NA	0.87	0.89	1.49	1.42	1.44	NA	NA	1.63	1.39	1.37	2.2	2.34	1.68	2.66	1.03	1.01	1.4	1.31	1.57	1.62	2	2.28	0.94
1926	2.07	2.34	1.63	0.87	1.75	NA	1.12	1.14	1.37	1.5	1.22	NA	NA	1.55	1.72	1.93	2.82	2.11	2.03	2.9	1.28	1.07	1.43	1.52	2.22	2.12	2.74	2.88	1.9
1927	2.13	2.28	1.67	0.71	1.07	1.79	1.02	1.23	1.32	1.8	1.8	NA	NA	1.63	1.93	1.3	3.14	2.21	1.89	3.03	1.23	0.84	1.23	1.43	2.34	1.94	2.69	3.19	1.93
1928	2.06	1.88	1.89	0.88	1.12	1.38	0.9	0.91	1.71	1.52	1.3	NA	NA	1.32	1.09	1.11	2.18	2.34	1.51	2.52	1.05	0.71	1.45	1.29	1.62	1.31	2.39	2.39	2.07
1929	2.36	2.53	1.81	0.97	1.63	1.85	0.89	0.93	1.42	1.85	1.01	NA	NA	1.2	1.4	1	2.39	2.07	1.5	2.18	1.14	0.87	1.34	1.16	1.42	1.37	2.63	3.62	2.22
1930	2.45	3.26	2.24	1.2	1.98	2.31	1.3	1.1	2.29	2.47	1.61	NA	NA	1.28	1.26	0.98	2.51	2.22	1.33	2.27	1.17	0.8	1.4	1.39	1.78	1.58	2.84	3.5	2.38
1931	2.56	2.87	2.42	1.27	1.59	3.57	1.41	0.86	1.97	2.87	1.68	NA	NA	1.58	1.4	0.98	2.52	2.2	1.3	2.71	1.43	0.71	1.67	1.57	1.67	1.89	2.5	3.48	2.89
1932	2.42	2.66	2.39	1.32	1.6	2.98	1.63	1.18	2.07	2.67	1.69	NA	NA	2.33	1.08	1.3	2.22	1.99	1.56	3.06	1.37	0.9	1.9	1.7	1.91	1.62	2.82	3.13	3.12
