# Ferrari - Camana, Val Bregaglia - ABAL - ITRDB CHE467
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41279
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41279.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che467-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che467.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che467.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Ferrari - Camana, Val Bregaglia - ABAL - ITRDB CHE467
#--------------------
# Investigators
#   Investigators: Ferrari, Michela; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: Elevation range: 1172 - 1247 m a.s.l.
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Ferrari M. 2024. Wachstum und Verbreitung der Weisstanne im Bergell. Master’s thesis. ETH Zurich, Zurich. doi:10.3929/ethz-b-000676922
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Camana, Val Bregaglia
#   Location: Switzerland
#   Northernmost_Latitude: 46.3376533
#   Southernmost_Latitude: 46.3376533
#   Easternmost_Longitude: 9.594620274
#   Westernmost_Longitude: 9.594620274
#   Elevation_m: 1209
#--------------------
# Data_Collection
#   Collection_Name: CHE467
#   First_Year: 1778
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CA01TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA01TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA06TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA06TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA07TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA07TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA08TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA08TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA09TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA09TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA10TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA10TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA11TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA11TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA12TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA12TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CA16TA_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CA16TA; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CA01TA_raw	CA06TA_raw	CA07TA_raw	CA08TA_raw	CA09TA_raw	CA10TA_raw	CA11TA_raw	CA12TA_raw	CA16TA_raw
1778	NA	NA	NA	NA	NA	2.4	NA	NA	NA
1779	NA	NA	NA	NA	NA	2.06	NA	NA	NA
1780	NA	NA	NA	NA	NA	1.52	NA	NA	NA
1781	NA	1.45	NA	NA	1.27	1.2	NA	NA	NA
1782	NA	1.98	NA	NA	0.81	1.25	NA	NA	NA
1783	NA	1.66	NA	NA	0.66	1.45	NA	NA	NA
1784	NA	1.38	NA	NA	0.39	0.92	NA	NA	NA
1785	NA	0.64	NA	NA	0.29	0.84	NA	NA	NA
1786	NA	0.29	NA	NA	0.44	1.1	NA	NA	NA
1787	NA	0.64	NA	NA	0.6	1.14	NA	NA	NA
1788	NA	1.06	NA	NA	0.7	1.12	NA	NA	NA
1789	NA	1.11	NA	NA	0.48	0.93	NA	NA	NA
1790	NA	1.6	NA	NA	0.65	1.08	NA	NA	NA
1791	NA	1.54	NA	NA	0.63	1.2	NA	NA	NA
1792	NA	1.53	NA	NA	0.81	1.21	NA	NA	NA
1793	NA	1.53	NA	NA	0.79	1.35	NA	NA	NA
1794	NA	1.21	NA	NA	0.74	1.51	NA	NA	NA
1795	NA	0.9	NA	NA	0.84	1.23	NA	NA	NA
1796	NA	0.97	NA	NA	1.02	1.49	NA	NA	NA
1797	NA	0.51	NA	NA	0.77	1.11	NA	NA	NA
1798	NA	0.67	NA	NA	0.7	1.35	NA	NA	NA
1799	NA	0.74	NA	NA	0.61	1.05	NA	NA	NA
1800	NA	0.61	NA	NA	0.53	1.17	NA	NA	NA
1801	1.35	0.62	NA	NA	0.48	1.14	NA	NA	NA
1802	1.67	0.53	NA	NA	0.51	1.1	NA	NA	NA
1803	1.28	0.46	NA	NA	0.67	0.82	NA	NA	NA
1804	1.16	0.7	NA	NA	0.92	0.71	NA	0.45	NA
1805	1.47	0.85	NA	NA	1.08	1.03	NA	0.68	NA
1806	1.7	1.41	NA	NA	1.05	0.95	NA	0.7	NA
1807	1.48	1.66	NA	NA	1.07	1.54	NA	0.64	NA
1808	1.48	1.4	NA	NA	0.88	1	NA	0.42	0.83
1809	1.78	1.64	NA	NA	1.12	1.28	NA	0.74	1.09
1810	1.44	1.29	NA	NA	1.27	1.16	NA	0.83	1.65
1811	1.42	1.11	NA	NA	1.15	0.96	NA	0.69	1.85
1812	1.11	0.86	NA	NA	0.94	0.67	NA	0.63	1.59
1813	1.29	1.04	NA	NA	0.86	0.7	NA	0.69	1.83
1814	1.26	1.18	NA	NA	0.92	0.8	NA	0.47	1.71
1815	0.96	1.08	NA	NA	0.8	0.58	NA	0.49	1.25
1816	0.97	1.26	NA	NA	0.75	0.65	NA	0.5	1.07
1817	1.05	1.6	NA	NA	0.89	0.7	0.92	0.57	1.05
1818	1	1.67	NA	NA	0.71	0.47	0.74	0.6	1.34
1819	0.91	1.62	NA	NA	0.72	0.45	0.85	0.73	1.21
1820	0.92	1.71	NA	NA	0.98	0.38	0.9	1	0.77
1821	0.99	1.5	NA	NA	1.2	0.42	0.72	1.35	0.93
1822	1.09	1.12	NA	NA	0.91	0.39	0.49	1.19	0.94
1823	1.18	1.15	NA	NA	0.84	0.26	0.6	1.32	1.27
1824	1.48	1.53	NA	NA	1	0.35	0.75	1.48	2.14
1825	1.33	1.53	NA	NA	0.86	0.4	0.73	1.24	2.28
1826	1.33	1.36	NA	NA	0.75	0.43	1.27	1.35	2.25
1827	1.21	1.38	NA	NA	0.82	0.42	1.04	1.21	1.86
1828	1.3	1.42	NA	NA	0.98	0.57	1.18	1.16	1.52
1829	1.38	1.28	1.78	NA	0.98	0.58	1.08	1.25	1.49
1830	1.07	1.13	2.13	NA	0.98	0.54	1.04	1.14	1.66
1831	1.17	1.04	2.2	NA	1.04	0.61	1.14	1.72	1.37
1832	1.26	1	2.09	NA	0.61	0.45	0.89	1.79	1.24
1833	0.79	0.92	1.81	NA	0.36	0.38	1.01	1.42	0.88
1834	1.03	1.19	1.74	NA	0.62	0.49	1.03	1.57	0.9
1835	1.4	1.27	1.78	NA	0.6	0.46	1.12	1.63	0.66
1836	1.59	1.28	1.81	NA	0.38	0.39	0.88	1.41	0.69
1837	1.25	1.04	1.43	NA	0.31	0.32	1	1.44	0.62
1838	1.27	1.31	1.41	NA	0.41	0.38	0.96	1.64	0.75
1839	1.06	1.49	1.38	NA	0.38	0.42	0.8	1.41	0.77
1840	1.25	1.43	1.27	NA	0.39	0.35	0.88	1.74	0.79
1841	1.66	1.83	1.59	NA	0.47	0.44	1.01	2	0.87
1842	1.83	1.8	1.66	NA	0.55	0.48	1.14	2.51	1.29
1843	1.76	1.72	1.83	NA	0.62	0.45	1.24	2.74	1.67
1844	1.68	1.65	1.56	NA	0.83	0.46	0.98	2.66	1.52
1845	1.66	1.45	1.39	NA	1.06	0.51	1.01	2.41	1.38
1846	2.09	2	2.22	NA	1.06	0.3	1.54	2.56	1.78
1847	1.53	1.16	1.94	NA	0.84	0.29	1.21	2.15	1.5
1848	1.9	1.39	1.86	NA	0.97	0.31	1.24	2.11	2.23
1849	1.37	1.14	1.58	NA	0.88	0.35	1.03	2.09	1.75
1850	1.32	1.46	1.07	NA	0.92	0.3	1.01	1.69	1.75
