# Scherrer - Tschlin, Engiadina Bassa - ABAL - ITRDB CHE481
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41293
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41293.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che481-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che481.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che481.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Scherrer - Tschlin, Engiadina Bassa - ABAL - ITRDB CHE481
#--------------------
# Investigators
#   Investigators: Scherrer, Judith; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Scherrer J. 2024. Das Potenzial der Weisstanne im Unterengadin. Master’s thesis. ETH Zurich, Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Tschlin, Engiadina Bassa
#   Location: Switzerland
#   Northernmost_Latitude: 46.87643678
#   Southernmost_Latitude: 46.87643678
#   Easternmost_Longitude: 10.42154921
#   Westernmost_Longitude: 10.42154921
#   Elevation_m: 1664
#--------------------
# Data_Collection
#   Collection_Name: CHE481
#   First_Year: 1919
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Abies alba Mill.
#   Common_Name: silver fir
#   Tree_Species_Code: ABAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TS01T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS01T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS02T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS02T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS03T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS03T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS04T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS04T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS05T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS05T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS06T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS06T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS07T_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS07T_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TS01T_01_raw	TS02T_01_raw	TS03T_01_raw	TS04T_01_raw	TS05T_01_raw	TS06T_01_raw	TS07T_01_raw
1919	NA	1.62	0.91	NA	NA	NA	NA
1920	NA	1.05	0.55	NA	NA	NA	NA
1921	NA	1.7	0.76	NA	NA	NA	NA
1922	NA	0.47	0.59	NA	NA	NA	NA
1923	NA	0.62	0.69	NA	NA	NA	0.5
1924	NA	1.17	0.72	NA	NA	NA	1.03
1925	1.05	1.4	0.48	NA	NA	NA	0.95
1926	1.1	1.54	0.92	NA	NA	NA	0.7
1927	0.91	1.19	0.8	NA	NA	NA	0.64
1928	0.86	1.51	0.82	NA	NA	NA	0.84
1929	0.75	1.39	1.31	NA	NA	NA	1.05
1930	0.79	1.31	1.16	NA	NA	NA	1.24
1931	1.1	1.9	1.37	NA	NA	NA	1.45
1932	1.21	2.09	1.51	NA	NA	NA	1.28
1933	0.98	1.87	1.4	NA	NA	NA	1.08
1934	0.69	1.4	1.24	NA	NA	NA	0.84
1935	0.98	1.72	1.25	NA	0.39	1.73	0.82
1936	1.04	1.88	1.31	NA	0.55	1.92	1.11
1937	0.8	1.58	1.05	NA	0.57	1.75	0.83
1938	0.83	1.91	1.6	NA	0.65	1.94	0.9
1939	0.78	1.93	1.39	NA	0.59	2.24	0.8
1940	0.75	1.71	1.23	NA	0.54	1.67	0.7
1941	0.75	1.62	1.21	0.68	0.54	1.86	0.61
1942	0.58	1.45	0.67	0.53	0.47	1.86	0.64
1943	1.06	1.12	0.61	0.68	0.4	0.88	0.57
1944	0.98	1.65	0.95	0.52	0.44	1.19	0.43
1945	0.96	1.81	0.82	0.46	0.36	1.51	0.34
1946	0.98	2.1	0.97	0.76	0.67	2.08	0.7
1947	0.98	2.28	0.98	0.64	0.76	1.79	0.87
1948	0.99	2.19	0.78	0.87	0.64	1.51	1.08
1949	0.88	2.65	1.04	0.84	0.74	1.82	1.28
1950	1.04	2.31	1.12	1.02	0.7	1.62	1.3
1951	1.08	2.72	1.87	1.1	0.93	1.4	1.31
1952	1.04	2.69	1.69	1.36	1.08	2.01	1.31
1953	0.91	2.45	1.16	1.37	1.15	1.54	1.38
1954	0.94	2.77	1.29	1.37	1.41	1.55	1.55
1955	0.84	2.64	0.81	1.04	1.6	1.8	1.52
1956	0.96	2.72	0.78	1.31	1.74	1.67	1.86
1957	0.98	2.77	0.87	1.27	1.46	2.07	1.7
1958	0.94	3.1	1.35	1.54	1.23	3.03	1.86
1959	1	3	1.86	1.43	1.19	3	1.7
1960	1	3.03	1.28	1.57	1.17	2.7	1.24
1961	1.12	2.77	1.62	1.62	1.57	2.88	1.38
1962	0.62	2.58	1.65	1.43	1.37	2.42	1.14
1963	0.4	2.44	2.01	1.23	1.14	2.6	0.92
1964	0.6	2.55	2.03	1.51	1.31	3.37	1.16
1965	0.61	2.4	1.83	1.65	1.51	2.68	1.13
1966	0.56	2.28	1.43	1.37	1.05	2.4	0.86
1967	0.58	2.79	1.46	1.89	1.48	2.87	1
1968	0.52	2.7	1.39	1.93	1.6	2.65	1.09
1969	0.76	2.68	1.28	1.86	2.12	3.28	1.22
1970	0.73	2.48	0.99	0.72	1.93	2.63	1.14
1971	0.66	2.63	1.03	1.46	1.75	3.66	1.42
1972	0.67	2.61	1.1	2.06	1.79	3.54	1.33
1973	0.52	2.06	1.04	0.86	1.15	2.6	1.11
1974	0.52	2.25	0.88	1.18	1.61	2.94	0.94
1975	0.45	2.07	0.69	1.24	0.99	1.97	0.79
1976	0.38	2.09	0.66	1.66	1.77	2.72	1.14
1977	0.74	2.56	0.91	2.31	1.96	2.76	1.44
1978	0.72	2.42	0.91	2.08	1.82	2.58	1.33
1979	0.77	2.07	0.92	1.8	1.69	2.27	0.89
1980	0.69	2.19	0.95	2.04	1.86	2.56	1
1981	0.75	1.83	0.74	1.74	1.6	1.96	1.09
1982	0.9	2.18	1.16	2.12	1.8	2.54	1.34
1983	1.38	2.17	1.18	2.83	2.13	2.5	1.6
1984	0.92	1.77	0.78	2.63	1.72	2.11	1.41
1985	0.98	2.02	1.57	3.17	1.72	2.42	1.95
1986	0.73	1.74	1.42	2.29	1.63	1.96	1.86
1987	0.92	2.08	1.4	2.89	1.86	2.56	1.85
1988	1.19	2.54	1.82	2.78	2.22	2.3	3.06
1989	1.45	2.59	4.62	2.39	2.31	3.02	3.91
1990	1.42	3.02	5.26	3.09	2.19	3.52	3.94
1991	1.83	3.46	4.24	3.08	2.16	3.43	4.5
1992	2.13	3.37	4.74	3.24	1.99	3.64	1.89
1993	1.88	3.2	3.21	3.48	2.19	3.83	2.82
1994	2.29	3.41	3.93	3.55	2.2	4.03	3.44
1995	3.02	3.67	3.08	3.55	2.06	4.89	3.38
1996	2.4	3.23	2	2.34	1.69	3.14	2.76
1997	2.61	3.68	2.52	3	2.41	3.8	3.41
1998	2.17	3.15	2.14	2.95	2.12	3.26	3.05
