# Scherrer - Tschlin, Engiadina Bassa - PCAB - ITRDB CHE482
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41294
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41294.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che482-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che482.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che482.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-02
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-02
#--------------------
# Title
#   Study_Name: Scherrer - Tschlin, Engiadina Bassa - PCAB - ITRDB CHE482
#--------------------
# Investigators
#   Investigators: Scherrer, Judith; Nötzli, Magdalena; Bigler, Christof
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Scherrer J. 2024. Das Potenzial der Weisstanne im Unterengadin. Master’s thesis. ETH Zurich, Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Tschlin, Engiadina Bassa
#   Location: Switzerland
#   Northernmost_Latitude: 46.87643678
#   Southernmost_Latitude: 46.87643678
#   Easternmost_Longitude: 10.42154921
#   Westernmost_Longitude: 10.42154921
#   Elevation_m: 1664
#--------------------
# Data_Collection
#   Collection_Name: CHE482
#   First_Year: 1752
#   Last_Year: 2023
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## TS01F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS01F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS02F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS02F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS05F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS05F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS08F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS08F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS09F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS09F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS10F_02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS10F_02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS11F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS11F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS13F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS13F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS14F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS14F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## TS15F_01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: TS15F_01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	TS01F_01_raw	TS02F_01_raw	TS05F_01_raw	TS08F_01_raw	TS09F_01_raw	TS10F_02_raw	TS11F_01_raw	TS13F_01_raw	TS14F_01_raw	TS15F_01_raw
1752	NA	NA	NA	NA	NA	0.77	NA	NA	NA	NA
1753	NA	NA	NA	NA	NA	0.53	NA	NA	NA	NA
1754	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA
1755	NA	NA	NA	NA	NA	0.51	NA	NA	NA	NA
1756	NA	NA	NA	NA	NA	0.29	NA	NA	NA	NA
1757	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA
1758	NA	NA	NA	NA	NA	0.34	NA	NA	NA	NA
1759	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1760	NA	NA	NA	NA	NA	0.4	NA	NA	NA	NA
1761	NA	NA	NA	NA	NA	0.33	NA	NA	NA	NA
1762	NA	NA	NA	NA	NA	0.24	NA	NA	NA	NA
1763	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA
1764	NA	NA	NA	NA	NA	0.31	NA	NA	NA	NA
1765	NA	NA	NA	NA	NA	0.34	NA	NA	NA	NA
1766	NA	NA	NA	NA	NA	0.31	NA	NA	NA	NA
1767	NA	NA	NA	NA	NA	0.21	NA	NA	NA	NA
1768	NA	NA	NA	NA	NA	0.28	NA	NA	NA	NA
1769	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA
1770	NA	NA	NA	NA	NA	0.09	NA	NA	NA	NA
1771	NA	NA	NA	NA	NA	0.11	NA	NA	NA	NA
1772	NA	NA	NA	NA	NA	0.15	NA	NA	NA	NA
1773	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA
1774	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA
1775	NA	NA	NA	NA	NA	0.16	NA	NA	NA	NA
1776	NA	NA	NA	NA	NA	0.29	NA	NA	NA	NA
1777	NA	NA	NA	NA	NA	0.26	NA	NA	NA	NA
1778	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA
1779	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1780	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA
1781	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA
1782	NA	NA	NA	NA	NA	0.47	NA	NA	NA	NA
1783	NA	NA	NA	NA	NA	0.39	NA	NA	NA	NA
1784	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA
1785	NA	NA	NA	NA	NA	0.21	NA	NA	NA	NA
1786	NA	NA	NA	NA	NA	0.18	NA	NA	NA	NA
1787	NA	NA	NA	NA	NA	0.2	NA	NA	NA	NA
1788	NA	NA	NA	NA	NA	0.24	NA	NA	NA	NA
1789	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA
1790	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA
1791	NA	NA	NA	NA	NA	0.36	NA	NA	NA	NA
1792	NA	NA	NA	NA	NA	0.41	NA	NA	NA	NA
1793	NA	NA	NA	NA	NA	0.41	NA	NA	NA	NA
1794	NA	NA	NA	NA	NA	0.71	NA	NA	NA	NA
1795	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA
1796	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA
1797	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA
1798	NA	NA	NA	NA	NA	0.92	NA	NA	NA	NA
1799	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA
1800	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA
1801	NA	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1802	NA	NA	NA	NA	NA	0.68	NA	NA	NA	NA
1803	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA
1804	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA
1805	NA	NA	NA	NA	NA	0.51	NA	NA	NA	NA
1806	NA	NA	NA	NA	NA	0.32	NA	NA	NA	NA
1807	NA	NA	NA	NA	NA	0.4	NA	NA	NA	NA
1808	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA
1809	NA	NA	NA	NA	NA	0.49	NA	NA	NA	NA
1810	NA	NA	NA	NA	NA	0.37	NA	NA	NA	NA
1811	NA	NA	NA	NA	NA	0.43	NA	NA	NA	NA
1812	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA
1813	NA	NA	NA	NA	NA	0.65	NA	NA	NA	0.58
1814	NA	NA	NA	NA	NA	0.58	NA	NA	NA	0.63
1815	NA	NA	NA	NA	NA	0.63	NA	NA	NA	0.46
1816	NA	NA	NA	NA	NA	0.51	NA	NA	NA	0.61
1817	NA	NA	NA	NA	NA	0.57	NA	NA	NA	0.69
1818	NA	NA	NA	NA	NA	0.37	NA	NA	NA	0.6
1819	NA	NA	NA	NA	NA	0.77	NA	NA	NA	0.64
1820	NA	NA	NA	NA	NA	0.93	NA	NA	NA	0.72
1821	NA	NA	NA	NA	NA	0.74	NA	NA	NA	0.55
1822	NA	NA	NA	NA	NA	0.76	NA	NA	NA	0.82
1823	NA	NA	NA	NA	NA	1.3	NA	NA	NA	0.85
1824	NA	NA	NA	NA	NA	0.82	NA	NA	NA	0.81
1825	NA	NA	NA	NA	NA	1.09	NA	NA	NA	0.76
1826	NA	NA	NA	NA	NA	1	NA	NA	NA	0.8
1827	NA	NA	NA	NA	NA	0.94	NA	NA	NA	0.83
1828	NA	NA	NA	NA	NA	1.08	NA	NA	NA	1.04
1829	NA	NA	NA	NA	NA	1.32	NA	NA	NA	1.13
1830	NA	NA	NA	NA	NA	1.35	NA	NA	NA	0.85
1831	NA	NA	NA	NA	NA	1.32	NA	NA	NA	0.96
1832	NA	NA	NA	NA	NA	1.06	NA	NA	NA	0.88
1833	NA	NA	NA	1.51	NA	1.13	NA	NA	NA	1.06
1834	NA	NA	NA	1.79	NA	1.24	NA	NA	NA	1.36
1835	NA	NA	NA	2.07	NA	1.23	NA	NA	NA	1.16
1836	NA	NA	NA	1.69	NA	1.2	NA	NA	NA	1.16
1837	NA	NA	NA	1.94	NA	1.26	NA	NA	NA	1.39
1838	NA	NA	NA	1.84	NA	1.27	NA	NA	NA	1.07
1839	NA	NA	NA	1.71	NA	1.28	NA	NA	NA	1.48
1840	NA	NA	NA	2.34	NA	1.37	NA	NA	NA	1.69
1841	NA	NA	NA	2.55	NA	1.01	NA	NA	NA	1.42
1842	NA	NA	0.84	2.38	NA	0.86	NA	NA	NA	2.15
1843	NA	NA	0.62	2.04	NA	0.97	NA	NA	NA	2
1844	NA	NA	1.05	2.62	NA	1.15	NA	NA	NA	2.14
1845	NA	NA	0.7	2.54	NA	1.05	NA	NA	NA	1.97
1846	NA	NA	0.75	3.26	NA	1.15	NA	NA	NA	2.55
1847	NA	NA	0.38	2.73	NA	1.03	NA	NA	NA	2.08
1848	NA	NA	1.03	2.83	NA	1.28	NA	NA	1.31	1.55
1849	NA	NA	0.85	2.43	NA	1.25	NA	NA	0.98	1.56
1850	NA	NA	1.01	2.2	NA	1.59	NA	NA	1.06	1.77
1851	NA	NA	0.9	1.98	NA	1.57	NA	NA	1.09	1.51
1852	NA	NA	1.88	2.72	NA	1.8	NA	NA	1.06	1.89
1853	NA	NA	1.85	2.58	NA	1.58	NA	NA	0.95	2.19
1854	NA	NA	1.58	2.16	NA	1.7	NA	NA	0.82	1.82
1855	NA	1.69	1.1	1.93	NA	1.59	NA	NA	0.84	1.67
1856	NA	1.63	0.9	1.57	NA	1.68	NA	NA	0.94	1.67
1857	NA	1.39	0.93	1.98	NA	1.46	NA	NA	0.83	1.37
1858	NA	1.22	0.7	1.72	NA	1.2	NA	NA	0.83	1.19
1859	NA	1.3	0.5	2.29	NA	1.36	NA	NA	0.91	1.27
1860	NA	1.32	0.77	1.84	NA	1.75	NA	NA	0.89	1.41
1861	NA	1.54	0.76	2.1	NA	1.92	NA	NA	0.91	1.27
1862	NA	1.65	0.76	1.86	NA	1.64	NA	NA	0.69	1.27
