# Lévesque - Goppenstein - PCAB - ITRDB CHE492
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41746
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41746.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che492-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che492.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che492.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Goppenstein - PCAB - ITRDB CHE492
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Goppenstein
#   Location: Switzerland
#   Northernmost_Latitude: 46.35972222
#   Southernmost_Latitude: 46.35972222
#   Easternmost_Longitude: 7.76007
#   Westernmost_Longitude: 7.76007
#   Elevation_m: 1225
#--------------------
# Data_Collection
#   Collection_Name: CHE492
#   First_Year: 1917
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LP01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LP15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: LP15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LP01_raw	LP02_raw	LP03_raw	LP04_raw	LP05_raw	LP06_raw	LP07_raw	LP08_raw	LP09_raw	LP10_raw	LP11_raw	LP12_raw	LP13_raw	LP14_raw	LP15_raw
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.85	NA	NA
1920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89	NA	1.63
1921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.48	NA	1.8
1922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.01	NA	2.58
1923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.07	NA	2.48
1924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4	NA	2.2
1925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.53	NA	2.5
1926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	NA	3.55
1927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.88	NA	1.9
1928	NA	NA	NA	2.25	NA	NA	NA	NA	NA	NA	NA	NA	2.22	1.17	2.42
1929	NA	NA	NA	2.66	NA	NA	NA	NA	NA	NA	NA	1.32	2.22	1.72	2.3
1930	NA	NA	NA	3.4	NA	NA	NA	NA	NA	NA	NA	2.11	2.36	1.98	2.58
1931	NA	NA	NA	3.49	NA	NA	NA	NA	NA	NA	NA	1.52	2.77	2.03	2.56
1932	NA	NA	NA	4.16	NA	NA	NA	NA	NA	NA	NA	1.83	3.17	2.87	3.52
1933	NA	NA	NA	3.49	NA	NA	NA	NA	0.8	NA	NA	1.95	2.39	2.02	2.48
1934	NA	NA	NA	4.48	NA	NA	NA	NA	1.03	NA	NA	1.9	3.56	2	2.44
1935	0.95	NA	NA	3.73	NA	NA	NA	NA	0.41	NA	NA	1.8	2.73	1.72	2
1936	1.82	NA	NA	5.56	NA	NA	NA	NA	0.39	NA	NA	2.11	5.28	2.76	2.96
1937	1.93	NA	NA	3.53	NA	NA	NA	NA	0.39	1.54	NA	1.73	3.52	1.97	2.15
1938	1.74	NA	NA	3.99	NA	NA	NA	NA	0.55	1.85	NA	2.05	4.28	2.41	3.21
1939	1.76	1.28	NA	4.16	NA	NA	NA	NA	0.5	1.55	3.38	1.77	3.82	1.8	2.98
1940	1.72	1.95	NA	4.96	4.16	NA	0.2	NA	0.28	2.26	3.96	1.81	4.95	1.95	3.92
1941	1.5	2.22	1.08	3.48	3.48	NA	0.26	NA	0.22	2.29	3.04	1.75	3.64	1.55	2.83
1942	1.86	2.31	1.53	2.77	2.45	NA	0.34	NA	0.34	1.77	2.42	2.08	2.24	0.93	1.74
1943	1.91	1.71	1.27	3.85	3.12	NA	0.64	NA	0.25	2	2.06	1.88	2.01	1.23	2.28
1944	1.51	0.82	1.07	2.86	2.11	NA	0.47	NA	0.28	1.05	1.78	1.37	1.65	1.01	1.27
1945	1.6	1.26	0.97	3.33	2.63	NA	0.95	NA	0.75	0.92	2.41	1.44	2.78	1.33	2.31
1946	1.05	1.16	0.73	3.62	3.45	NA	1.39	NA	0.92	1.7	2.48	2.16	3.15	1.97	3.3
1947	0.83	0.75	0.69	3.5	1.8	NA	1.2	NA	1.24	1.22	3.03	1.7	2.85	2.12	2.97
1948	1.28	1.76	1.2	3.92	2.83	NA	2.06	NA	2	1.3	2.83	1.95	3.79	4.89	4.51
1949	1.11	1.04	0.82	3.69	2.72	NA	2.27	NA	2.48	1.07	2.75	1.57	3.38	2.61	3.92
1950	1.51	1.08	1.57	3.32	3.71	NA	1.75	NA	2.35	0.73	2.82	2.23	2.63	3.22	3.14
1951	1.68	1.44	1.88	4.54	4.57	3.77	2.14	NA	2.26	1.29	4.38	2.13	3.16	3.4	3.97
1952	1.47	1.17	1.71	2.91	3.42	3.22	1.91	0.73	2.18	1.4	3.86	1.78	2.57	1.72	3.1
1953	1.94	1.42	1.59	3.64	4.03	3.41	2.62	2.67	2.01	1.74	4.6	2.13	3.45	2.32	3.49
1954	1.58	0.94	1.08	2.97	2	3.46	2.29	2.56	2.22	1.58	4	1.55	3.01	1.71	2.51
1955	1.99	1.05	1.94	5.1	3.12	3.99	2.8	3.79	2.86	2.25	4.26	2	3.46	2.85	3.48
1956	1.9	1.19	1.95	5.48	3.49	3.51	3.06	3.82	3.67	2.34	4.73	2.79	4.01	3.25	3.97
1957	1.94	1.3	1.82	6.16	3.92	3.92	2.75	3.34	4.05	2.24	4.98	3.22	4.43	3	5.34
1958	1.95	1	1.73	5.7	3.74	4.06	2.28	4.8	4.04	1.94	4.16	3.04	4.05	2.7	4.29
1959	2.06	2.03	1.8	4.12	2.71	3.11	1.89	4.19	3.49	1.93	2.84	2.1	3.07	1.84	3.6
1960	2.26	2.29	2.86	2.84	2.46	4.54	1.77	4.49	3.89	2.91	3.55	1.88	2.36	2.72	3.32
1961	2.52	3.2	4.51	3.14	3.32	5.4	2.72	4.11	3.88	3.01	4.59	1.9	2.54	3.01	3.81
1962	2.16	2.15	2.78	1.87	1.66	3.47	1.65	3.07	2.62	1.94	3.24	1.38	1.87	1.95	1.76
1963	3.03	1.94	3.31	2.64	2.49	4.24	2.44	5.28	3.33	2.83	3.54	1.82	1.97	2.67	2.59
1964	2.81	3.01	3.21	2.8	2.7	3.85	2.63	4.7	4.47	2.58	3.49	1.83	2.14	2.65	2.28
1965	3.24	2.68	2.51	4.24	3.56	4.05	2.4	5.89	4.93	3.24	3.52	2.93	2.84	3.46	2.78
1966	2.63	1.56	2.54	2.93	2.66	3.9	2.3	4.47	4.06	3.02	3.43	2.49	2.25	2.87	2.47
1967	2.69	2.34	2.7	3.21	3.17	4.03	2.84	5.6	4.86	2.69	3.54	3.04	2	3.42	2.97
1968	2.49	2.53	2.76	2.83	2.77	4.12	2.11	5.4	4.31	2.12	3.7	3.04	1.87	3.19	2.93
1969	2.97	2.31	3.26	3.45	3.43	4.66	2.54	5.52	4.83	2.73	3.64	3.54	2.71	3.64	3.32
1970	2.45	1.93	2.67	3	2.15	3.3	1.21	4.03	3.8	1.98	3.55	3.07	2.17	1.41	2.3
