# Lévesque - Merlingen - PCAB - ITRDB CHE494
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41748
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41748.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che494-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che494.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che494.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Merlingen - PCAB - ITRDB CHE494
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Merlingen
#   Location: Switzerland
#   Northernmost_Latitude: 46.70582
#   Southernmost_Latitude: 46.70582
#   Easternmost_Longitude: 7.73866
#   Westernmost_Longitude: 7.73866
#   Elevation_m: 750
#--------------------
# Data_Collection
#   Collection_Name: CHE494
#   First_Year: 1886
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## MP01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## MP15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: MP15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	MP01_raw	MP03_raw	MP04_raw	MP05_raw	MP06_raw	MP07_raw	MP08_raw	MP09_raw	MP10_raw	MP11_raw	MP12_raw	MP13_raw	MP14_raw	MP15_raw
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.09	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.43	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.35	3.09	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	3.02	NA
1890	3.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39	2.25	NA
1891	3.7	NA	NA	NA	NA	2.02	NA	NA	NA	NA	NA	3.04	2.18	NA
1892	4.59	NA	NA	NA	NA	1.72	NA	NA	NA	NA	1.57	2.67	1.69	NA
1893	4.12	NA	NA	NA	NA	0.84	NA	NA	NA	NA	1.17	2.76	1.97	NA
1894	4.42	NA	NA	NA	NA	1.17	NA	NA	NA	NA	1.25	2.64	2.27	NA
1895	4.37	NA	NA	NA	NA	1.13	NA	NA	NA	NA	1.74	2.88	2.16	NA
1896	2.97	NA	NA	NA	NA	0.99	NA	NA	NA	NA	1.83	2.42	1.5	NA
1897	3.47	NA	NA	NA	NA	1.46	NA	NA	NA	NA	1.48	2.4	1.65	NA
1898	2.99	NA	NA	NA	NA	1.36	NA	NA	NA	1.06	1.34	2.83	2	NA
1899	2.74	NA	NA	NA	NA	1.2	NA	NA	NA	0.91	1.17	2.61	1.73	NA
1900	2.21	NA	NA	NA	NA	1.07	NA	NA	NA	0.79	1.25	2.31	1.71	NA
1901	2.94	NA	NA	NA	NA	1.32	NA	NA	NA	0.95	1.67	2.61	2.25	NA
1902	2.16	NA	NA	NA	NA	1.24	NA	NA	NA	0.92	1.78	2.61	1.75	4.27
1903	1.88	NA	NA	NA	NA	1.38	NA	NA	NA	0.75	2.03	2.77	2.41	3.5
1904	1.72	NA	NA	NA	NA	1.33	NA	NA	0.73	0.46	1.31	2.36	2.15	3.59
1905	1.83	NA	NA	NA	1.58	0.74	NA	NA	0.91	0.55	1.02	1.92	2.42	3.61
1906	1.85	NA	NA	NA	1.42	0.89	NA	NA	1.07	0.81	0.84	2.11	2.26	4.11
1907	1.75	NA	NA	NA	1.09	0.97	NA	NA	0.82	0.55	0.87	1.86	1.94	2.57
1908	1.77	NA	NA	NA	1.1	1.18	NA	NA	0.95	0.58	0.67	1.58	1.69	3.31
1909	1.61	NA	NA	NA	1.21	1.32	NA	NA	0.76	0.63	0.64	1.09	1.44	3.36
1910	1.42	NA	2.5	NA	0.67	1.1	NA	NA	0.54	0.86	0.77	1.26	1.88	1.83
1911	1.31	NA	1	NA	1.26	0.94	NA	NA	0.55	0.56	0.82	1.46	2.28	2.43
1912	1.88	NA	1.14	NA	0.84	2.35	NA	NA	0.65	0.71	0.89	1.4	2.61	3.34
1913	1.56	NA	2.51	NA	0.96	1.43	NA	NA	0.46	0.73	0.67	1.4	2.04	3.11
1914	1.43	NA	4.48	NA	1.19	0.93	NA	NA	0.42	0.57	0.78	2.24	2.04	3.39
1915	1.71	NA	2.64	NA	1.32	0.8	NA	NA	0.41	1	0.92	2.08	1.72	3.07
1916	2.09	NA	2.53	NA	1.47	1.28	NA	NA	0.82	1.38	1.45	2.37	2.2	3.56
1917	1.55	NA	1.49	NA	1.72	0.54	NA	NA	0.19	0.75	1.23	1.53	1.06	3.71
1918	1.85	NA	1.57	NA	1.42	1.32	NA	NA	0.27	0.98	1.66	2.15	1.76	4.15
1919	1.81	NA	1.88	NA	1.42	1.95	NA	NA	0.79	1.46	1.39	2.03	1.95	3.99
1920	1.33	NA	1.25	NA	1.34	1.92	NA	NA	0.51	1.28	1.43	1.84	1.11	3.41
1921	1.29	NA	1.42	NA	1.81	3.35	NA	4.06	0.78	1.02	1.93	1.69	0.85	2.88
1922	1.26	NA	0.94	NA	1.69	2.43	NA	4.79	0.98	0.78	1.55	1	1.07	2.72
1923	1.48	NA	1.17	NA	1.9	2.7	NA	4.31	1.54	0.76	1.74	1.24	1.92	3.2
1924	1.14	NA	1.03	NA	2.36	1.99	NA	3.72	1.3	0.79	2.2	1.3	1.58	3.62
1925	1.1	NA	0.92	NA	1.47	1.49	NA	3.21	1.09	1.01	1.33	1.23	3	3.65
1926	1.12	NA	1.47	NA	2.16	1.83	NA	4.31	1.35	1.37	2.36	1.93	3.69	3.76
1927	1.29	NA	1.3	NA	2.17	2.03	NA	4.65	0.82	1.81	3.35	1.62	2.37	4.26
1928	1.14	1.87	1.13	NA	1.41	1.72	NA	4.65	1.22	1.48	4.13	1.86	2.6	4.43
1929	1.01	2.62	0.92	NA	1.46	1.51	NA	4.69	1	2.04	3.64	1.4	1.57	3.39
1930	1.51	5.24	1.31	NA	2.29	1.74	NA	4.11	1.41	3.23	3.94	2.18	2.82	3.37
1931	1.57	3.53	1.65	NA	2.24	2.73	NA	5.08	1.56	4.02	3.83	1.97	2.44	3.3
1932	1.91	3.24	2.28	NA	1.76	3.21	NA	5.59	1.45	3.57	3.55	2.32	3.27	3.7
1933	1.56	2.64	1.85	NA	1.05	1.87	NA	3.93	1.61	2.17	2.92	1.94	2.39	2.92
1934	1.23	2.71	1.34	NA	1.65	1.62	NA	3.41	1.46	1.85	2.4	1.58	1.73	3.58
1935	1.14	1.56	1.71	2.03	1.9	1.81	NA	3.35	1.34	2.49	2.16	1.65	1.52	2.55
1936	1.09	2.51	2.5	1.95	2.04	2.23	NA	3.24	1.6	1.94	2.13	1.48	1.66	2.34
1937	1.02	2.95	2.72	1.48	1.59	2.84	NA	2.95	1.44	1.93	3.08	1.61	1.62	3.01
1938	1.03	3.28	2.59	1.39	1.77	2.82	NA	2.92	1.49	1.93	2.91	1.77	1.77	3.03
1939	0.96	3.72	2.67	1.33	1.78	3.87	NA	3.12	1.23	1.59	2.47	1.85	1.69	3.57
1940	1.14	3.75	2.59	1.67	1.57	3.95	NA	3.89	1.27	1.66	2.46	1.91	1.99	4.08
1941	0.79	2.45	2.12	1.36	1.37	2.41	NA	3.76	1.1	2.24	2.54	1.75	1.79	3.37
