# Lévesque - Yverdon - PCAB - ITRDB CHE498
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41752
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41752.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che498-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che498.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che498.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Yverdon - PCAB - ITRDB CHE498
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Yverdon
#   Location: Switzerland
#   Northernmost_Latitude: 46.86944444
#   Southernmost_Latitude: 46.86944444
#   Easternmost_Longitude: 6.74369
#   Westernmost_Longitude: 6.74369
#   Elevation_m: 570
#--------------------
# Data_Collection
#   Collection_Name: CHE498
#   First_Year: 1890
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## YP01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## YP15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: YP15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	YP01_raw	YP02_raw	YP03_raw	YP04_raw	YP05_raw	YP06_raw	YP07_raw	YP08_raw	YP09_raw	YP10_raw	YP11_raw	YP12_raw	YP13_raw	YP14_raw	YP15_raw
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.33
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.04
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.27	NA	2.92
1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.16	NA	2.91
1897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.53	5.27	2.53
1898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.16	5.28	2.39
1899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.27	4.86	2.41
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17	2.74	1.98
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.95	3.62	2.48
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6	3.98	2.24
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45	3.45	1.72
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.72	NA	1.94	2.67	2.23
1905	NA	NA	NA	NA	2.93	NA	NA	NA	NA	NA	3.53	NA	1.15	2.75	2.02
1906	NA	NA	NA	NA	2.85	NA	NA	NA	NA	NA	3.33	NA	1.21	2.6	1.6
1907	NA	NA	NA	NA	2.66	NA	NA	NA	NA	NA	2.79	NA	1.71	2.21	1.8
1908	NA	NA	NA	NA	2.46	NA	NA	NA	NA	NA	3.93	NA	2.3	2.5	1.45
1909	NA	NA	NA	NA	2.82	3.86	NA	NA	NA	NA	2.25	NA	2.19	3.53	2.41
1910	NA	NA	NA	NA	2.99	5.23	NA	NA	NA	NA	2.85	NA	2.82	3.82	2.79
1911	NA	NA	NA	NA	2.45	3.78	NA	2.47	2.81	3.81	2.35	NA	2.42	2.88	2.49
1912	NA	NA	NA	NA	2.41	3.96	NA	2.92	3.11	3.52	2.54	NA	2.13	2.96	3.13
1913	NA	NA	NA	NA	2.1	2.67	NA	2.56	3.55	2.29	1.68	NA	1.74	2.53	1.55
1914	NA	NA	NA	4.45	2.81	3.13	NA	3.17	5.15	3.03	2.15	NA	2.42	3.49	2.82
1915	NA	4.96	NA	3.7	2.73	4.02	NA	3.97	4.49	3.23	3.97	NA	2.07	3.76	2.98
1916	NA	6.58	NA	2.56	2.84	2.73	NA	3.53	3.5	3.02	4.11	NA	3.11	2.84	3.28
1917	NA	6.18	NA	3.16	2.58	1.82	NA	2.62	2.81	2.55	3.88	NA	2.33	2	2.9
1918	NA	4.82	NA	3.21	2.36	1.97	NA	2.37	2.31	2.54	3.27	NA	2.48	2.32	2.65
1919	NA	3.38	NA	2.48	2.22	2.07	NA	1.66	1.66	2.57	2.59	NA	1.75	1.84	2.6
1920	NA	3.08	NA	2.12	1.91	2.55	NA	1.77	1.77	1.94	2.49	NA	1.74	1.42	1.99
1921	NA	2.48	NA	1.55	1.51	1.95	1.66	1.65	1.49	1.86	2.05	NA	1.39	1.45	1.56
1922	NA	2.89	NA	1.49	1.42	2.66	1.13	0.77	1.55	2.04	2.03	NA	1.25	1.64	1.66
1923	NA	3.31	NA	1.69	1.68	3.93	1.46	1.2	1.77	2.23	3.02	NA	1.78	1.53	1.48
1924	NA	4.26	2.83	2.18	2.31	4.46	1.71	1	3.61	2.95	3.35	NA	1.85	1.99	1.6
1925	NA	4.54	3.07	2.2	2.5	4.21	1.45	1.34	3.52	2.95	4.19	NA	1.57	2.22	1.66
1926	NA	3.62	3.79	2.16	2.96	3.41	1.67	1.94	2.93	3.39	4.44	NA	1.67	2.37	1.67
1927	NA	4.64	6.38	3.27	2.38	3.03	1.43	1.81	2.99	3.37	5.23	NA	1.42	2.32	2.22
1928	NA	3.79	3.87	2.12	1.7	3.23	2.2	1.87	2.35	2.81	4.79	NA	2.03	1.91	1.76
1929	NA	6.04	3.54	2.14	2.05	4.47	1.81	1.93	2.66	3.59	5.29	NA	1.18	2.05	1.8
1930	NA	5.91	2.53	2.08	3.02	2.89	2	2.04	2.65	3.79	5.96	NA	2.05	1.59	2.37
1931	NA	4.4	4.19	2.37	2.8	3.48	2.16	1.61	2.99	3.9	5.6	NA	1.76	1.89	2.16
1932	NA	4.45	3.49	2.5	3.31	4.55	2.04	4.77	3.14	3.66	5.61	NA	1.99	2.61	2.13
1933	NA	4.18	2.6	2.29	2.52	3.55	1.62	4.23	1.77	3.13	3.96	NA	2.04	2.4	1.78
1934	NA	4.07	2.34	2.51	2.04	2.99	2.26	4.47	1.64	1.97	2.77	NA	1.55	2.42	1.53
1935	NA	3.55	2.12	1.87	1.61	2.8	3.05	5.01	1.73	1.6	3.1	1.91	1.68	2.96	1.72
1936	NA	4.3	2.89	1.78	1.6	2.74	3.09	5.74	2.31	2.16	3.41	1.4	1.48	2.53	1.87
1937	NA	4.48	2.85	2.24	2.75	4.66	3.68	5.81	2.36	2.66	3.15	1.54	2.16	2.08	1.89
1938	NA	4.67	2.96	3.27	4.33	5.41	3.45	7.27	2.77	3.02	1.93	1.08	2.35	2.05	1.91
1939	NA	4.53	2.87	2.97	5.38	5.61	3.01	6.29	3.97	3.29	3.3	1.32	3.55	2.77	1.99
1940	2.11	4.69	3.19	3.06	5.45	7.01	2.67	4.24	4.55	2.85	3.61	1.25	3.45	2.53	2.24
1941	2.11	3.63	2.29	2.59	4.75	4.99	2.42	3.5	3.51	1.91	3.68	2.17	2.63	2.26	1.65
1942	1.26	1.95	1.33	1.52	2.87	3.03	2.59	2.59	2.37	1.98	3.11	1.46	1.51	1.27	0.94
1943	1.95	2.88	1.67	1.84	3.44	3.33	2.4	1.96	3.24	1.89	2.78	1.81	1.32	1.53	1.55
1944	1.55	1.93	0.89	1.52	2.88	2.73	2.03	1.81	2.26	1.74	2	1.44	1.21	1.37	1.57
