# Zumbrunn - Felsberg Mitte - PCAB - ITRDB CHE509
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41763
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41763.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che509-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che509.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che509.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Felsberg Mitte - PCAB - ITRDB CHE509
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Felsberg Mitte
#   Location: Switzerland
#   Northernmost_Latitude: 46.8584693
#   Southernmost_Latitude: 46.8584693
#   Easternmost_Longitude: 9.4720716
#   Westernmost_Longitude: 9.4720716
#   Elevation_m: 1330
#--------------------
# Data_Collection
#   Collection_Name: CHE509
#   First_Year: 1805
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FMS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS06A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS11A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS26A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS26A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS32A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS32A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FMS35A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FMS35A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FMS03A_raw	FMS04A_raw	FMS05A_raw	FMS06A_raw	FMS09A_raw	FMS10A_raw	FMS11A_raw	FMS13A_raw	FMS14A_raw	FMS19A_raw	FMS20A_raw	FMS26A_raw	FMS31A_raw	FMS32A_raw	FMS35A_raw
1805	NA	NA	NA	NA	NA	1.18	NA	NA	NA	NA	NA	NA	NA	NA	NA
1806	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
1807	NA	NA	NA	NA	NA	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA
1808	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
1809	NA	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA	NA	NA	NA	NA
1810	NA	NA	NA	NA	NA	0.93	NA	NA	NA	NA	NA	NA	NA	NA	NA
1811	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA
1812	NA	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
1813	NA	NA	NA	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
1814	NA	NA	NA	NA	NA	1.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1815	NA	NA	NA	NA	NA	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA
1816	NA	NA	NA	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	NA
1817	NA	NA	NA	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA
1818	NA	NA	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
1819	NA	NA	NA	NA	NA	1.24	NA	NA	NA	NA	NA	NA	NA	NA	NA
1820	NA	NA	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA
1821	NA	NA	NA	NA	NA	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	NA	NA	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	NA	NA	NA	NA	NA	1.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	NA	NA	NA	NA	2.13	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	NA	NA	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	NA	NA	NA	1.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	NA	NA	NA	1.96	NA	NA	NA	NA	NA	NA	NA	NA	NA
1828	NA	NA	NA	NA	NA	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	NA	NA	NA	NA	NA	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	NA	NA	NA	NA	NA	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA
1831	NA	NA	NA	NA	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA	NA
1832	NA	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
1833	NA	NA	NA	NA	NA	2.17	NA	NA	NA	NA	NA	NA	NA	NA	NA
1834	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	NA	NA	NA	NA	NA	2.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	0.67	NA	NA	1.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	0.73	NA	NA	1.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	1.65	1.03	NA	NA	1.48	1.48	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	1.01	1.27	NA	NA	1.26	1.17	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	1.39	2.26	NA	NA	0.73	0.94	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	1.18	2.85	NA	NA	0.86	1.14	NA	2.29	NA	NA	NA	NA	NA	NA
1844	NA	0.98	2.83	NA	NA	0.98	0.76	NA	1.6	NA	NA	NA	NA	NA	NA
1845	NA	0.97	3.53	NA	NA	1.12	1.24	1.77	1.68	NA	NA	NA	NA	NA	NA
1846	NA	1.68	3.5	NA	NA	1.15	1.37	1.4	1.81	NA	NA	NA	NA	0.81	NA
1847	NA	2.82	3.23	NA	NA	1.34	1.62	1.5	2.76	NA	NA	NA	NA	1.31	NA
1848	NA	2.04	3.21	1.29	NA	1.2	1.31	1.15	2.38	NA	NA	NA	NA	3.23	NA
1849	NA	2.16	2.77	1.07	NA	1.1	1.26	1.18	1.85	NA	NA	NA	0.64	2.44	NA
1850	NA	2.33	3.43	0.87	NA	1.06	1.73	1.38	2.23	2.51	NA	NA	0.28	2.7	NA
1851	NA	3.45	3.66	1.64	NA	1.31	2.11	1.9	2.27	2.35	NA	NA	0.24	2.79	NA
1852	1.87	2.36	2.24	0.95	NA	1.28	1.44	1.67	2.26	1.5	NA	NA	0.33	1.89	NA
1853	2.63	2.71	2.87	1.27	NA	1.18	1.58	1.65	2.47	1.91	NA	NA	0.72	2.12	NA
1854	2.18	2.65	2.14	0.87	NA	0.95	1.7	1.74	2.62	1.35	NA	NA	0.55	2.26	NA
1855	2.12	2.38	2.37	0.74	NA	1.03	1.41	1.73	2.28	1.57	NA	NA	0.69	1.86	NA
1856	2.05	2.76	2.36	0.88	NA	1.03	1.21	1.8	2.02	1.4	NA	NA	0.78	1.68	NA
1857	1.45	2.18	1.96	0.63	NA	1.11	1.21	1.32	1.86	1.36	NA	NA	1.02	1.45	NA
1858	1.71	1.97	1.76	0.66	NA	1.17	1.34	1.38	1.83	1.69	NA	NA	0.93	1.71	NA
1859	1.54	1.84	1.52	0.85	NA	1.01	1.04	1.42	1.52	1.57	NA	NA	1.01	1.58	NA
1860	1.45	2.22	1.78	0.71	NA	1.08	1.31	1.65	1.8	1.47	NA	NA	1.33	1.78	NA
1861	1.38	2.19	2.39	0.69	NA	1.33	1.32	1.82	2.14	1.52	NA	NA	1.2	1.37	NA
1862	1.19	1.82	1.98	0.65	NA	1.16	1.32	1.51	1.9	0.95	NA	NA	0.87	0.89	NA
1863	1.15	1.59	2.37	0.87	NA	1.23	1.47	1.56	2.13	1.21	NA	NA	1.02	1.04	NA
1864	1.53	1.86	2.67	1.05	NA	1.51	1.76	1.82	1.97	1.63	NA	NA	1.23	1.33	NA
