# Zumbrunn - Scharans oben - PCAB - ITRDB CHE512
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41766
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41766.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che512-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che512.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che512.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Zumbrunn - Scharans oben - PCAB - ITRDB CHE512
#--------------------
# Investigators
#   Investigators: Zumbrunn, Christina; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Zumbrunn C (2013) Klima-Wachstumsbeziehungen von Fichte, Föhre, Lärche und Tanne entlang von Höhengradienten im Kanton Graubünden. Master thesis, ETH Zürich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Scharans oben
#   Location: Switzerland
#   Northernmost_Latitude: 46.72696
#   Southernmost_Latitude: 46.72696
#   Easternmost_Longitude: 9.4844737
#   Westernmost_Longitude: 9.4844737
#   Elevation_m: 1720
#--------------------
# Data_Collection
#   Collection_Name: CHE512
#   First_Year: 1839
#   Last_Year: 2011
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SOS01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS02A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS04A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS05A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS08A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS10A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS12B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS13A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS13A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS14A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS17A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS17A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS18A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS18A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS20A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS20A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS21A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS21A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS22A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS22A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS23A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS23A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS25A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS25A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS27A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS27A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS28A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS28A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS29A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS29A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS30A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS30A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SOS31A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SOS31A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SOS01A_raw	SOS02A_raw	SOS03A_raw	SOS04A_raw	SOS05A_raw	SOS06B_raw	SOS07A_raw	SOS08A_raw	SOS09A_raw	SOS10A_raw	SOS12B_raw	SOS13A_raw	SOS14A_raw	SOS15A_raw	SOS16A_raw	SOS17A_raw	SOS18A_raw	SOS19A_raw	SOS20A_raw	SOS21A_raw	SOS22A_raw	SOS23A_raw	SOS25A_raw	SOS27A_raw	SOS28A_raw	SOS29A_raw	SOS30A_raw	SOS31A_raw
1839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.69	NA	NA	NA	NA	NA	NA	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.45	NA	NA	NA	NA	NA	NA	1.68	NA	NA	NA	1.71	NA	NA	NA	NA	NA
1846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.24	NA	NA	NA	NA	NA	NA	2.15	NA	NA	NA	2.34	NA	NA	NA	NA	NA
1847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.31	NA	NA	NA	NA	NA	NA	1.74	NA	NA	NA	1.74	NA	NA	NA	NA	NA
1848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	NA	NA	NA	NA	NA	NA	2.33	NA	NA	NA	1.51	NA	NA	NA	NA	NA
1849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	NA	NA	NA	NA	NA	NA	2.01	NA	NA	NA	1.29	NA	NA	NA	NA	NA
1850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.42	NA	NA	NA	NA	NA	NA	2.01	NA	NA	NA	1.51	NA	NA	NA	NA	NA
1851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.84	NA	NA	NA	NA	NA	NA	2.36	NA	NA	NA	1.94	NA	NA	NA	NA	NA
1852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.87	NA	NA	NA	NA	NA	NA	2.75	NA	NA	NA	2.05	NA	NA	NA	NA	NA
1853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.39	NA	NA	NA	NA	NA	NA	3.16	NA	NA	NA	2.08	NA	NA	NA	NA	NA
1854	NA	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	2.77	NA	NA	NA	NA	NA	NA	2.67	NA	NA	NA	1.69	NA	NA	NA	NA	NA
1855	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	2.76	NA	NA	NA	NA	NA	NA	2.77	NA	NA	NA	1.91	NA	NA	NA	NA	NA
1856	NA	NA	1.15	NA	NA	NA	NA	NA	NA	NA	NA	2.68	NA	NA	NA	NA	NA	NA	2.71	NA	NA	NA	2.1	NA	NA	NA	NA	NA
1857	NA	NA	1.84	NA	NA	NA	NA	NA	NA	NA	NA	2.71	NA	NA	NA	NA	NA	NA	2.38	NA	NA	NA	2.24	NA	NA	NA	NA	NA
1858	NA	NA	2.49	1.62	NA	NA	NA	NA	NA	NA	NA	2.99	NA	NA	NA	NA	NA	NA	2.64	NA	NA	NA	2.07	NA	NA	NA	NA	NA
1859	NA	NA	2.45	1.64	NA	NA	NA	2.22	NA	NA	NA	2.46	NA	NA	NA	NA	NA	NA	2.27	NA	NA	NA	2.24	NA	NA	NA	NA	NA
1860	NA	NA	1.78	2.23	NA	NA	NA	1.98	NA	NA	NA	2.45	NA	NA	NA	NA	NA	NA	2.17	NA	NA	NA	1.72	NA	NA	NA	NA	NA
1861	NA	NA	2.45	3.29	NA	1.75	NA	3.15	NA	NA	NA	3.54	NA	NA	2.6	NA	NA	NA	3.11	NA	NA	NA	2.56	NA	NA	NA	NA	NA
1862	3.04	NA	2.26	3.38	NA	1.61	NA	2.72	NA	NA	NA	2.7	NA	NA	2.17	NA	NA	NA	2.7	NA	NA	NA	1.93	NA	NA	NA	NA	NA
1863	2.55	1.12	1.93	3	NA	1.53	NA	1.86	NA	NA	NA	2.45	NA	NA	2.57	NA	NA	NA	2.74	NA	NA	NA	2.25	NA	NA	NA	NA	NA
1864	2.96	1.06	1.63	2.78	NA	1.53	NA	1.69	NA	NA	NA	2.69	NA	NA	2.79	NA	NA	NA	2.49	NA	NA	NA	2.61	NA	NA	NA	NA	NA
1865	2.93	0.9	1.53	2.73	NA	1.45	NA	1.23	NA	NA	NA	2.67	NA	NA	2.86	NA	NA	NA	2.88	NA	NA	NA	2.26	NA	NA	NA	NA	NA
1866	3.05	0.97	2.09	2.81	NA	1.46	NA	1.51	NA	NA	NA	2.33	NA	NA	2.73	NA	NA	NA	2.85	NA	NA	NA	2.11	NA	NA	NA	NA	NA
1867	2.76	0.88	2.09	2.48	NA	1.14	NA	2.21	NA	NA	NA	2.31	NA	NA	2.86	NA	NA	NA	2.97	NA	NA	NA	1.96	NA	NA	NA	NA	NA
1868	2.93	0.84	1.75	2.95	NA	1.37	NA	2	NA	NA	NA	2.09	NA	NA	3	NA	NA	NA	3.19	NA	NA	NA	2.5	NA	NA	NA	NA	NA
1869	4.03	1.21	1.8	3.46	NA	1.53	NA	1.95	NA	NA	NA	2.47	NA	NA	3.17	NA	NA	NA	2.75	NA	NA	NA	2.97	NA	NA	NA	NA	NA
1870	2.15	0.52	1.53	2.23	NA	0.71	NA	1.34	NA	NA	NA	1.1	NA	NA	2.36	NA	NA	NA	2.41	NA	NA	NA	2.18	NA	NA	NA	NA	NA
1871	2.6	1.04	1.74	2.49	NA	1.03	NA	1.01	NA	NA	NA	1.57	NA	1.24	2.59	NA	NA	0.45	2.31	NA	NA	2.14	2.09	NA	1.19	NA	NA	NA
1872	2.27	0.96	2.04	2.65	NA	1.56	NA	1.25	NA	NA	NA	1.58	NA	1.56	2.46	NA	NA	0.9	1.84	NA	NA	2.52	2.62	NA	1.37	NA	NA	NA
1873	3.49	1.64	1.57	2.74	NA	2.13	NA	1.87	NA	NA	NA	3.04	NA	2.28	2.9	NA	NA	1.81	2.39	NA	NA	3.52	3.07	NA	1.89	NA	NA	NA
1874	5.21	1.47	2.1	4.18	NA	3.62	NA	1.69	NA	NA	NA	4.31	NA	2.73	3.01	NA	1.3	2.43	3.3	NA	NA	3.73	2.67	NA	2.82	NA	NA	NA
1875	4.14	1.38	2.07	5.05	NA	3.88	NA	1.58	NA	NA	5.82	4.52	NA	3.19	3.01	NA	2.19	2.56	3.71	NA	NA	3.29	2.72	NA	2.28	NA	NA	NA
1876	3.69	1.14	2.11	4.18	NA	3.17	NA	1.76	NA	NA	2.78	3.64	NA	2.63	2.62	NA	2.29	2.02	3.59	NA	NA	2.97	3.09	NA	1.89	NA	NA	2.17
1877	3.74	1.22	2.59	4.17	NA	3.1	2.97	1.79	NA	NA	5.3	2.93	3.34	2.37	2.49	NA	2.1	1.92	4.25	NA	NA	3.31	3.48	NA	2.01	NA	NA	2.68
1878	3.06	1.19	2.26	4.23	NA	2.58	2.99	1.88	NA	NA	4.26	2.78	2.7	2.35	2.21	NA	1.75	1.54	3.75	NA	NA	2.61	3.66	NA	1.77	NA	NA	2.36
1879	3.6	1.17	1.91	4.12	NA	2.93	2.64	1.63	NA	NA	4.28	2.68	2.86	2.25	2.44	NA	1.23	1.64	4.04	NA	NA	3.48	2.92	NA	1.73	NA	NA	2.56
1880	3.29	1.16	2.1	4.04	NA	3.36	2.34	1.72	NA	NA	5.03	3	3.08	2.68	2.66	NA	1.2	2.28	3.29	NA	NA	2.84	2.91	NA	1.81	NA	NA	2.85
1881	3.52	1.4	1.88	4.1	NA	3.4	2.46	2.35	NA	NA	4.39	3.21	3.18	2.57	2.79	NA	1.62	2.07	4.24	NA	NA	2.74	3.53	NA	1.38	NA	NA	2.69
1882	3.37	1.61	2.37	3.95	NA	2.91	3.18	2.29	NA	NA	4.5	2.94	3.63	2.61	2.84	NA	1.52	2.08	5.05	NA	NA	2.95	2.61	NA	1.66	NA	NA	2.83
1883	2.46	1.99	1.8	3.88	NA	2.55	2.81	1.86	NA	NA	3.6	2.56	2.97	2.47	2.41	NA	1.59	1.92	5.25	NA	NA	2.81	2.64	NA	1.44	NA	NA	3.13
