# Weber - ROG - PCAB - ITRDB CHE517
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41771
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41771.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che517-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che517.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che517.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - ROG - PCAB - ITRDB CHE517
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders, Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: ROG
#   Location: Switzerland
#   Northernmost_Latitude: 47.2175
#   Southernmost_Latitude: 47.2175
#   Easternmost_Longitude: 7.8175
#   Westernmost_Longitude: 7.8175
#   Elevation_m: 490
#--------------------
# Data_Collection
#   Collection_Name: CHE517
#   First_Year: 1941
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## rog40b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rog40b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rog02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rog02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rog37b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rog37b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rog31b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rog31b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## rog37a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: rog37a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	rog40b_raw	rog02a_raw	rog37b_raw	rog31b_raw	rog37a_raw
1941	NA	NA	NA	3.21	3.57
1942	NA	NA	NA	4.81	5.91
1943	NA	NA	5.27	3.62	5.95
1944	NA	NA	5.79	4.21	5.05
1945	NA	2.16	5.39	3.89	5.78
1946	NA	1.93	6.21	3.75	4.54
1947	NA	1.89	3.23	2.28	2.72
1948	6.95	1.15	5.22	2.3	3.15
1949	5.88	0.43	3.7	1.37	2.43
1950	6.11	0.81	5.45	2.38	3.14
1951	8.65	1.11	5.46	4.16	2.58
1952	6.75	0.85	4.61	4.65	3.75
1953	7.16	0.74	5.87	4.53	4.12
1954	5.75	0.31	4.99	3.2	4.13
1955	8.64	0.51	7.55	3.48	5.1
1956	7.03	0.66	4.82	4.04	3.87
1957	7.32	1.23	5.07	3.63	5.24
1958	6.94	1.98	4.28	3.52	3.93
1959	5.91	2.25	3.6	2.9	3.51
1960	7.63	2.53	3.74	3.03	3.55
1961	7.79	4.73	3.65	1.92	3.7
1962	5.3	3.33	2.51	2.2	2.75
1963	8.09	4.24	3.34	3.2	3.53
1964	6.77	4.55	3.09	5.15	3.44
1965	7.75	4.12	3.93	5.49	3.72
1966	9.2	4.53	3.79	4.76	4.43
1967	6.02	4.14	3.09	3.79	5.29
1968	9.95	4.07	3.06	5.16	6.83
1969	14.52	3.83	4.75	5.78	5.77
1970	10.69	3.34	4.18	3.46	4.89
1971	8	5.06	5.92	4.25	5.07
1972	7.94	3.24	6.05	5.3	5.15
1973	7.68	2.95	5.56	3.75	3.18
1974	8.34	4.49	4.6	4.34	3.28
1975	8.48	3.19	4.32	3.09	3.84
1976	7.7	2.94	3.71	2.57	3.08
1977	8.43	3.28	3.02	4.32	2.91
1978	9.69	3.77	3.3	3.72	3.3
1979	6.61	2.9	3.28	1.65	2.72
1980	6.33	3.69	3.68	2.62	3.15
1981	5.43	3.86	3.82	2.56	2.87
1982	5.97	3.94	3.74	2.27	2.13
1983	4.3	3.97	3.4	1.85	2.17
1984	4.99	3.41	2.88	2.59	2.17
1985	5.89	4.3	2.53	3.82	2.29
1986	4.58	4.27	2.53	3.82	2.99
1987	4.99	3.71	2.82	3.64	3.22
1988	4.6	3.76	2.03	2.52	2.59
1989	4.69	3.66	2.75	3.24	2.35
1990	3.43	3.77	2.18	1.17	2.87
1991	4.49	3.49	1.91	1	3.28
1992	3.34	2.99	1.18	0.95	2.01
1993	3.43	3.8	1.44	1.2	2.95
1994	2.99	3.82	1.58	1.13	3.71
1995	3.14	3.98	1.37	1.37	2.78
1996	4.7	4.85	1.44	1.62	3.96
1997	6.56	4.27	2.08	1.77	4.89
1998	7.35	2.73	1.43	0.67	3.11
1999	11.26	3.57	1.93	1.35	4.15
2000	9.17	4.04	2.18	1.56	3.67
2001	3.37	2.83	2.02	1.72	3.61
2002	5.07	3.63	2.12	2.19	4.13
2003	2.2	1.59	0.94	1.13	1.65
2004	5.12	2.77	1.15	1.61	1.86
2005	4.41	1.78	0.83	1.43	1.8
2006	6.77	1.89	0.8	2.61	1.72
2007	7.8	3.4	1.28	4	3.07
2008	6.1	2.14	1.12	3.39	2.27
