# Rohner - Krummenlinden Update - PCAB - ITRDB CHE522
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41776
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41776.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che522-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che522.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che522.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Rohner - Krummenlinden Update - PCAB - ITRDB CHE522
#--------------------
# Investigators
#   Investigators: Rohner, Brigitte
#--------------------
# Description_Notes_and_Keywords
#   Description: unpublished
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Krummenlinden
#   Location: Switzerland
#   Northernmost_Latitude: 47.5582
#   Southernmost_Latitude: 47.5582
#   Easternmost_Longitude: 8.33544
#   Westernmost_Longitude: 8.33544
#   Elevation_m: 552
#--------------------
# Data_Collection
#   Collection_Name: CHE522
#   First_Year: 1892
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KlF003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF004_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF004; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF005_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF005; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF010_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF010; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlF015_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlF015; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KlF003_raw	KlF004_raw	KlF005_raw	KlF006_raw	KlF007_raw	KlF008_raw	KlF009_raw	KlF010_raw	KlF011_raw	KlF015_raw
1892	NA	NA	NA	NA	0.72	NA	NA	0.85	NA	NA
1893	NA	NA	NA	NA	1.62	NA	NA	1.7	NA	NA
1894	NA	NA	NA	NA	1.7	NA	NA	2.04	NA	NA
1895	NA	NA	NA	NA	2.28	NA	NA	1.9	NA	NA
1896	NA	NA	NA	NA	2.25	NA	NA	2.28	NA	NA
1897	NA	NA	NA	NA	2.01	NA	NA	2.21	NA	NA
1898	NA	NA	NA	NA	1.84	NA	NA	1.89	NA	NA
1899	NA	NA	NA	NA	1.75	NA	NA	1.52	NA	NA
1900	NA	NA	NA	NA	1.27	NA	NA	1.38	NA	NA
1901	NA	NA	NA	NA	1.3	NA	NA	1.37	NA	NA
1902	NA	NA	NA	NA	1.25	NA	NA	0.74	NA	NA
1903	NA	NA	NA	NA	0.94	NA	NA	2.16	NA	NA
1904	NA	NA	NA	2.77	1.61	NA	NA	1.99	NA	NA
1905	NA	NA	NA	1.37	1.09	NA	NA	1.49	NA	NA
1906	NA	NA	NA	1.42	1.43	NA	NA	2.19	NA	NA
1907	NA	NA	NA	1.61	1	NA	NA	2.11	NA	NA
1908	NA	NA	NA	1.42	0.79	NA	NA	2	NA	NA
1909	NA	NA	NA	1.66	0.8	NA	NA	2.41	NA	0.76
1910	NA	NA	NA	2.34	0.85	NA	NA	3.01	NA	0.94
1911	NA	NA	NA	1.68	0.69	2.74	NA	2.01	NA	0.58
1912	NA	NA	NA	2.05	0.76	3.8	NA	2.41	NA	1.54
1913	NA	NA	NA	1.8	0.41	2.65	NA	2.05	NA	0.7
1914	NA	NA	NA	2.36	0.81	3.77	NA	2.87	NA	0.93
1915	NA	NA	NA	2.48	0.76	4.15	NA	2.62	NA	1.64
1916	NA	NA	NA	2.01	0.65	5.02	NA	4.75	NA	1.79
1917	NA	NA	3.43	1.71	1.04	6.48	NA	3.7	NA	2.15
1918	NA	NA	4.39	2.88	1.18	5.19	NA	3.34	NA	2.08
1919	NA	NA	3.93	2.13	2.74	2.74	NA	2.15	1.96	1.87
1920	NA	NA	4.78	1.72	2.13	3.73	1.61	1.74	1.6	1.3
1921	NA	NA	3.44	1.72	1.58	3.11	2.25	1.63	1.5	1.83
1922	NA	NA	3.62	1.7	1.15	3.73	1.39	1.28	1.24	1.59
1923	2.85	NA	2.74	1.62	1.12	2.32	1.75	1.97	1.62	1.95
1924	2.44	NA	2.8	2.49	1.08	2.53	2.46	2.89	1.71	1.41
1925	2.78	NA	2.48	2.35	1.98	2.18	1.76	2.91	1.83	1.83
1926	1	NA	1.92	1.26	2.1	2.96	1.3	2.33	1.62	1.95
1927	2.48	NA	3.39	2.3	2.5	2.98	2.39	2.2	1.95	5.48
1928	2.2	NA	2.98	2.17	2.56	2	2.22	2.37	1.84	3.16
1929	1.67	NA	2.62	1.73	2.59	1.76	2.98	1.95	1.9	4.33
1930	1.37	NA	2.74	1.88	2.42	2.13	2.52	2.57	3.04	4.97
1931	1.09	NA	2.23	1.83	1.99	3.08	2.77	2.34	2.05	5.08
1932	2.06	NA	3.17	2.79	3.4	3.94	4.66	3.03	2.19	2.81
1933	2.35	NA	3.34	2.64	3.64	2.64	2.89	3.07	2.39	5.96
1934	1.8	NA	2.38	1.77	4.72	1.78	1.75	2.14	1.92	6.65
1935	1.63	NA	2.17	1.4	3.89	1.3	1.73	2.18	1.89	4.75
1936	1.52	NA	2.11	1.37	3.32	1.48	1.5	1.84	1.19	5.23
1937	1.77	NA	2.17	1.46	2.46	1.3	1.98	1.85	1.32	6.45
1938	2.21	NA	1.89	1.75	1.76	1.28	2.29	1.79	1.75	6.02
1939	1.82	NA	3.04	1.92	2.25	2.04	2.15	2.28	1.64	7.47
1940	1.93	NA	3.08	1.89	2.17	1.53	2.32	2.3	1.53	8.09
1941	2.64	NA	3.22	1.52	2.56	1.51	2.87	2.1	1.86	8.36
1942	3.18	NA	1.98	1.02	2.2	1.66	2.69	1.78	1.52	6.69
1943	3.76	2.65	2.89	1.01	1.79	1.6	2.96	2.35	1.9	6.93
1944	3.26	2.08	2.07	0.88	1.13	1.3	2.36	1.89	1.56	6.08
1945	3.01	1.95	1.76	0.74	1.94	0.93	1.72	1.46	1.11	6.42
1946	4.46	1.93	1.31	0.61	1.27	0.5	2.54	1.06	0.8	4.19
1947	2.69	2.45	1.69	0.62	0.75	0.66	2.28	1.21	1.05	4.61
1948	3.26	2.88	1.84	0.63	0.92	0.63	1.84	1.34	0.92	7.13
1949	1.89	2.31	1.62	0.86	1.18	0.84	1.66	1.19	0.93	4.64
1950	2.4	1.59	2.88	0.97	0.36	1.07	2.03	1.57	1.24	5.21
1951	1.63	2.04	2.1	0.81	0.69	0.52	1.11	1.22	1.22	2.05
1952	2.55	2.03	2.58	1.18	0.91	1.03	2.06	1.58	1.62	4.96
1953	3.84	2.71	3.13	1.65	1.03	1.39	1.86	1.72	1.72	5.65
1954	3.26	2.26	2.97	1.19	1.16	1.31	2.76	1.55	1.73	5.17
1955	3.32	2.05	4.2	1.32	0.71	2.01	4.38	1.88	2	5.01
