# Lévesque - Balgach - LADE - ITRDB CHE530
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41784
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41784.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che530-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che530.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che530.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Lévesque - Balgach - LADE - ITRDB CHE530
#--------------------
# Investigators
#   Investigators: Lévesque, Mathieu; Rigling, Andreas; Bugmann, Harald; Weber, Pascale; Brang, Peter; Saurer, Matthias; Siegwolf, Rolf; Eilmann, Britta
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Andreas Rigling; Harald Bugmann; Pascale Weber; Peter Brang
#   Published_Date_or_Year: 2014
#   Published_Title: Growth response of five co-occurring conifers to drought across a wide climatic gradient in Central Europe
#   Journal_Name: Agricultural and Forest Meteorology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1016/j.agrformet.2014.06.001
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Balgach
#   Location: Switzerland
#   Northernmost_Latitude: 47.4125
#   Southernmost_Latitude: 47.4125
#   Easternmost_Longitude: 9.606944444
#   Westernmost_Longitude: 9.606944444
#   Elevation_m: 600
#--------------------
# Data_Collection
#   Collection_Name: CHE530
#   First_Year: 1887
#   Last_Year: 2010
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Larix decidua Mill.
#   Common_Name: European larch
#   Tree_Species_Code: LADE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## BAL01_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL01; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL02_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL02; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL04_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL04; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL06_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL06; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL07_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL07; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL09_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL09; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL10_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL10; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL12_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL12; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL13_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL13; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL14_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL14; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## BAL15_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: BAL15; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	BAL01_raw	BAL02_raw	BAL03_raw	BAL04_raw	BAL05_raw	BAL06_raw	BAL07_raw	BAL08_raw	BAL09_raw	BAL10_raw	BAL12_raw	BAL13_raw	BAL14_raw	BAL15_raw
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.19	NA	NA	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.58	NA	NA	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75	NA	NA	2.38
1890	NA	NA	NA	NA	NA	NA	NA	5.31	NA	NA	2.81	NA	NA	1.68
1891	NA	NA	NA	NA	NA	NA	NA	4.94	NA	NA	4.13	NA	NA	2.78
1892	NA	NA	NA	NA	NA	NA	NA	11.7	NA	5.51	7.2	NA	NA	5.09
1893	NA	NA	NA	NA	NA	NA	NA	7.71	4.55	4.85	5.71	NA	NA	3.16
1894	NA	NA	NA	NA	NA	NA	NA	6.34	5.53	6.22	7.34	8.37	5.3	4.74
1895	NA	NA	NA	NA	NA	NA	NA	5.49	7.76	6.71	7.01	7.74	3.54	4.44
1896	NA	NA	NA	NA	NA	NA	NA	5.21	8.46	3.67	4.82	5.37	2.51	3.63
1897	NA	NA	NA	NA	NA	NA	6.39	4.34	6.52	3.06	5.43	5.56	2.3	3.94
1898	NA	NA	NA	NA	NA	NA	6.57	4.38	9.91	4.68	5.03	6.75	4.12	4.05
1899	NA	3.14	NA	NA	NA	NA	3.85	1.77	8.1	2.6	3.42	3.97	3.27	2.37
1900	NA	2.66	NA	4.07	NA	NA	3.23	2.09	3.93	2.25	3.92	2.9	2.21	2.38
1901	NA	2.69	NA	6.14	NA	NA	2.95	1.72	4.23	1.25	4.21	2.62	3.08	3.22
1902	NA	3.67	NA	6.8	NA	NA	5.55	2.72	3.74	1.56	4.39	4.06	3.69	3.59
1903	NA	3.74	NA	5.69	NA	NA	5.02	1.99	4.09	2.6	4.11	3.9	3.38	2.57
1904	3.2	3.69	NA	5.14	NA	NA	3.72	2.14	3.13	2.98	3.68	3.42	2.51	2.03
1905	2.97	2.59	NA	3.59	NA	NA	2.61	1.63	3.06	2.55	3.28	2.29	2.01	2.64
1906	4.24	3.08	NA	4.93	NA	NA	3.97	1.66	2.22	2.13	2.7	2.14	2.09	3.13
1907	3.45	2.6	2.87	4.13	NA	2.84	3.25	1.24	1.93	1.72	3.02	2.32	2.03	1.46
1908	5.02	3.41	4.34	5.12	NA	3.37	3.38	1.47	1.61	2.05	2.64	2.73	1.84	1.58
1909	4.47	1.75	4.07	5.08	4.87	2.24	4.07	1.95	1.88	2.31	3.53	2.94	1.64	1.73
1910	3.08	1.89	4.38	5.28	4.43	2.85	4.9	2.16	2.5	3.07	3.67	3.64	2.1	2.5
1911	2.78	1.98	3.7	3.95	3.73	2.32	3.59	1.63	3.68	2.11	2.75	3.3	1.85	2.15
1912	2.76	2.37	2.68	3.69	2.96	2.14	3.58	1.52	2.61	2.49	2.78	2.69	1.89	1.59
1913	1.43	0.48	0.27	1.64	0.35	1.5	0.33	0.66	2.68	0.88	2.04	1.26	1.27	0.66
1914	2.37	1.05	1.75	3.68	2.17	3.01	2.09	1.46	1.85	2.02	3.78	2.75	2.21	1.41
1915	2.46	1.46	2.42	4.42	2.59	3	2.85	1.7	2.23	2.31	4.42	2.79	2.11	1.47
1916	1.42	2.48	2.64	3.68	3.7	3.42	2.52	1.26	2.24	1.95	2.84	2.02	1.98	1.55
1917	2.37	2.5	2.46	3.6	3.14	2.24	1.82	1.1	1.99	1.33	2.75	1.65	1.95	1.1
1918	2.83	2.35	3.21	3.59	2.38	2.16	2.23	1.05	1.63	1.18	3.05	1.36	1.82	1.25
1919	3.2	2.69	3.57	3.7	2.96	3.15	2.17	1.33	2.01	2.28	3.05	1.73	1.95	1.95
1920	2.2	2.29	2.75	2.16	2.42	2.88	1.88	0.69	2.12	1.69	1.97	1.11	1.28	1.29
1921	1.4	1.42	1.87	1.56	2.35	1.93	1.93	0.72	1.24	0.96	1.6	1.01	0.94	0.83
1922	1.59	1.73	1.96	1.66	2.31	2.42	1.93	0.71	1.02	1.18	2.11	0.83	0.88	0.99
1923	1.65	1.93	2.63	1.9	2.47	2.52	2.45	0.97	1.38	1.35	2.46	1.46	1.34	1.14
1924	1.56	1.19	2.05	1.98	1.95	1.84	2.06	0.74	0.91	1.08	2.34	1.1	1.22	1.16
1925	1.3	1.27	1.49	1.72	1.53	1.36	1.43	0.66	0.65	0.66	1.5	0.99	1.16	0.79
1926	2.79	2.15	2.96	3.18	3.62	2.77	2.82	0.9	0.64	1.24	2.41	1.25	1.34	1.08
1927	2.83	1.81	2.56	3.81	3.65	4.02	2.04	0.93	0.79	1.06	2.64	1.54	1.22	2.13
1928	1.88	1.46	1.99	2.16	2.88	2.37	1.65	0.89	0.64	1.19	1.83	1.27	1.01	1.61
1929	1.21	1.29	1.43	2.11	2.95	1.5	1.26	0.8	0.61	0.96	1.72	0.98	0.78	1.34
1930	1.26	1.5	1.2	1.85	1.6	0.99	0.88	0.53	0.6	0.83	0.83	0.78	0.69	1.03
1931	2.39	2.22	1.56	1.92	2.81	1.24	1.63	0.69	0.47	1.27	1.46	0.47	1.02	1.53
1932	2.06	1.93	1.96	1.88	3.59	1.63	2.09	1.01	0.77	1.72	1.93	0.74	0.86	1.57
1933	1.63	1.56	1.46	1.54	2.45	1.34	1.42	0.78	0.68	1.16	1.58	0.66	0.67	1.52
1934	1.84	1.12	1.21	1.13	1.72	1.02	1.12	0.53	0.49	0.48	1.02	0.32	0.43	1.01
1935	1.68	1.78	1.65	1.08	1.73	1.65	1.51	0.84	0.69	1	1.52	0.42	0.82	1.53
1936	2.12	1.59	1.93	1.46	2.12	1.83	1.6	0.67	0.7	1.17	1.71	0.67	0.87	2.03
1937	2.08	1.42	2.88	1.87	3	1.82	1.64	1.03	0.92	1.29	2.07	0.64	0.84	2.24
1938	2.37	1.42	3.1	1.48	2.61	2.1	1.74	0.97	1.15	1.11	2.11	0.69	1.22	2.54
1939	2.37	1.74	3.46	2.29	3.2	2.49	1.83	0.99	1.64	1.38	2.75	0.91	1.41	2.66
1940	2.27	1.37	3.07	2.63	3.15	2.18	1.52	0.93	1.71	1.3	2.63	0.95	1.48	2.01
