# Weber - NES - FASY - ITRDB CHE575
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41829
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41829.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che575-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che575.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che575.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Weber - NES - FASY - ITRDB CHE575
#--------------------
# Investigators
#   Investigators: Weber, Pascale; Lévesque, Mathieu; Walthert, Lorenz; Heiri, Caroline; Trotsiuk, Volodymyr; Sanders,Tanja
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lévesque, Mathieu; Lorenz Walthert; Pascale Weber
#   Published_Date_or_Year: 2016
#   Published_Title: Soil nutrients influence growth response of temperate tree species to drought
#   Journal_Name: Journal of Ecology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/1365-2745.12519
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Weber, Pascale; Caroline Heiri; Mathieu Lévesque; Tanja Sanders; Volodymyr Trotsiuk; Lorenz Walthert
#   Published_Date_or_Year: 2015
#   Published_Title: Zuwachs und Klimasensitivität von Baumarten im Ökogramm der kollinen und submontanen Stufe
#   Journal_Name: Missing Journal Name
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.3188/szf.2015.0380
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: NES
#   Location: Switzerland
#   Northernmost_Latitude: 47.66658
#   Southernmost_Latitude: 47.66658
#   Easternmost_Longitude: 8.51041
#   Westernmost_Longitude: 8.51041
#   Elevation_m: 530
#--------------------
# Data_Collection
#   Collection_Name: CHE575
#   First_Year: 1835
#   Last_Year: 2007
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NES03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES11a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES11a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES12a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES12a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES14a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES14a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES17a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES17a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES24a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES24a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NES30b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: NES30b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NES03a_raw	NES06a_raw	NES08a_raw	NES11a_raw	NES12a_raw	NES14a_raw	NES15a_raw	NES17a_raw	NES24a_raw	NES30b_raw
1835	NA	NA	NA	1.7	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	1.05	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	0.53	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	1.07	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	1.38	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	1.56	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	0.89	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	1.45	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	1.19	NA	NA	NA	NA	NA	NA
1846	NA	NA	NA	1.67	NA	NA	NA	NA	NA	NA
1847	NA	NA	NA	0.89	NA	NA	NA	NA	NA	NA
1848	NA	NA	NA	1.24	NA	NA	NA	NA	NA	NA
1849	NA	NA	NA	0.68	NA	NA	NA	NA	NA	NA
1850	NA	NA	NA	0.85	NA	NA	NA	NA	NA	NA
1851	NA	NA	NA	0.31	NA	NA	NA	NA	NA	NA
1852	NA	NA	NA	0.65	NA	NA	NA	NA	NA	NA
1853	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA
1854	NA	NA	NA	0.86	NA	NA	NA	NA	NA	NA
1855	NA	NA	NA	0.37	NA	NA	NA	NA	NA	NA
1856	NA	NA	NA	0.32	NA	NA	NA	NA	NA	NA
1857	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA
1858	NA	NA	NA	1.57	NA	NA	NA	NA	NA	NA
1859	NA	NA	NA	3.3	NA	NA	NA	NA	NA	NA
1860	NA	NA	NA	4.46	NA	NA	NA	NA	NA	NA
1861	NA	NA	NA	3.88	NA	0.58	NA	NA	NA	1.27
1862	NA	NA	NA	1.61	NA	0.53	NA	NA	NA	1.69
1863	NA	NA	NA	1.25	NA	0.72	NA	NA	NA	1.42
1864	NA	NA	NA	2.08	NA	1	NA	2.56	NA	1.44
1865	NA	NA	NA	1.72	NA	1.34	NA	1.34	NA	1.33
1866	NA	NA	NA	2.2	NA	1.73	NA	1.52	NA	0.58
1867	NA	NA	NA	1.5	NA	1.83	NA	2.17	NA	1.16
1868	NA	0.9	NA	0.7	NA	1.05	NA	1.44	NA	1.42
1869	NA	0.64	NA	0.18	NA	1.57	1.45	1.56	NA	2.14
1870	NA	0.74	NA	0.47	NA	2.08	0.4	1.52	NA	0.56
1871	NA	0.84	NA	1.17	NA	3	0.82	1.7	NA	1.69
1872	NA	0.55	NA	1.13	NA	2.66	1.02	1.8	NA	2.39
1873	NA	1.1	NA	0.91	NA	2.14	1	1.51	NA	1.66
1874	NA	0.49	NA	0.42	NA	1.65	0.76	0.73	NA	1.15
1875	NA	0.55	NA	0.7	NA	1.36	1.04	1.21	NA	2.59
1876	NA	0.47	NA	0.92	NA	1.66	0.99	0.97	NA	1.78
1877	NA	0.34	NA	0.84	NA	1.42	0.66	0.61	NA	1.33
1878	NA	0.47	NA	1.65	NA	1.69	0.83	1.22	NA	2.76
1879	NA	0.35	NA	1.73	NA	1.28	0.9	1	NA	3.13
1880	NA	0.46	NA	1.66	NA	1.17	1.5	1.29	NA	2.67
1881	NA	0.46	NA	1.42	NA	1	1.27	1.39	NA	1.78
1882	NA	0.57	NA	1.13	NA	0.91	1.47	1.43	NA	1.55
1883	NA	0.65	NA	1.1	NA	1.48	1.4	1.82	NA	1.85
1884	NA	0.62	NA	1.04	NA	1.06	1.49	1.52	NA	1.37
1885	NA	0.45	NA	1.6	NA	0.91	1.22	1.28	NA	2.07
1886	NA	0.39	NA	1.45	NA	1.05	0.99	1.41	NA	2.51
1887	NA	0.65	NA	1.78	NA	1.05	1.09	1.28	NA	2
1888	NA	0.4	NA	1.01	NA	0.85	0.74	0.42	NA	1.6
1889	NA	0.51	0.93	1.24	NA	1.2	1.24	0.98	NA	2.1
1890	NA	0.51	0.98	1.03	1.91	1.24	1.44	0.98	NA	2.07
1891	NA	0.5	1.22	1.33	1.63	1.31	1.56	1.27	NA	1.66
1892	NA	0.31	1.44	0.93	2.08	1.1	0.91	0.85	NA	1.14
1893	NA	0.58	1.23	0.94	1.13	1.11	1.19	1	NA	1.52
1894	NA	0.69	1.64	1.13	1.31	0.99	1.37	1.12	NA	0.86
1895	NA	0.89	1.76	1.43	1.37	1.13	1.51	1.33	NA	1.34
1896	NA	0.9	1.45	1.04	1.3	1.12	1.58	1.09	NA	1.41
1897	NA	1.55	2.08	0.97	1.78	4.31	2.31	0.8	NA	3.38
1898	NA	6.49	2.62	3.37	6.71	9.06	5.15	2.89	NA	6.34
1899	NA	2.29	6.01	3.11	12.13	5.66	3.15	2.34	NA	4.51
1900	NA	1.68	5.72	1.95	4.23	3.78	1.77	1.14	NA	3.05
1901	NA	1.7	4.6	2.55	2	4.01	1.89	1.14	NA	3.15
1902	NA	1.84	4.1	2.49	1.93	3.6	2.02	1.53	NA	3.72
1903	NA	1.26	2.82	1.71	1.95	2.12	2.33	1.43	NA	2.52
1904	1.25	1.02	2.15	1.91	1.5	2.24	2.74	1.58	NA	2.26
1905	1.13	0.94	2.36	1.66	1.62	2.23	2.15	0.79	1.77	1.72
1906	1.15	0.87	5.31	1.95	1.86	2.72	1.27	0.72	1.85	1.31
1907	0.89	0.82	3.18	1.52	1.59	2.42	1.43	0.67	1.32	1.06
1908	0.61	0.89	2.93	1.39	1.26	2.13	1.41	0.77	2.02	1.4
1909	0.41	0.93	3.27	1.29	1.08	2.16	0.91	0.55	1.1	1.83
1910	1.04	1.4	4.21	1.7	1.22	2.55	0.84	0.8	1.26	3.05
1911	0.89	1.54	2.43	1.04	1.77	1.67	0.35	1.17	1.46	2.28
1912	1.99	1.75	2.8	0.93	4.12	1.98	0.48	1.55	1.49	0.82
1913	0.83	1.35	2.13	0.78	1.84	1.59	0.46	1.66	1.92	1.31
1914	1.48	1.37	2.65	1.49	1.88	2.56	0.65	3.48	3.86	1.87
1915	1.15	1.44	2.19	1.47	1.56	2.25	0.72	3.02	3.47	2.22
1916	1.61	1.45	2.22	1.79	1.94	3.38	1.03	2.51	3.42	3.33
