# Rohner - Krummenlinden Update - FASY - ITRDB CHE586
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41840
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41840.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che586-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che586.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che586.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Rohner - Krummenlinden Update - FASY - ITRDB CHE586
#--------------------
# Investigators
#   Investigators: Rohner, Brigitte
#--------------------
# Description_Notes_and_Keywords
#   Description: unpublished
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Krummenlinden
#   Location: Switzerland
#   Northernmost_Latitude: 47.5582
#   Southernmost_Latitude: 47.5582
#   Easternmost_Longitude: 8.33544
#   Westernmost_Longitude: 8.33544
#   Elevation_m: 552
#--------------------
# Data_Collection
#   Collection_Name: CHE586
#   First_Year: 1885
#   Last_Year: 2009
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## KlB001_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB001; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB003_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB003; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB006_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB006; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB007_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB007; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB008_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB008; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB009_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB009; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB010b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB010b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB011_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB011; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB012_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB012; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB013_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB013; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB014_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB014; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## KlB015_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: KlB015; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	KlB001_raw	KlB003_raw	KlB006_raw	KlB007_raw	KlB008_raw	KlB009_raw	KlB010b_raw	KlB011_raw	KlB012_raw	KlB013_raw	KlB014_raw	KlB015_raw
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.38
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.76
1890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61
1891	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.39
1892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.45
1893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52
1894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56
1895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56
1896	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59
1897	NA	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.49
1898	NA	0.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48
1899	NA	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32
1900	NA	0.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33
1901	NA	0.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36
1902	NA	1.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51
1903	NA	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66
1904	NA	1.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9
1905	NA	2.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.94
1906	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14
1907	NA	1.03	NA	NA	2.26	NA	NA	NA	NA	NA	NA	1.06
1908	NA	0.82	NA	NA	1.37	NA	NA	NA	NA	NA	NA	1
1909	NA	0.33	NA	NA	1.38	NA	NA	NA	NA	NA	NA	0.54
1910	NA	0.79	NA	NA	1.83	NA	NA	NA	NA	NA	NA	0.71
1911	NA	0.94	NA	NA	1.51	NA	NA	NA	NA	NA	NA	0.77
1912	NA	0.78	NA	NA	1.22	NA	NA	NA	NA	NA	NA	0.37
1913	NA	0.73	NA	NA	0.91	NA	NA	NA	NA	NA	NA	0.5
1914	NA	0.93	NA	NA	1.59	NA	NA	NA	NA	NA	NA	0.86
1915	NA	0.96	NA	NA	0.99	NA	NA	NA	NA	NA	NA	0.87
1916	NA	0.85	NA	NA	1.24	NA	NA	NA	NA	NA	NA	0.69
1917	NA	0.87	NA	NA	1.68	NA	NA	NA	NA	NA	NA	1.11
1918	NA	0.73	NA	1.92	1.76	NA	NA	NA	NA	NA	NA	0.86
1919	NA	0.73	NA	1.44	0.95	NA	NA	NA	NA	0.57	NA	0.66
1920	NA	0.73	NA	1.17	1.13	NA	NA	NA	NA	0.55	NA	1.12
1921	NA	0.84	NA	1.35	1.12	NA	NA	NA	NA	0.89	NA	0.74
1922	NA	1	NA	1.65	1.12	NA	NA	NA	NA	1.18	NA	1.11
1923	NA	0.95	NA	1.5	1.67	NA	NA	NA	NA	1.48	NA	1.08
1924	NA	0.89	NA	1.5	1.33	NA	NA	NA	NA	1.55	NA	1.34
1925	NA	0.8	NA	1.38	1.23	NA	NA	NA	NA	1.65	NA	1.05
1926	NA	1.29	NA	1.95	1.9	NA	NA	NA	NA	1.76	2.69	1.39
1927	NA	1.21	2.58	2.01	2.15	NA	NA	NA	NA	1.78	3.41	1.27
1928	NA	1	1.68	1.29	1.4	NA	NA	NA	NA	1.03	2.87	1.51
1929	NA	1.15	1.53	1.47	1.52	NA	NA	NA	NA	0.99	2.31	1.36
1930	NA	0.98	1.24	1.19	0.56	NA	NA	NA	NA	1.13	1.11	1
1931	NA	0.85	1.39	1.52	1.06	NA	NA	NA	NA	1.07	1.08	0.71
1932	NA	1.09	1.36	1.32	1.18	NA	NA	NA	NA	1.27	1.41	0.67
1933	NA	0.9	1.29	1.03	1.1	NA	NA	NA	0.53	1.5	1.29	0.68
1934	NA	0.6	1.06	0.86	1.04	NA	NA	NA	0.57	1.38	1.06	0.67
1935	NA	0.35	1.07	0.73	1.12	NA	NA	NA	0.44	1.13	0.9	0.85
1936	NA	0.53	1.3	1.31	1.54	NA	NA	NA	0.78	1.99	0.5	0.94
1937	0.56	0.56	1.18	1.24	1.54	NA	NA	NA	0.63	1.91	0.53	0.75
1938	1.16	0.84	1.56	1.21	2.19	NA	NA	NA	0.7	2.65	0.44	0.73
1939	0.64	0.76	1.18	1.03	1.76	1.33	NA	NA	0.69	2.73	0.61	0.72
1940	0.66	0.8	1.28	1.14	1.96	1.81	NA	NA	0.1	2.42	0.6	0.81
1941	1.27	1.59	1.64	1.04	1.55	1.59	NA	NA	0.43	1.83	0.46	0.75
1942	1.77	3.15	1.73	1.38	3.34	1.98	NA	NA	0.45	2.69	0.26	1.75
1943	2.9	3.41	1.41	1.77	3.13	1.67	NA	NA	0.37	2.62	0.44	2.41
1944	2.55	3.41	1.61	1.58	2.31	1.25	NA	0.94	0.37	2.92	0.42	2.55
1945	2.31	3.06	1.77	1.37	2.38	1.44	NA	0.77	0.31	1.83	0.44	2.45
1946	2.56	2.67	1.82	1.94	3.25	1.3	NA	1.1	0.48	1.41	0.58	2.81
