# Häfelfinger - Felsberg unten - FASY - ITRDB CHE590
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41844
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41844.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che590-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/che590.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/che590.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-05-28
#--------------------
# File_Last_Modified_Date
#   Date: 2025-05-28
#--------------------
# Title
#   Study_Name: Häfelfinger - Felsberg unten - FASY - ITRDB CHE590
#--------------------
# Investigators
#   Investigators: Häfelfinger, Thomas; Rigling, Andreas
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Häfelfinger T (2013) Growth response to climate of beech trees (Fagus sylvatica) in Grisons. Bachelor thesis, ETH Zurich.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Felsberg unten
#   Location: Switzerland
#   Northernmost_Latitude: 46.8542542
#   Southernmost_Latitude: 46.8542542
#   Easternmost_Longitude: 9.483888
#   Westernmost_Longitude: 9.483888
#   Elevation_m: 720
#--------------------
# Data_Collection
#   Collection_Name: CHE590
#   First_Year: 1938
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## FUB01A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB02B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB03A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB06B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB07B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB09A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB15a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB15a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB16A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB16A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB18B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB18B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## FUB19A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: FUB19A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	FUB01A_raw	FUB02B_raw	FUB03A_raw	FUB04B_raw	FUB06B_raw	FUB07B_raw	FUB09A_raw	FUB15a_raw	FUB16A_raw	FUB18B1_raw	FUB19A_raw
1938	NA	2.98	NA	NA	NA	NA	NA	NA	NA	NA	NA
1939	NA	2.16	NA	NA	NA	NA	NA	NA	NA	1.28	NA
1940	NA	2.28	NA	NA	NA	NA	NA	NA	NA	1.24	NA
1941	NA	2.55	NA	NA	NA	NA	NA	NA	NA	1.55	NA
1942	NA	1.95	NA	NA	1.16	NA	NA	NA	NA	1.56	NA
1943	NA	2.02	NA	NA	0.67	NA	NA	NA	NA	1.88	NA
1944	0.5	1.92	1.43	NA	0.69	NA	NA	NA	NA	1.91	NA
1945	0.69	2.87	0.39	NA	0.96	NA	NA	NA	NA	2.24	NA
1946	0.87	2.78	0.69	NA	0.9	NA	NA	NA	NA	2.53	NA
1947	0.82	2.25	1.64	NA	1.04	NA	0.52	NA	3.79	2.68	NA
1948	1.3	2.07	1.46	NA	0.64	NA	0.86	NA	2.62	2.85	NA
1949	1.12	2.92	1.62	NA	1	NA	0.8	NA	2.65	3	1.3
1950	1.34	2.74	1.05	NA	1.3	NA	1.26	NA	2.17	3.59	1.8
1951	5.19	2.65	2.09	NA	1.2	NA	1.42	NA	2.94	3.29	1.65
1952	2.42	2.62	1.07	NA	0.76	NA	0.75	0.92	2.22	2.89	1.14
1953	1.81	3	0.3	1.68	1.16	0.41	1.34	1.95	2.6	4.13	1.45
1954	1.47	2.93	1.12	0.71	1.12	1.43	1.14	1.61	2.97	3.71	1.55
1955	1.8	3.38	1.32	0.74	1.22	1.92	0.87	1.62	4.12	4.07	1.29
1956	1.56	2.72	0.7	1.78	1.64	2.18	0.79	1.82	4.84	4.02	1.65
1957	1.74	2.81	1.88	1.03	1.61	1.55	0.74	1.97	4.69	3.49	1.88
1958	2.28	3.91	2.75	0.93	2.45	1.55	0.98	2.65	5.29	4.88	2.25
1959	2.09	3.26	1.83	2.09	1.87	1.49	0.89	1.32	5.02	4.43	1.86
1960	2.2	2.94	1.92	1.51	1.57	1.62	1.6	2.56	5.82	4.2	2.09
1961	2.15	3.07	2.26	1.08	1.15	2.01	1.83	2.13	5.51	4.57	1.72
1962	2.28	2.71	1.91	1.76	1.45	1.68	1.76	2.02	4.38	3.24	2.08
1963	1.96	2.54	1.81	2.64	1.79	1.91	2.32	2.33	3.63	3.04	1.88
1964	1.95	2.73	1.91	2.05	1.62	1.5	1.8	1.29	3.44	2.03	1.76
1965	2.13	2.52	1.97	1.93	1.51	2.05	2.52	1.53	3.73	2.02	1.87
1966	5.68	2.78	2.51	2.75	1.39	2.05	2.92	2.42	3.56	1.69	2.45
1967	4.21	3.69	3.15	3.18	1.94	2.97	3.06	4	4.96	3.44	4.05
1968	4.41	3.57	2.12	3	1.71	3.41	5.05	3.48	6.12	4.89	4.46
1969	3.85	4.37	2.57	3.36	2.63	3.67	5.38	4.65	7.07	5.09	4.53
1970	3.9	4.02	1.72	2.78	2.09	3.6	3.13	3.66	5.68	3.95	3.98
1971	3.83	4.63	1.33	2.03	1.75	3.6	2.62	3.22	6.1	3.61	3.43
1972	2.62	3.06	1.52	1.12	1.24	2.25	1.6	2.93	4.04	2.64	2.23
1973	3.46	3.25	2.46	2.45	1.47	3.03	1.32	3.63	5.06	3.57	3.62
1974	3.8	2.68	1.92	1.68	1.52	2.56	0.98	4.09	4.53	3.19	3.42
1975	3.1	2.45	1.71	2.02	1.18	2.38	1.16	3.84	3.76	2.83	2.43
1976	2.76	2.13	1.63	2.6	0.8	1.7	1.14	2.82	2.94	1.85	1.49
1977	3.44	2.45	1.83	1.94	1.03	2.73	1.24	3.58	3.69	1.95	2.5
1978	2.99	2.59	1.91	2.37	0.95	2.62	1.46	2.85	4.03	2.22	2.92
1979	3.17	2.66	2.1	2.73	0.8	2.76	1.51	2.99	4.29	2.35	3.61
1980	1.32	2.96	1.71	1.65	0.88	2.84	1.32	3.71	4.72	2.69	3.65
1981	1.45	2.49	1.44	2.82	0.84	3.09	1.05	2.78	3.62	2.24	3.19
1982	2.49	2.48	1.96	3.44	0.88	2.78	2.07	2.75	3.25	2.42	3.77
1983	2.75	1.98	1.92	2.03	0.84	1.96	2.17	2.49	2.7	2.11	3.36
1984	2.41	2.03	1.84	0.88	1.04	2.27	1.76	2.4	2.74	1.95	3.07
1985	2.7	2.45	1.88	2.93	1.35	2.15	1.59	2	4.03	1.58	3.06
1986	2.93	2.5	1.83	2.86	1.29	1.6	1.59	3.29	3.87	1.55	2.87
1987	2.21	1.85	1.89	2.35	1.18	1.01	1.14	2.55	2.76	1.76	2.34
1988	3.26	2.43	3.57	2.71	1.29	1.52	1.28	2.67	2.85	2.18	2.93
1989	3.38	2.02	2.69	2.21	0.97	1.3	1.31	2.79	2.84	2.6	2.53
1990	3.49	2.18	2.85	2.75	0.81	2.16	1.29	2.99	3.56	2.55	2.66
1991	4.07	1.93	3.39	3.51	0.62	1.62	0.96	2.4	2.98	1.6	2.43
1992	1.29	1.76	4.38	3.02	0.41	2.01	1.26	2.62	3.03	1.61	2.53
1993	2.01	1.33	3.4	2.14	0.37	1.21	1.01	2.74	2.28	1.44	2.03
1994	3.14	1.41	3.06	1.84	0.38	1.67	1.35	3.48	2.21	1.66	2.25
1995	2.94	1.36	3.42	2.89	0.53	3.29	1.35	3.84	2.96	1.27	2.78
1996	3.18	1.59	3.14	2.2	0.38	2.72	1.22	2.79	2.83	1.08	2.06
1997	2.67	1.7	3.91	2.31	0.33	2.25	1.14	2.53	2.93	1	2.47
