# Esper - Runkel, Westerwald EDW13 - PCAB - ITRDB DEU464
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42057
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42057.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu464-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu464.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu464.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Runkel, Westerwald EDW13 - PCAB - ITRDB DEU464
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Runkel, Westerwald EDW13
#   Location: Germany
#   Northernmost_Latitude: 50.455
#   Southernmost_Latitude: 50.455
#   Easternmost_Longitude: 8.216667
#   Westernmost_Longitude: 8.216667
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: DEU464
#   First_Year: 1971
#   Last_Year: 2017
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EDW1332A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1332A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1332B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1332B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1333A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1333A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1333B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1333B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1334A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1334A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1334B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1334B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1335A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1335A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1335B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1335B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1336A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1336A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1336B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1336B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1337A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1337A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1337B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1337B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1338B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1338B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1339A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1339A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1339B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1339B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1340A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1340A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1340B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1340B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1341A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1341A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1341B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1341B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1342A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1342A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1342B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1342B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1343A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1343A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1343B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1343B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1344A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1344A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1344B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1344B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1345A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1345A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1345B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1345B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1346z_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1346z; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1348A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1348A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1348B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1348B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1349B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1349B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1350A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1350A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EDW1350B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: EDW1350B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	EDW1332A_raw	EDW1332B_raw	EDW1333A_raw	EDW1333B_raw	EDW1334A_raw	EDW1334B_raw	EDW1335A_raw	EDW1335B_raw	EDW1336A_raw	EDW1336B_raw	EDW1337A_raw	EDW1337B_raw	EDW1338B_raw	EDW1339A_raw	EDW1339B_raw	EDW1340A_raw	EDW1340B_raw	EDW1341A_raw	EDW1341B_raw	EDW1342A_raw	EDW1342B_raw	EDW1343A_raw	EDW1343B_raw	EDW1344A_raw	EDW1344B_raw	EDW1345A_raw	EDW1345B_raw	EDW1346z_raw	EDW1348A_raw	EDW1348B_raw	EDW1349B_raw	EDW1350A_raw	EDW1350B_raw
1971	NA	NA	10.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1972	NA	NA	8.16	6.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1973	NA	NA	5.43	6.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.87	NA	NA	2.56	NA	NA	NA
1974	NA	NA	4.56	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	1.79	NA	2.84	0.59	NA	4.38	4.03
1975	NA	NA	5.62	1.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.66	2.58	7.64	5.57	9.14	NA	12.24	10.54
1976	NA	NA	3.13	1.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.35	NA	2.37	2.65	3.19	8.09	8.75	NA	9.13	7.94
1977	NA	NA	4.12	1.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.41	NA	5.29	5.71	7.97	6.73	7.17	NA	7.56	7.38
1978	NA	NA	2.44	2.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.64	NA	4.14	4.7	7.6	5.75	6.27	9.64	5.62	4.65
1979	NA	NA	8.49	3.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.21	7.16	3.74	3.27	8.52	7.18	6.69	7.51	8.66	6.83
1980	NA	NA	6.6	4.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.66	4.79	4.23	3.39	6.87	3.67	3.3	5.98	3.26	2.79
1981	NA	NA	8.67	7.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.98	9.49	5.65	5.51	8.24	4.18	3.72	7.68	3.66	3.14
1982	NA	NA	6.91	5.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.68	NA	NA	NA	NA	NA	5	4.29	3.24	3.24	4.18	2.97	2.16	3.71	3.97	2.12
1983	NA	NA	6.98	6.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.73	NA	NA	NA	1.24	1.12	3.94	3	3.04	2.65	3.88	5.36	2.42	5.44	4.29	2.22
1984	NA	NA	6.88	5.12	NA	NA	NA	NA	3.56	NA	NA	NA	3.85	NA	NA	NA	NA	6.75	5.22	NA	NA	3.82	4.03	4.7	5.15	3.22	3.29	4.24	2.93	1.51	5.81	2.21	1.61
1985	NA	8.23	5.16	2.13	10.29	11.44	11.09	NA	4.59	4.24	7.71	NA	4.9	NA	NA	NA	NA	9.52	6.66	NA	NA	3.98	3.4	7.82	7.75	3.34	2.56	4.27	4.14	2.49	6.42	3.44	2.51
1986	4.9	6.88	2.7	1.34	6.54	7	8.39	NA	6.18	4.15	3.45	NA	5.48	NA	NA	NA	NA	7.94	7.39	6.9	4.41	6.32	5.36	5.26	5.41	1.73	1.74	2.81	1.55	1.08	3.51	0.25	1.11
1987	6.43	5.89	3.12	1.51	7.3	8.07	10.15	NA	6.48	6.66	4.17	NA	6.94	NA	NA	6.59	8.42	8.93	9.42	7.14	7.13	6.77	6.35	7.99	6.35	2.58	1.94	2.97	2.98	2.07	4.69	1.19	1.7
1988	5.03	5.38	1.83	1.34	7.33	7.23	7.07	NA	6.26	6.05	2.41	2.93	6.79	5	4.02	5.77	6.54	9.58	8.11	5.65	5.97	5.86	5.79	5.1	4.27	1.74	1.37	1.44	1.65	1.37	1.77	1.01	1.59
1989	6	6.83	4.08	2.51	7.64	7.49	7.35	NA	7.57	6.5	4.2	4.56	9.89	5.72	5.22	6.73	7.59	7.39	9.98	5.38	5.29	8.18	7.43	7.46	6.34	2.24	1.61	2.07	1.77	1.53	3.45	1.08	1.36
1990	5.45	6.67	4.85	4.96	7.79	7.6	7.06	NA	5.03	4.71	3.55	4.71	9.12	6.69	5.51	6.29	6.26	7.06	11.14	5.01	5.09	6.22	5.94	9.09	5.39	1.7	1.3	2.15	1.95	1.51	2.56	1.31	1.76
1991	5.05	5.2	4.88	4.17	6.55	6.81	5.34	NA	3.66	3.46	3.42	3.53	5.75	5.72	5.05	5.39	5.8	5.27	6.78	4.06	3.64	3	3.18	8.16	6.64	1.55	1.37	2.21	1.25	0.72	2.27	1.52	0.95
1992	5.41	5.94	4.4	3.24	5.72	6.7	7.06	5.95	3.62	3.71	4.02	3.58	4.96	6.89	6.32	4.79	5.2	5.07	8.99	3.78	2.32	1.98	3.37	9.77	7.56	1.74	1.43	3.32	1.65	1.05	2.66	0.98	0.88
1993	4.03	4.93	6.57	2.25	4.73	3.43	5.24	5.15	2.4	2.76	3.17	3.36	3.96	5.49	4.29	4.15	3.6	4.71	7.32	3.76	1.91	2.95	2.79	8.09	5.96	2.06	1.34	3.55	1.58	1.12	1.6	1.58	1.25
1994	3.67	4.6	6.68	3.37	4.46	3.71	4.79	6.14	2.11	2.47	1.78	2.52	4.04	4.35	3.82	4.07	2.86	5.22	7.19	3.42	2.01	3.77	2.73	7.4	5.76	1.57	1.31	3.47	0.58	0.45	1.51	0.53	0.46
1995	5.5	4.81	7.84	7.15	4.13	4.3	5.19	3.59	2.1	2.06	1.4	2.11	4.78	6.06	4.98	4.12	2.7	5.37	6.92	3.26	1.77	3.09	2.26	7.14	4.85	1.76	1.68	3.76	0.65	1.04	2.56	1.24	1.08
1996	3.97	3.23	3.79	4.92	4.47	3.29	3.72	3.31	1.23	1.28	1.08	2.31	3.52	5.44	4.62	3.69	2.52	4.64	5.67	2.4	1.08	1.09	2.11	6.45	5.33	0.91	0.75	1.67	0.37	0.33	0.81	0.32	0.21
1997	2.25	2.07	5.67	7.97	5.24	5.29	4.58	4.4	1.93	2.22	1.36	2.49	5.15	4.46	4.79	4.38	2.79	4.37	5.77	2.43	1.32	1.33	2.45	6.55	5.69	1.69	1.3	2.91	0.47	0.81	1.65	0.6	0.54
1998	2.67	1.63	4.78	4.95	4.28	4.44	3.98	3.85	1.93	1.97	1.65	1.62	4.15	4.47	5.82	5.49	2.59	3.06	5.43	2.85	1.05	1.48	2.19	3.3	2.19	0.74	0.84	2.69	0.4	0.38	0.9	0.22	0.25
1999	2.03	1.58	5.45	5.4	5.5	4.35	5.45	3.53	2.4	2.2	2.76	4.09	5.07	5.1	4.81	7.81	4.72	2.32	6.86	4.9	1.9	2.05	2.75	6	4.64	1.09	1.11	3.67	1.35	1.18	0.96	0.24	0.46
2000	2	1.12	5.36	2.77	5.48	3.94	4.73	4.04	2.82	2.27	2.31	1.04	5.25	4.05	4.55	7.17	4.93	6.46	7.51	4.71	2.95	2.93	3.25	4.09	3.23	0.47	0.76	1.19	1.14	1.19	0.31	1.06	1.7
2001	2.67	2.02	7.96	3.49	5.87	5.64	4.45	4.21	3.13	2.43	2.71	3.61	7.71	4.14	4.72	7.1	4.82	6.69	6.57	4.47	3.25	3.67	3.52	5.48	3.41	1.66	1.86	2.63	1.1	1.18	1.95	1.05	1.73
2002	3.25	2.16	7.88	3.64	4.92	3.96	5.1	4.79	2.3	1.54	2.9	4.48	6.75	6.09	4.93	6.62	5.14	5.06	7.65	3.51	2.36	3.03	3	5.87	3.39	1.55	1.46	2.37	1.81	1	2.76	0.87	1.98
2003	2.2	1.94	4.7	3.08	4.53	3.84	4.68	4.43	1.28	0.8	1.89	4.26	3.96	4.81	4.84	5.66	4.08	4.35	7.23	2.44	1.82	2.19	2.9	4.81	2.74	1.28	0.86	1.85	0.74	0.93	2.34	0.82	0.9
2004	3.01	2.67	6.65	4.98	4.83	4.31	6.83	5.48	1.38	0.71	2.24	5.58	4.77	6.59	4.31	6.29	4.84	3.94	6.35	2.99	1.89	3.1	3.62	4.64	2.45	2.02	1.68	3.41	0.76	1.02	2.4	0	0.56
2005	2.99	1.78	6.14	5.34	5.28	3.26	4.4	3.33	0.51	0.34	2.16	3.92	5.1	4	3.64	4.9	4.68	1.05	6.35	2.57	2.09	2.85	2.62	4.05	2.95	1.6	1	2.97	1.21	0.32	2.07	0.81	0.78
2006	2.69	2.1	6.76	3.49	4.48	2.88	3.35	3.11	0.26	0.22	1.73	2.3	7.2	5.31	3.59	4.84	5.65	4.36	6.18	2.4	2.48	3.15	1.9	3.26	3.04	2.65	0.79	1.95	1.89	0.25	2.29	1.13	0.85
2007	3.92	2.57	6.41	3.48	3.74	2.77	4.57	3.59	0.86	0.35	2.33	2.48	7.27	6.59	5.26	6.87	5.54	5.87	9.39	5.04	5.43	3.14	1.98	4.37	3.44	4.32	1.8	5.34	1.43	1.11	4.49	1.85	1.48
2008	4.49	4.03	6.18	5.14	4.12	2.95	4.57	3.48	2.13	1.28	2.31	2.51	6.76	5.54	4.57	6.36	5.33	5.67	9.03	5.41	5.37	2.65	2.17	4.07	4.29	1.9	1.52	2.87	1.93	6.66	4.96	2.1	0.91
