# Esper - Koblenz HDK02 - PCAB - ITRDB DEU469
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42062
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42062.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu469-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu469.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu469.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Koblenz HDK02 - PCAB - ITRDB DEU469
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Koblenz HDK02
#   Location: Germany
#   Northernmost_Latitude: 50.326717
#   Southernmost_Latitude: 50.326717
#   Easternmost_Longitude: 7.575467
#   Westernmost_Longitude: 7.575467
#   Elevation_m: 185
#--------------------
# Data_Collection
#   Collection_Name: DEU469
#   First_Year: 1914
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HDK0201A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0201A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0201B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0201B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0202A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0202A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0202B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0202B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0203A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0203A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0203B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0203B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0204A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0204A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0204B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0204B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0205A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0205A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0205B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0205B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0206A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0206A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0206B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0206B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0207A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0207A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0207B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0207B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0208A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0208A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0208B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0208B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0209A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0209A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0209B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0209B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0210A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0210A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0210B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0210B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0211A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0211A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0211B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0211B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0212A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0212A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDK0212B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDK0212B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HDK0201A_raw	HDK0201B_raw	HDK0202A_raw	HDK0202B_raw	HDK0203A_raw	HDK0203B_raw	HDK0204A_raw	HDK0204B_raw	HDK0205A_raw	HDK0205B_raw	HDK0206A_raw	HDK0206B_raw	HDK0207A_raw	HDK0207B_raw	HDK0208A_raw	HDK0208B_raw	HDK0209A_raw	HDK0209B_raw	HDK0210A_raw	HDK0210B_raw	HDK0211A_raw	HDK0211B_raw	HDK0212A_raw	HDK0212B_raw
1914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	3.8	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	4.26	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	4.43	NA	NA	NA	NA	NA	NA	3.25	NA	NA	NA	NA	NA	3.08	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	3.09	NA	NA	NA	NA	NA	NA	2.79	3.15	2.86	NA	NA	NA	2.89	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	NA	4.04	NA	NA	NA	NA	NA	NA	2.54	2.76	3.39	NA	NA	NA	2.95	NA	NA	NA	NA	NA	3.34	2.22
1923	NA	NA	NA	5.02	NA	NA	NA	NA	NA	4.39	3.85	4.11	4.47	NA	NA	NA	3.49	NA	NA	NA	NA	NA	3.73	0.9
1924	NA	NA	7.15	5.98	NA	NA	NA	NA	NA	5.22	4.65	4.34	5.63	NA	NA	NA	3.56	NA	NA	NA	NA	NA	5.31	0.61
1925	NA	NA	5.46	5.22	NA	NA	NA	NA	3.5	3.74	3.47	3.11	3.53	NA	NA	NA	2.78	NA	NA	NA	NA	NA	4.55	0.94
1926	NA	NA	5.39	4.71	NA	NA	NA	NA	4.14	4.31	4.06	3.64	4.61	NA	NA	NA	3.47	NA	NA	NA	NA	NA	5.02	1.48
1927	NA	NA	5.93	4.84	NA	NA	NA	3.92	2.9	3.52	3.28	3.05	4.61	NA	NA	NA	3.75	NA	NA	NA	NA	NA	4.42	1.77
1928	NA	NA	4.77	3.62	NA	NA	NA	3.48	2.24	2.56	2.13	2.25	3.07	NA	NA	NA	2.63	NA	NA	NA	NA	NA	3.84	1.9
1929	NA	NA	4.73	2.21	NA	NA	NA	2.74	1.57	1.9	1.99	1.91	2.91	NA	NA	NA	1.99	NA	NA	NA	NA	NA	2.08	1.34
1930	NA	NA	5.58	3.03	NA	NA	NA	3.76	1.85	1.75	1.94	1.87	2.82	NA	NA	NA	2.67	NA	NA	NA	NA	NA	3.14	2.26
1931	NA	NA	6.31	3.97	NA	NA	NA	4.34	1.96	1.99	1.65	1.68	3.56	NA	NA	NA	1.84	NA	NA	NA	NA	NA	3	2.25
1932	NA	5.4	6.33	6.37	NA	NA	NA	3.52	2.99	3.05	1.89	1.94	4.18	NA	NA	NA	2.02	NA	NA	NA	NA	NA	3.7	2.61
1933	NA	5.19	7.85	8.62	NA	NA	NA	3.92	3.2	3.19	2.24	2.26	4.44	4.05	NA	NA	2.46	NA	NA	NA	NA	NA	3.47	2.74
1934	5.85	3.9	4.56	4.83	NA	NA	NA	2.9	1.99	1.15	1.38	1.45	2.31	2.41	NA	NA	1.61	NA	NA	NA	NA	NA	1.99	1.51
1935	7.64	3.93	4.24	4.42	NA	NA	NA	2.72	2.36	1.03	1.25	1.32	2.23	2.28	NA	NA	1.44	NA	NA	NA	NA	NA	1.78	1.07
1936	8.9	3.21	5.4	5.49	NA	NA	NA	2.57	4.19	0.54	1.25	1.32	2.25	3.08	NA	NA	1.17	NA	NA	NA	NA	NA	1.76	1.3
1937	8.47	3.74	5.34	3.85	NA	NA	2.55	2.29	3.24	1.36	1.3	1.46	2.25	2.79	NA	NA	1.44	NA	NA	NA	NA	NA	1.68	1.46
1938	8.18	3.45	4.7	2.77	NA	NA	2.24	2.07	3.27	1.55	1.18	1.5	3.55	3.66	NA	NA	1.22	NA	NA	NA	2.46	NA	3.17	3.01
1939	6.71	3.49	5.29	3.85	NA	NA	2.06	2.09	2.75	1.12	0.99	1.23	3.25	3.84	NA	NA	1.01	NA	NA	NA	3.99	NA	3.31	2.53
1940	6.45	5.38	4.57	2.67	NA	NA	2.48	1.18	1.96	1.69	1.33	1.56	3.55	5.14	NA	NA	1.08	NA	NA	NA	3.89	NA	2.66	3.2
1941	6.22	6.74	4.09	2.23	NA	NA	3.54	2.16	1.85	1.93	1.41	1.93	3.42	4.43	NA	NA	1.21	NA	NA	NA	3	NA	4.12	3.77
1942	6.47	5.56	3.36	2.4	NA	8.01	3.13	2.19	2.34	1.93	1.37	1.72	2.76	4.12	NA	NA	1.1	3.51	NA	NA	2.8	NA	3.35	3.44
1943	7.46	2.81	4.22	2.17	NA	6.56	2.48	1.91	3.19	1.39	1.47	1.2	2.31	4.78	NA	NA	1.02	2.77	NA	NA	2.27	NA	3.95	2.14
1944	5.65	2.98	3.83	1.72	NA	6.48	2.76	1.98	3.55	1.42	1.98	1.39	3.08	4.14	NA	NA	0.8	2.62	NA	NA	2.57	NA	4.1	2.13
1945	7.43	4.52	5.72	1.69	NA	8.58	3.37	2.29	2.82	1.81	3.29	2.71	4.95	4.15	NA	NA	0.85	2.4	NA	NA	4.04	NA	4.83	2.75
1946	7.74	4.7	4	1.69	NA	8.59	2.97	1.87	2.52	2.57	1.85	2.62	6.07	3.52	NA	NA	0.81	2.03	NA	NA	4.57	5.57	4.22	2.98
1947	3.44	2.25	1.55	0.97	NA	4.49	1.49	1.46	0.94	1.4	0.69	1.03	1.91	1.38	NA	NA	0.48	1.95	NA	NA	2.2	1.84	2.03	1.77
1948	5.05	2.46	1.94	1	NA	4.6	1.48	2.1	0.74	0.8	0.96	1.18	1.7	2.09	NA	NA	0.7	3.33	NA	NA	1.62	2	3.03	2.32
1949	4.52	2.02	2.37	1.43	NA	4.93	1.66	1.39	1.68	0.55	1.28	1.52	2.27	2.36	NA	NA	0.76	2.25	NA	NA	1.65	1.99	3.69	2.44
1950	5.82	2.4	2.61	1.14	NA	9.71	3.52	1.72	3.24	0.91	1.61	2.14	2.97	2.86	NA	NA	1.04	1.15	NA	NA	2.2	2.53	4.03	2.64
1951	4.65	2.34	2.42	1.32	NA	5	3.04	1.89	2.58	1.28	1.66	2.44	4.09	3.34	NA	NA	1.43	0.98	NA	NA	2.45	2.5	3.74	3.22
1952	2.87	1.18	1.52	0.77	NA	2.92	1.95	1.51	1.76	1.1	1.09	1.38	2.66	1.92	NA	NA	0.72	0.65	NA	NA	1.98	1.61	3.4	2.69
1953	3.75	1.38	1.96	0.77	3.79	4.67	2.89	2.42	2.08	0.61	1.21	1.31	1.47	1.98	NA	NA	1.22	0.96	NA	NA	2.22	2.69	2.01	2.59
1954	3.49	1.42	2.33	1.18	4.65	6.35	3.86	2.97	2.82	0.88	1.84	2.13	2.16	3.49	NA	NA	0.89	1.34	NA	NA	2.49	3.19	1.53	3.12
1955	4.12	2.26	2.51	2.08	3.03	4.58	3.38	1.74	2.18	0.97	1.72	2.15	1.16	2.98	NA	NA	1.17	1.04	NA	NA	2.88	5.11	1.87	2.69
1956	3.2	2.94	1.6	2.99	2.72	2.8	3.25	2.2	2.44	1.12	1.73	2.29	0.92	3.39	NA	NA	1.21	1.64	NA	NA	4.12	4.56	3.97	2.95
1957	1.98	2.56	1.27	2.38	2.3	2.01	2.43	2.21	1.99	1.54	1.73	1.8	0.88	2.44	NA	NA	1.24	0.95	NA	NA	3.28	2.91	4.12	2.68
1958	3.74	2.68	1.51	1.41	2.38	2.18	3.45	2.41	1.77	2.38	2.08	1.6	0.59	1.48	NA	NA	1.6	1.35	NA	NA	2.2	2.51	3.6	1.76
