# Esper - Laacher See HDM01 - FASY - ITRDB DEU472
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42065
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42065.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu472-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu472.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu472.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Laacher See HDM01 - FASY - ITRDB DEU472
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: Mofettes site
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Laacher See HDM01
#   Location: Germany
#   Northernmost_Latitude: 50.408682
#   Southernmost_Latitude: 50.408682
#   Easternmost_Longitude: 7.283063
#   Westernmost_Longitude: 7.283063
#   Elevation_m: 283
#--------------------
# Data_Collection
#   Collection_Name: DEU472
#   First_Year: 1929
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HDM0101A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0101A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0101B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0101B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0101C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0101C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0102B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0102B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0103B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0103B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HDM0101A_raw	HDM0101B_raw	HDM0101C_raw	HDM0102B_raw	HDM0103B_raw
1929	2.06	NA	NA	NA	NA
1930	2.49	NA	NA	NA	NA
1931	2.65	NA	NA	NA	NA
1932	2.99	NA	NA	NA	NA
1933	2.89	NA	NA	NA	NA
1934	2.3	NA	NA	NA	NA
1935	2.3	NA	NA	NA	NA
1936	4.08	NA	NA	NA	NA
1937	4.05	NA	NA	NA	1.16
1938	2.94	NA	NA	NA	0.81
1939	3.18	NA	NA	NA	1.13
1940	3.34	NA	NA	NA	0.74
1941	3.54	NA	NA	NA	0.51
1942	3.21	NA	NA	NA	0.73
1943	2.94	NA	4.09	NA	1.86
1944	2.78	NA	3.56	NA	2.76
1945	2.76	NA	4.48	NA	3.53
1946	3.16	NA	5	NA	2.69
1947	1.97	NA	2.65	4.89	1.54
1948	4.49	NA	3.07	3.69	2.05
1949	3.39	NA	2.88	3.82	2.27
1950	4.87	NA	3.13	4.83	2.21
1951	5	NA	2.67	3.98	2.65
1952	3.91	NA	2.46	3.2	2.26
1953	4.18	NA	2.83	3.83	2.26
1954	3	NA	1.99	3.91	2.8
1955	3.26	NA	2.46	4.43	3.31
1956	2.76	NA	2.21	2.79	4.36
1957	3.27	NA	1.45	3.25	4.46
1958	4.06	NA	3.82	4.71	5.56
1959	2.52	NA	2.29	3.75	3.33
1960	1.72	NA	1.54	3.09	3.89
1961	3.46	NA	2.89	5.65	4.31
1962	2.43	NA	2.83	3.61	3.77
1963	2.99	NA	2.1	3.61	4.04
1964	2.66	NA	1.6	4.53	3.59
1965	4.84	NA	2.35	4.45	5.2
1966	4.32	NA	2.81	5.67	6.43
1967	3.96	NA	3.3	4.27	5.94
1968	3.51	NA	3.27	4.46	6.37
1969	2.89	NA	2.69	4.02	5.57
1970	3.37	NA	2.44	3.44	5.43
1971	2.88	NA	2.27	3.89	4.23
1972	2.89	NA	3.15	2.98	5.47
1973	1.53	NA	2	3.44	4.39
1974	2.05	NA	2.11	1.78	3.76
1975	1.98	NA	2.14	3.19	4.09
1976	1.35	NA	0.92	1.03	1.59
1977	2.64	NA	1.71	2.37	4.55
1978	3.42	NA	4.18	2.22	5.28
1979	2.47	NA	3.73	3.26	5.49
1980	2.21	5.02	3.51	3.29	5.63
1981	2.14	3.5	3.52	3.08	5.74
1982	2.05	2.61	3.37	2.81	5.55
1983	1.41	2.17	2.52	2.86	5.25
1984	1.6	2.9	3.11	2.1	5.2
1985	1.99	3.36	3.06	1.33	6.35
1986	1.72	2.16	2.4	1.17	5.03
1987	1.33	1.86	2.22	1.85	6.75
1988	1.18	1.41	1.82	2.06	4.79
1989	1.39	2.57	2.56	1.25	4.19
1990	1.06	2.37	1.82	0.74	3.72
1991	1.43	2.27	1.48	1.22	4.06
1992	2.03	2.8	2.88	0.34	3.76
1993	3.25	4.01	3.87	1.48	4.11
1994	3.12	3.1	3.52	1.68	4.4
1995	2.89	1.62	2.66	1.63	3
1996	1.49	1.09	1.49	1.26	1.2
1997	3.64	3.76	4.83	2.01	3.08
1998	3.33	3.02	4.23	1.48	2.12
1999	2.85	3.04	3.95	1.63	3.07
2000	2.85	2.47	4.06	0.85	3.2
2001	2.35	2.53	3.92	1.26	3.42
2002	2	2.18	2.23	0.48	3.57
2003	1.77	2.51	2.17	1.45	2.98
2004	1.12	1.68	1.63	0.77	0.98
2005	1.15	2.7	2.83	1.43	1.65
2006	1.4	2.74	3.66	1.14	1.71
2007	1.2	1.98	3.4	1.41	2.13
2008	1.95	4.37	4.79	1.77	2.79
2009	1.53	2.95	2.55	0.74	2.04
2010	1.41	2.69	1.74	1.04	1.6
2011	1.27	2.71	2.12	0.42	2.51
2012	2.62	4.66	3.38	1.49	3.5
2013	3.24	4.63	4.44	2.17	3.7
2014	2.03	2.12	2.67	1.62	4.35
2015	2.81	2.84	3.84	2.83	3.88
2016	3.09	3.33	5.93	1.2	3.42
2017	1.73	1.72	3.55	1.23	1.6
2018	1.91	1.72	2.3	2.07	2.6
2019	1.61	1.36	1.37	1.89	2.17
