# Esper - Laacher See HDM04 - FASY - ITRDB DEU475
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42068
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42068.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu475-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu475.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu475.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Laacher See HDM04 - FASY - ITRDB DEU475
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: Mofettes site
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Laacher See HDM04
#   Location: Germany
#   Northernmost_Latitude: 50.415844
#   Southernmost_Latitude: 50.415844
#   Easternmost_Longitude: 7.255122
#   Westernmost_Longitude: 7.255122
#   Elevation_m: 313
#--------------------
# Data_Collection
#   Collection_Name: DEU475
#   First_Year: 1898
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HDM0401A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0401A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0401B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0401B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0402A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0402A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0403A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0403A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0404A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0404A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0405A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0405A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0406A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0406A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0407Z_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0407Z; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0408A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0408A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0409A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0409A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0410A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0410A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0411A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0411A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0412Z_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0412Z; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0413A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0413A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HDM0401A_raw	HDM0401B_raw	HDM0402A_raw	HDM0403A_raw	HDM0404A_raw	HDM0405A_raw	HDM0406A_raw	HDM0407Z_raw	HDM0408A_raw	HDM0409A_raw	HDM0410A_raw	HDM0411A_raw	HDM0412Z_raw	HDM0413A_raw
1898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.32	NA
1899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15	NA
1900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8	NA
1901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA
1902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.71	NA
1903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.86	NA
1904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17	NA
1905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.29	NA
1907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.23	NA
1908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.25	NA
1909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.61	NA
1910	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.13	0.92
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39	0.68
1912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.26	0.94
1913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.38	0.27
1914	NA	3.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.61	0.51
1915	NA	2.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89	0.27
1916	NA	1.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59	0.09
1917	NA	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.37	0.18
1918	NA	2.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.85	0.1
1919	NA	2.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.18	0.17
1920	NA	2.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.63	1.22
1921	NA	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.08	1.49
1922	NA	2.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.15	2.19
1923	NA	2.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.29	2.66
1924	NA	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.79	3.28
1925	NA	2.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.88	3.81
1926	NA	5.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.97	3.4
1927	NA	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89	3.35
1928	NA	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.19	2.42
1929	NA	1.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.38	2.96
1930	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.43	2.92
1931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.08	2.38
1932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.43	2.56
1933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.93	1.76
1934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.15	2.87
1935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.85	2.73
1936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.58	4.25
1937	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.34	3.65
1938	2.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.77	3.77
1939	1.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3.38
1940	3.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.01	5
1941	3.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.71	4.83
1942	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.12	4.06
1943	3.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.32	3.73
1944	3.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.43	4.43
1945	2.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.51	3.33
1946	3.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22	3.08
1947	1.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45	0.89	1.72
1948	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.44	2.1	2.09
1949	2.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.22	3.66	1.4
1950	2.14	NA	NA	NA	NA	NA	4.03	NA	NA	NA	NA	3.08	4.99	3.6
1951	2.39	NA	NA	NA	NA	NA	4.15	NA	NA	NA	NA	2.92	4.09	3.9
1952	1.95	NA	NA	NA	NA	2.32	3.65	NA	NA	NA	NA	3.92	6.4	3.11
1953	2.01	NA	NA	NA	NA	3.03	4.63	NA	NA	NA	NA	4.54	6.29	3.35
1954	1.75	NA	NA	NA	NA	2.7	5.68	NA	NA	NA	NA	5.9	6.83	3.86
1955	1.92	NA	7.81	NA	5.43	2.29	5.68	2.33	NA	NA	NA	6.25	8.46	4.87
1956	2.27	NA	6.92	NA	5.2	2.38	3.99	2.18	NA	7.86	NA	4.95	5.91	4.64
1957	2.39	NA	6.32	NA	5.81	2.71	3.91	1.9	NA	6.5	NA	4.51	5.14	3.93
1958	2.7	NA	6.75	4.26	3.39	2.73	4.88	2.36	0.57	9.21	0.98	5.35	5.43	4.64
1959	2.05	NA	3.74	2.07	2.61	1.6	3.6	1.51	0.38	4.78	0.43	2.59	4.23	2.61
