# Esper - Laacher See HDM05 - FASY - ITRDB DEU476
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42069
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42069.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu476-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu476.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu476.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Laacher See HDM05 - FASY - ITRDB DEU476
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: Mofettes site
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Laacher See HDM05
#   Location: Germany
#   Northernmost_Latitude: 50.410551
#   Southernmost_Latitude: 50.410551
#   Easternmost_Longitude: 7.285475
#   Westernmost_Longitude: 7.285475
#   Elevation_m: 282
#--------------------
# Data_Collection
#   Collection_Name: DEU476
#   First_Year: 1920
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fagus sylvatica L.
#   Common_Name: European beech
#   Tree_Species_Code: FASY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HDM0501B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0501B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0502A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0502A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0504B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0504B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0505A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0505A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0506A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0506A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0507B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0507B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0509B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0509B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0510B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0510B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0511B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0511B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0513A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0513A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0514A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0514A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HDM0501B_raw	HDM0502A_raw	HDM0504B_raw	HDM0505A_raw	HDM0506A_raw	HDM0507B_raw	HDM0509B_raw	HDM0510B_raw	HDM0511B_raw	HDM0513A_raw	HDM0514A_raw
1920	NA	NA	3.37	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	1.67	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	NA	1.82	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	NA	1.4	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	NA	1.83	NA	NA	NA	NA	NA	NA	NA	NA
1926	NA	NA	5.57	NA	NA	NA	NA	NA	2.73	NA	NA
1927	3.81	NA	4.03	NA	NA	NA	NA	NA	2.28	NA	NA
1928	2.21	NA	4.16	NA	NA	NA	NA	1.26	1.41	NA	NA
1929	2.87	NA	2.84	NA	NA	NA	NA	1.27	1.22	NA	NA
1930	2.42	NA	3.69	NA	NA	NA	NA	1.36	1.8	NA	NA
1931	2.28	NA	4.41	NA	NA	NA	NA	1.49	2.36	NA	NA
1932	3.04	NA	2.94	NA	1.37	NA	NA	1.55	2.65	NA	NA
1933	2.2	NA	2.89	NA	0.9	NA	NA	1.69	1.83	NA	NA
1934	2.2	NA	2	NA	0.37	NA	NA	1.43	1.83	NA	NA
1935	1.81	NA	1.99	NA	0.8	NA	NA	1.65	1.31	NA	NA
1936	2.64	NA	2.97	NA	1.57	NA	NA	2.06	1.84	NA	NA
1937	2.83	NA	2.26	NA	1.05	NA	NA	1.85	1.42	NA	NA
1938	2.86	NA	1.4	NA	1.05	NA	NA	2.1	1.82	NA	NA
1939	3.03	NA	1.86	NA	1.55	NA	NA	1.41	2.23	NA	NA
1940	4.57	NA	2.71	NA	2.38	NA	NA	2.07	1.76	NA	NA
1941	3.9	NA	1.79	NA	1.6	NA	NA	1.8	3.13	NA	NA
1942	3.98	NA	2.05	NA	2.51	NA	NA	1.81	3.8	1.83	NA
1943	3.74	NA	2.39	NA	2.24	1.51	NA	1.82	4.5	1.78	NA
1944	4.91	6.11	3.43	NA	2.68	2.58	2.25	3.23	5.07	2.32	NA
1945	7.28	7	3.22	NA	2.45	3.38	3.24	2.23	11.24	2.28	NA
1946	5.68	4.17	2.42	NA	3.16	2.29	2.91	2.22	11.45	5.76	NA
1947	4.58	5.12	0.45	NA	1.81	1.65	2.34	1.63	4.87	2.32	NA
1948	5.99	4.53	1.99	NA	2.86	1.82	2.48	2.2	5.56	1.72	NA
1949	5.63	4.98	2.59	NA	2.81	1.77	2.68	2.79	6.5	2.85	NA
1950	5.54	5.52	3.74	NA	2.24	1.61	3.74	2.37	9.43	3.62	NA
1951	6.12	4.45	1.68	NA	2.3	2.17	2.98	3.22	8.05	1.53	NA
1952	3.68	4.24	1.26	NA	1.66	1.57	2.18	1.93	7.01	1.92	NA
1953	4.65	3.81	5.92	1.48	2.21	2.14	3.01	0.69	7.97	1.23	NA
1954	5.1	4.21	7.94	1.09	2.45	2.16	2.64	1.41	6.53	1.39	NA
1955	5.36	4.54	3.75	1.5	2.79	2.26	2.83	2.88	6.6	1.29	NA
1956	4.36	4.84	1.94	1.21	1.63	2.17	2.24	2.08	4.63	1.55	NA
1957	4.27	4.96	1.48	1.28	1.71	2.28	1.54	2.38	4.85	1.13	NA
1958	5.24	4.07	1.5	1.53	1.9	2.02	2.15	3.1	4.5	0.98	NA
1959	3.54	3.1	0.65	1.37	1.37	1.19	1.52	1.67	2.87	1.11	NA
1960	3.57	5.17	1.34	0.55	0.95	0.57	1.45	1.49	3.51	0.68	NA
1961	4.67	5.76	1.27	1.37	2.08	1.24	2.71	2.06	3.06	1.04	NA
1962	3.85	5.43	1.52	1.25	1.84	0.87	2.22	2.36	2.47	0.83	0.91
1963	3.78	4.73	1.29	0.88	1.8	0.84	2.43	2.63	2.38	0.75	1.07
1964	3.46	6.17	1.65	0.67	1.52	0.48	2.7	2.42	2.65	0.55	1
1965	4.56	5.7	2.59	0.87	2.02	0.94	3.18	2.6	2.84	0.75	1.59
1966	4.57	5.39	2.87	1.2	1.61	0.67	2.32	2.77	2.39	0.96	0.41
1967	4.93	4.57	4.1	1.49	1.69	1.11	2.07	2.23	3.59	1.21	1.2
1968	5.55	4.59	3.44	1.22	2	0.91	1.19	1.79	3.61	1.2	0.86
1969	4.33	5.89	1.94	1.5	1.33	0.39	1.23	1.12	2.77	0.84	0.58
1970	4.18	5.33	1.43	1.7	0.93	0.41	0.75	0.62	2.14	0.88	0.69
1971	2.91	4.88	2.32	1.06	0.73	0.21	1.14	0.31	2	0.51	0.34
1972	3.28	3.7	1.06	0.86	1.39	0.31	1.44	0.62	2.22	1.02	0.42
1973	2.05	1.28	0.35	0.84	0.93	0.35	2.38	0.95	1.81	1.1	0.45
1974	2.78	4.22	1.28	1.39	1.62	0.35	3.43	1.9	2.32	1	0.74
1975	3.5	3.03	0.6	1.44	0.99	0.3	2.8	1.37	2.44	0.72	0.75
1976	1.75	2.17	0.01	0.6	0.4	0.23	1.18	0.69	1.34	0.34	0.29
1977	2.84	4.3	1.22	0.74	0.78	0.52	2.15	2.08	3.09	0.69	0.61
1978	3.67	4.38	2.18	1.56	0.96	0.6	2.41	1.3	2.52	0.81	0.6
1979	3.49	5.15	2.62	1.35	0.67	0.49	2.09	0.99	2.64	0.47	0.48
1980	3.62	5.06	2.53	1.44	0.53	0.57	2.34	1.19	2.54	0.51	0.83
