# Esper - Laacher See HDM06 - QUSP - ITRDB DEU477
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42070
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42070.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu477-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/deu477.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/deu477.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Laacher See HDM06 - QUSP - ITRDB DEU477
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: Mofettes site
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Laacher See HDM06
#   Location: Germany
#   Northernmost_Latitude: 50.421111
#   Southernmost_Latitude: 50.421111
#   Easternmost_Longitude: 7.277778
#   Westernmost_Longitude: 7.277778
#   Elevation_m: 290
#--------------------
# Data_Collection
#   Collection_Name: DEU477
#   First_Year: 1913
#   Last_Year: 2020
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus spp. L.
#   Common_Name: oak
#   Tree_Species_Code: QUSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## HDM0601A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0601A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0601B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0601B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0603A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0603A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0603B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0603B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0604A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0604A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0604B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0604B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0605A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0605A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0605B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0605B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0606A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0606A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0606B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0606B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0607A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0607A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0607B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0607B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0608A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0608A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0608B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0608B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0609A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0609A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0609B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0609B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0610A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0610A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0610B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0610B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0611A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0611A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0611B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0611B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0612A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0612A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0612B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0612B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0613A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0613A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0613B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0613B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0614A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0614A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0614B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0614B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0615A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0615A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0615C_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0615C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0616A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0616A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0616B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0616B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0617A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0617A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0617B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0617B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0618A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0618A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## HDM0618B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: HDM0618B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	HDM0601A_raw	HDM0601B_raw	HDM0603A_raw	HDM0603B_raw	HDM0604A_raw	HDM0604B_raw	HDM0605A_raw	HDM0605B_raw	HDM0606A_raw	HDM0606B_raw	HDM0607A_raw	HDM0607B_raw	HDM0608A_raw	HDM0608B_raw	HDM0609A_raw	HDM0609B_raw	HDM0610A_raw	HDM0610B_raw	HDM0611A_raw	HDM0611B_raw	HDM0612A_raw	HDM0612B_raw	HDM0613A_raw	HDM0613B_raw	HDM0614A_raw	HDM0614B_raw	HDM0615A_raw	HDM0615C_raw	HDM0616A_raw	HDM0616B_raw	HDM0617A_raw	HDM0617B_raw	HDM0618A_raw	HDM0618B_raw
1913	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA
1914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.07	NA	NA	NA	NA	NA	NA	NA	NA
1915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42	NA	NA	NA	NA	NA	NA	NA	NA
1916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.65	NA	NA	NA	NA	NA	NA	NA	NA
1917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.98	NA	NA	NA	NA	NA	NA	NA	NA
1918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.76	NA	NA	NA	NA	NA	NA	NA	NA
1919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.01	NA	NA	NA	NA	NA	NA	NA	NA
1920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3	2.8	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.03	1.2	NA	NA	NA	NA	NA	NA	NA	NA
1922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.71	NA	NA	NA	3.49	4.22	NA	NA	NA	NA	NA	NA	NA	NA
1923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.76	NA	1.49	NA	3.46	3.4	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.86	5.74	2.89	NA	4.21	4.38	NA	NA	NA	NA	NA	NA	NA	NA
1925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	3.4	4.55	1.95	NA	3.19	2.67	NA	NA	NA	NA	NA	NA	NA	NA
1926	4.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.89	NA	NA	NA	NA	NA	NA	NA	3.59	4.67	4.13	NA	4.23	3.17	NA	NA	NA	NA	NA	NA	NA	NA
1927	7.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.87	NA	NA	NA	NA	NA	NA	NA	2.75	3.71	4.61	NA	3.62	4	NA	NA	NA	NA	NA	NA	NA	NA
1928	7.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54	NA	NA	NA	NA	NA	NA	NA	1.8	1.98	2.34	NA	1.93	1.77	NA	NA	NA	NA	NA	NA	NA	NA
1929	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.65	NA	NA	NA	NA	NA	2.44	NA	3	3.21	2.65	NA	1.96	2.16	NA	NA	NA	NA	NA	NA	NA	NA
1930	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.61	NA	NA	NA	NA	NA	2.2	NA	2.2	2.74	1.74	NA	1.38	1.6	NA	NA	NA	NA	NA	NA	NA	NA
1931	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2	NA	NA	NA	NA	2.28	2.13	NA	1.99	3.08	2.33	3.43	2.14	2.61	NA	NA	NA	NA	NA	NA	NA	NA
1932	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.07	NA	NA	NA	NA	1.59	2.74	NA	2.42	3.3	2.75	3.19	1.43	3.02	NA	NA	NA	NA	NA	NA	NA	NA
1933	1.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.67	NA	NA	NA	NA	1.17	2.9	NA	1.39	1.83	1.94	2.56	1.41	1.98	NA	NA	NA	NA	NA	NA	NA	NA
1934	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.96	NA	NA	NA	NA	1.21	3.12	NA	2.01	2.68	2.07	2.71	1.4	2.4	NA	NA	NA	NA	NA	NA	NA	NA
1935	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15	NA	NA	NA	NA	0.79	2.64	NA	1.49	2.41	1.97	2.59	1.62	2.53	NA	NA	NA	NA	NA	NA	NA	NA
1936	1.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.79	5.07	NA	NA	NA	1.69	2.08	NA	1.82	3.61	2.31	2.69	2.43	4.01	NA	NA	NA	NA	NA	NA	NA	NA
1937	1.09	NA	5.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.82	4.38	NA	NA	NA	1.13	1.8	NA	1.42	2.62	2.26	2.07	1.45	3.8	NA	NA	NA	NA	NA	NA	NA	NA
1938	1.2	NA	4.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.41	4.02	NA	NA	NA	0.78	1.51	NA	0.75	1.71	1.66	1.45	1.74	3.23	NA	NA	NA	NA	NA	NA	NA	NA
1939	1.13	NA	4.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.45	3.77	NA	0.75	NA	1.21	1.23	NA	1.16	1.34	1.48	1.63	1.25	2.83	NA	NA	NA	NA	NA	NA	NA	NA
1940	1.54	NA	4.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.11	2.85	NA	1.35	NA	1.3	1.4	NA	1.85	2.55	1.81	2.03	1.62	2.38	NA	NA	NA	NA	NA	NA	NA	NA
1941	1.09	NA	3.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.15	2.73	1.62	1.69	NA	1.39	1.44	NA	1.51	1.74	1.53	1.56	1.14	1.6	NA	NA	NA	NA	NA	NA	NA	NA
1942	1	NA	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31	3.98	1.37	1.4	NA	0.9	1.83	NA	1.64	1.67	1.42	1.74	1.26	1.9	NA	NA	NA	NA	NA	NA	NA	NA
1943	0.9	NA	3.89	NA	4.88	NA	NA	NA	NA	NA	NA	NA	2.25	4.52	0.86	1.05	NA	1.3	2.39	NA	1.13	1.53	1.39	1.6	1.26	2.48	NA	NA	NA	NA	NA	NA	NA	NA
1944	0.86	NA	3.73	4.39	4.91	NA	NA	NA	NA	NA	NA	NA	2.05	3.39	1.22	1.65	NA	1.6	2.44	NA	1.96	3.16	1.75	2.23	1.71	2.93	NA	NA	NA	NA	NA	NA	NA	NA
1945	1.05	1.64	4.62	5.1	4.02	NA	NA	NA	NA	NA	NA	NA	3.2	4.31	2.22	1.85	NA	2.45	2.43	NA	1.57	2.28	1.62	1.88	2.55	3.41	NA	NA	NA	NA	NA	NA	NA	NA
1946	1.28	1.84	4.83	6.29	3.77	NA	NA	NA	NA	NA	NA	3.58	3.44	4.2	2.76	2.22	NA	3.08	2.73	NA	1.5	2.55	1.59	2.21	2.88	3.92	NA	NA	NA	NA	NA	NA	NA	NA
1947	1.58	1.55	3.18	4.84	3.1	NA	NA	NA	NA	NA	NA	2.07	2.87	3.09	2.12	1.61	NA	2.51	2.41	NA	0.9	1.46	1.19	1.32	1.63	1.71	NA	NA	NA	NA	NA	NA	NA	3.28
1948	1	2.08	3.72	4.73	4.05	3.96	NA	NA	NA	NA	NA	1.75	4.02	4.59	2.87	1.14	NA	4.3	2.99	NA	0.77	1.56	1.09	1.63	2.82	2.16	NA	NA	NA	NA	NA	NA	NA	3.03
1949	1.27	2.57	3.64	5.65	5.94	5.18	NA	NA	NA	NA	NA	3.38	4.16	4.03	3.81	2.95	NA	2.94	2.58	NA	1.08	1.74	1.42	2.25	2.76	2.97	NA	NA	NA	NA	NA	NA	NA	2.79
1950	2.26	2.05	4.84	5.85	5.5	5.23	NA	NA	NA	NA	NA	3.73	6.99	5.82	4.8	2.59	NA	2.8	2.69	NA	0.99	1.3	1.05	1.79	2.65	2.78	NA	NA	NA	NA	NA	NA	NA	1.46
1951	8.16	3.47	4.87	5.62	4.28	4.97	NA	NA	NA	NA	NA	4.45	6	5.83	4.85	2.93	NA	3.38	3.05	NA	1.79	2.12	1.75	3.24	2.89	3.67	NA	NA	NA	NA	NA	NA	NA	1.4
1952	2.96	4.58	4.11	4.61	4.29	3.57	NA	NA	NA	NA	NA	3.95	4.27	4.46	2.86	2.4	NA	6.31	3.04	NA	1.17	1.62	1.46	1.72	2.58	3.24	NA	NA	NA	NA	NA	NA	NA	2.6
1953	3.81	4.73	5.51	5.04	1.49	1.99	NA	NA	NA	NA	NA	4.1	5.35	2.86	3.9	2.97	NA	8.31	3.38	NA	1.78	2.46	6.39	2.58	2.87	3.87	NA	NA	NA	NA	NA	NA	NA	3.6
1954	2.67	3.9	5	4.29	1.62	2.51	NA	NA	NA	NA	NA	5.06	4.45	3.29	3.19	3.47	NA	5.93	2.08	NA	1.33	1.58	3.47	1.76	1.81	2.31	NA	NA	NA	NA	NA	NA	NA	1.72
