# Esper - Mount Smolikas EHS01 Adonis - PIHE - ITRDB GRC035
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/42120
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-42120.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc035-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/grc035.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/grc035.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-06-16
#--------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#--------------------
# Title
#   Study_Name: Esper - Mount Smolikas EHS01 Adonis - PIHE - ITRDB GRC035
#--------------------
# Investigators
#   Investigators: Esper, Jan
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Lara Klippel, Paul J. Krusic, Robert Brandes, Claudia Hartl-Meier, Valerie Trouet, Matthew Meko, Jan Esper
#   Published_Date_or_Year: 2017
#   Published_Title: High-elevation inter-site differences in Mount Smolikas tree-ring width data
#   Journal_Name: Dendrochronologia
#   Volume: 44
#   Edition:
#   Issue: None
#   Pages: 164-173
#   Report_Number: None
#   DOI: 10.1016/j.dendro.2017.05.006
#   Full_Citation:
#   Abstract:
#--------------------
# Publication
#   Authors: Lara Klippel, Paul J. Krusic, Robert Brandes, Claudia Hartl, Soumaya Belmecheri, Manuel Dienst, Jan Esper
#   Published_Date_or_Year: 2018
#   Published_Title: A 1286-year hydro-climate reconstruction for the Balkan Peninsula
#   Journal_Name: Boreas
#   Volume: None
#   Edition:
#   Issue: None
#   Pages: None
#   Report_Number: None
#   DOI: 10.1111/bor.12320
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Mount Smolikas EHS01 Adonis
#   Location: Greece
#   Northernmost_Latitude: 40.110172
#   Southernmost_Latitude: 40.110172
#   Easternmost_Longitude: 20.969183
#   Westernmost_Longitude: 20.969183
#   Elevation_m: 2141
#--------------------
# Data_Collection
#   Collection_Name: GRC035
#   First_Year: 1133
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus heldreichii Christ
#   Common_Name: Heldreich's pine
#   Tree_Species_Code: PIHE
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## Adonis1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Adonis1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Adonis2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Adonis2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Adonis3_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Adonis3; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Adonis4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Adonis4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Adonis5_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Adonis5; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## Adonis6_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: Adonis6; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	Adonis1_raw	Adonis2_raw	Adonis3_raw	Adonis4_raw	Adonis5_raw	Adonis6_raw
1133	NA	1.76	NA	NA	NA	NA
1134	NA	1.45	NA	NA	NA	NA
1135	NA	1.09	NA	NA	NA	NA
1136	NA	1.43	NA	NA	NA	NA
1137	NA	1.34	NA	NA	NA	NA
1138	NA	1.9	NA	NA	NA	NA
1139	NA	1.65	NA	NA	NA	NA
1140	NA	1.67	NA	NA	NA	NA
1141	NA	1.51	NA	NA	NA	NA
1142	NA	1.45	NA	NA	NA	NA
1143	NA	1.8	NA	NA	NA	NA
1144	NA	1.49	NA	NA	NA	NA
1145	NA	1.51	NA	NA	NA	NA
1146	NA	1.58	NA	NA	NA	NA
1147	NA	1.87	NA	NA	NA	NA
1148	NA	1.34	NA	NA	NA	NA
1149	NA	1.57	NA	NA	NA	NA
1150	NA	1.67	NA	NA	NA	NA
1151	NA	1.42	NA	NA	NA	NA
1152	NA	1.13	NA	NA	NA	NA
1153	NA	1.46	NA	NA	NA	NA
1154	NA	1.72	NA	NA	NA	NA
1155	NA	1.31	NA	NA	NA	NA
1156	NA	1.29	NA	NA	NA	NA
1157	NA	1.62	NA	NA	NA	NA
1158	NA	1.34	NA	NA	NA	NA
1159	NA	1.1	NA	NA	NA	NA
1160	NA	1.61	NA	NA	NA	NA
1161	NA	1.58	NA	NA	NA	NA
1162	NA	1.65	NA	NA	NA	NA
1163	NA	1.76	NA	NA	NA	NA
1164	NA	1.84	NA	NA	NA	NA
1165	NA	1.53	NA	NA	NA	NA
1166	NA	1.45	NA	NA	NA	NA
1167	NA	1.41	NA	NA	NA	NA
1168	NA	1.13	NA	NA	NA	NA
1169	NA	1.27	NA	NA	NA	NA
1170	NA	1.35	NA	NA	NA	NA
1171	NA	1.3	NA	NA	NA	NA
1172	NA	1.09	NA	NA	NA	NA
1173	NA	1.27	NA	NA	NA	NA
1174	NA	1.25	NA	NA	NA	NA
1175	NA	1.4	NA	NA	NA	NA
1176	NA	1.24	NA	NA	NA	NA
1177	NA	1.45	NA	NA	NA	NA
1178	NA	1.44	NA	NA	NA	NA
1179	NA	1.28	NA	NA	NA	NA
1180	NA	1.29	NA	NA	NA	NA
1181	NA	1.27	NA	NA	NA	NA
1182	NA	1.15	NA	NA	NA	NA
1183	NA	1.42	NA	NA	NA	NA
1184	NA	1.34	NA	NA	NA	NA
1185	NA	1.17	NA	NA	NA	NA
1186	NA	1.15	NA	NA	NA	NA
1187	NA	1.35	NA	NA	NA	NA
1188	NA	1.19	NA	NA	NA	NA
1189	NA	1.35	NA	NA	NA	NA
1190	NA	1.5	NA	NA	NA	NA
1191	NA	1.27	NA	NA	NA	NA
1192	NA	1.47	NA	NA	NA	NA
1193	NA	1.28	NA	NA	NA	NA
1194	NA	1.16	NA	NA	NA	NA
1195	NA	1.33	NA	NA	NA	NA
1196	NA	1.18	NA	NA	NA	NA
1197	NA	1.4	NA	NA	NA	NA
1198	NA	1.24	NA	NA	NA	NA
1199	NA	1.33	NA	NA	NA	NA
1200	NA	1.33	NA	NA	NA	NA
1201	NA	1.49	NA	NA	NA	NA
1202	NA	1.29	NA	NA	NA	NA
1203	NA	1.11	NA	NA	NA	NA
1204	NA	1.08	NA	NA	NA	NA
1205	NA	1.21	NA	NA	NA	NA
1206	NA	1.06	NA	NA	NA	NA
1207	NA	1.49	NA	NA	NA	NA
1208	NA	1.29	NA	NA	NA	NA
1209	NA	1.32	NA	NA	NA	NA
1210	NA	1.19	NA	NA	NA	NA
1211	NA	0.97	NA	NA	NA	NA
1212	NA	1.05	NA	NA	NA	NA
1213	NA	1.06	NA	NA	NA	NA
1214	NA	1.26	NA	NA	NA	NA
1215	NA	0.94	NA	NA	NA	NA
1216	NA	1.04	NA	NA	NA	NA
1217	NA	1.12	NA	NA	NA	NA
1218	NA	1.05	NA	NA	NA	NA
1219	NA	1.01	NA	NA	NA	NA
1220	NA	0.84	NA	NA	NA	NA
1221	NA	0.81	NA	NA	NA	NA
1222	NA	0.75	NA	NA	NA	NA
1223	NA	0.97	NA	NA	NA	NA
1224	NA	1	NA	NA	NA	NA
1225	NA	0.96	NA	NA	NA	NA
1226	NA	0.83	NA	NA	NA	NA
1227	NA	0.96	NA	NA	NA	NA
1228	NA	1.16	NA	NA	NA	NA
1229	NA	0.87	NA	NA	NA	NA
1230	NA	0.96	NA	NA	NA	NA
1231	NA	0.92	NA	NA	NA	NA
1232	NA	1	NA	NA	NA	NA
1233	NA	0.81	NA	NA	NA	NA
1234	NA	1.1	NA	NA	NA	NA
1235	NA	0.97	NA	NA	NA	NA
1236	NA	0.97	NA	NA	NA	NA
1237	NA	0.97	NA	NA	NA	NA
1238	NA	0.87	NA	NA	NA	NA
1239	NA	1.07	NA	NA	NA	NA
1240	NA	1.17	NA	NA	NA	NA
1241	NA	0.89	NA	NA	NA	NA
1242	NA	1.2	NA	NA	NA	NA
1243	NA	0.99	NA	NA	NA	NA
1244	NA	1.11	NA	NA	NA	NA
1245	NA	0.82	NA	NA	NA	NA
1246	NA	0.68	NA	NA	NA	NA
1247	NA	0.99	NA	NA	NA	NA
1248	NA	0.59	NA	NA	NA	NA
1249	NA	0.99	NA	NA	NA	NA
