# Costa - Benavente - QUSU - ITRDB PRT001
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41023
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41023.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt001-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt001.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/prt001.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-02-26
#--------------------
# File_Last_Modified_Date
#   Date: 2025-02-26
#--------------------
# Title
#   Study_Name: Costa - Benavente - QUSU - ITRDB PRT001
#--------------------
# Investigators
#   Investigators: Costa, Augusta; Graça, José; Spiecker, Heinrich
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Costa, Augusta; José Graça; Inês Barbosa; Heinrich Spiecker
#   Published_Date_or_Year: 2022
#   Published_Title: Effect of climate on cork-ring width and density of Quercus suber L. in Southern Portugal
#   Journal_Name: Trees
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1007/s00468-022-02321-0
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: FCT - Foundation for Science and Technology (Portugal)
#   Grant: CEEINST/00012/2018—ENGFL
#--------------------
# Site_Information
#   Site_Name: Benavente
#   Location: Portugal
#   Northernmost_Latitude: 38.82
#   Southernmost_Latitude: 38.82
#   Easternmost_Longitude: -8.83
#   Westernmost_Longitude: -8.83
#   Elevation_m: 20
#--------------------
# Data_Collection
#   Collection_Name: PRT001
#   First_Year: 1963
#   Last_Year: 2013
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus suber L.
#   Common_Name: cork oak
#   Tree_Species_Code: QUSU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CO02A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO02A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO02B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO02B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO04A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO04A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO04B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO04B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO49A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO49A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO49B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO49B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO44A1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO44A1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO44B1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO44B1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CO02A1_raw	CO02B1_raw	CO04A1_raw	CO04B1_raw	CO49A1_raw	CO49B1_raw	CO44A1_raw	CO44B1_raw
1964	NA	NA	NA	NA	1.28	1.22	0.69	0.69
1965	NA	NA	NA	NA	0.7	0.73	0.94	0.94
1966	NA	NA	NA	NA	0.73	0.6	0.85	0.85
1967	NA	NA	1.07	1.04	1.04	0.88	1.38	1.38
1968	0.93	0.93	0.77	0.58	0.58	0.55	1.06	1.06
1969	0.71	0.71	0.98	1.25	1.25	0.91	1.05	1.05
1970	0.91	0.91	1.04	1.7	1.7	1.43	0.77	0.77
1971	1.61	1.61	0.83	1	1	0.94	0.96	0.96
1972	0.79	0.79	1.29	1.17	1.17	0.93	1.11	1.11
1973	1.23	1.23	1.29	1.28	1.28	0.79	1.49	0.69
1974	1.24	1.24	0.5	0.57	0.57	0.57	0.53	0.33
1975	1.45	1.45	1.15	0.99	0.99	0.99	0.92	0.65
1976	1.12	1.12	1.13	1.16	1.16	1.16	1.08	0.82
1977	1.04	1.04	0.7	0.94	0.94	0.94	1.14	0.92
1978	1.1	1.1	1.03	0.96	0.96	0.96	0.91	1.2
1979	0.94	0.94	1.19	0.84	0.84	0.84	0.9	1.24
1980	0.9	0.9	0.8	1.05	1.05	1.05	1.07	1.27
1981	1.03	1.03	0.92	1.15	1.15	1.15	1.8	0.89
1982	1.05	1.05	0.95	1.04	1.04	1.04	1.99	1.2
1983	1.04	1.04	0.3	0.36	0.36	0.36	0.2	0.87
1984	0.99	0.99	1.58	0.69	0.69	0.69	0.45	0.61
1985	1.46	1.46	1.14	0.78	0.78	0.78	0.94	1.13
1986	1.82	1.82	0.86	0.79	0.78	0.78	1.02	1.36
1987	0.44	0.44	1.34	0.65	0.65	0.65	1.02	1.03
1988	0.94	0.94	0.9	0.62	0.62	0.62	0.91	1.14
1989	0.89	0.89	0.81	0.7	0.7	0.7	1.18	1.46
1990	1.08	1.08	1.24	0.41	0.41	0.41	1.42	1.01
1991	1.18	1.18	1.15	0.66	0.66	0.66	0.94	0.93
1992	1.11	1.11	0.75	0.35	0.35	0.35	0.34	0.74
1993	0.93	0.93	1.1	0.43	0.43	0.43	1.01	1.02
1994	1.01	1.01	1.65	0.85	0.85	0.85	0.4	0.66
1995	1.14	1.14	0.5	0.96	0.96	0.96	1.37	1.68
1996	0.51	1.11	1.02	0.86	0.86	0.86	1.62	1.06
1997	1.23	0.92	0.94	1.44	1.44	1.44	1.53	1.66
1998	0.74	0.86	1.84	1.67	1.67	1.67	1.73	1.34
1999	1.14	1.09	0.98	0.85	0.85	0.85	1.02	1.22
2000	1.05	1.02	0.74	0.79	0.79	0.79	1.71	1.71
2001	0.91	0.86	1.22	0.53	0.53	0.56	0.8	0.8
2002	0.85	1.45	1	1.05	1.05	0.85	1.48	1.48
2003	1.11	0.81	1.27	0.67	0.67	0.72	0.97	0.97
2004	2.12	1.68	0.7	1.07	1.07	1.04	0.6	0.6
2005	0.63	0.94	0.93	1.08	1.08	0.96	1.1	1.1
2006	1.13	1.16	0.97	1.72	1.72	1.21	1.1	1.1
2007	1.42	0.92	1	0.81	0.81	1.71	0.93	0.93
2008	0.96	1.09	1.15	0.94	0.94	1.44	0.69	0.69
2009	0.94	0.89	1.06	1.18	1.18	1.02	1.1	1.1
2010	1.8	1.95	0.97	0.88	0.88	0.87	1	1
2011	0.97	0.99	1.26	0.93	0.93	0.63	1.33	1.33
2012	0.64	1.01	NA	NA	NA	NA	NA	NA
