# Costa - Grandola - QUSU - ITRDB PRT002
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/????
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-????.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt002x-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt002x.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/prt002x.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-03-05
#--------------------
# File_Last_Modified_Date
#   Date: 2025-03-05
#--------------------
# Title
#   Study_Name: Costa - Grandola - QUSU - ITRDB PRT002
#--------------------
# Investigators
#   Investigators: Costa, Augusta; Graça, José; Spiecker, Heinrich
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Costa, Augusta; José Graça; Inês Barbosa; Heinrich Spiecker
#   Published_Date_or_Year: 2022
#   Published_Title: Effect of climate on cork-ring width and density of Quercus suber L. in Southern Portugal
#   Journal_Name: Trees
#   Volume: None
#   Edition:
#   Issue: None
#   Pages: None
#   Report_Number: None
#   DOI: 10.1007/s00468-022-02321-0
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: FCT - Foundation for Science and Technology (Portugal)
#   Grant: CEEINST/00012/2018—ENGFL
#--------------------
# Site_Information
#   Site_Name: Grandola
#   Location: Portugal
#   Northernmost_Latitude: 38.19
#   Southernmost_Latitude: 38.19
#   Easternmost_Longitude: -8.61
#   Westernmost_Longitude: -8.61
#   Elevation_m: 120
#--------------------
# Data_Collection
#   Collection_Name: PRT002
#   First_Year: 1962
#   Last_Year: 2012
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus suber L.
#   Common_Name: cork oak
#   Tree_Species_Code: QUSU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CO01A1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO01A1
## CO01B1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO01B1
## CO02A2_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO02A2
## CO02B2_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO02B2
## CO05A1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO05A1
## CO05B1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO05B1
## CO08A1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO08A1
## CO08B1_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO08B1
## CO18A3_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO18A3
## CO18B3_raw	maximum density,,,gram per decimeter,,tree ring,,,N,Tree ID: CO18B3
#---------------------
# Data:
# Missing_Values: NA
age_CE	CO01A1_raw	CO01B1_raw	CO02A2_raw	CO02B2_raw	CO05A1_raw	CO05B1_raw	CO08A1_raw	CO08B1_raw	CO18A3_raw	CO18B3_raw
1962	3.17	3.17	2.75	2.75	2.57	2.57	1.5	1.5	2.5	2.5
1963	2.69	2.69	2.96	2.96	2.28	2.28	1.67	1.67	2.4	2.4
1964	2.1	2.1	1.97	1.97	2.43	2.43	1.58	1.58	2.02	2.02
1965	2.1	2.1	1.93	1.93	2.07	2.07	1.7	1.7	1.95	1.95
1966	2.46	2.46	2.4	2.4	2.06	2.06	1.64	1.64	2.14	2.14
1967	2.27	2.27	2.01	2.01	2.8	2.8	1.71	1.71	2.2	2.2
1968	1.99	1.99	1.84	1.84	2	2	1.65	1.65	1.87	1.87
1969	2.13	2.13	1.94	1.94	2.3	2.3	1.66	1.66	2.01	2.01
1970	2.1	2.1	2.43	2.43	2.46	2.46	1.72	1.72	2.18	2.18
1971	1.73	1.73	2.15	2.15	2.01	2.01	1.72	1.72	1.9	1.9
1972	1.83	2.29	2	2.25	1.92	1.92	1.63	1.93	1.84	2.1
1973	2.2	2.2	2.14	2.14	2.01	2.01	1.84	1.84	2.04	2.04
1974	2.38	2.38	1.92	1.92	2.04	2.04	1.64	1.64	2	2
1975	2.27	2.27	1.91	1.91	2.15	2.15	1.68	1.68	2	2
1976	2.03	2.03	2.01	2.01	1.92	1.92	1.77	1.77	1.94	1.94
1977	2.01	2.01	1.96	1.96	2.58	2.58	1.65	1.65	2.05	2.05
1978	2.53	2.53	1.89	1.89	2.77	2.77	1.63	1.63	2.2	2.2
1979	3.09	3.09	1.86	1.86	2.26	2.26	1.55	1.55	2.19	2.19
1980	2.63	2.63	1.88	1.88	1.87	1.87	1.66	1.66	2.01	2.01
1981	2.09	2.09	3.08	3.08	2.98	2.98	1.7	1.7	2.46	2.46
1982	2.1	2.57	3.04	1.81	2.99	2.4	2.21	1.7	2.58	2.12
1983	1.83	1.83	2.13	2.13	2.68	2.68	1.67	1.67	2.08	2.08
1984	2.32	2.32	1.94	1.94	2.31	2.31	1.61	1.61	2.05	2.05
1985	2.1	2.1	1.89	1.89	2.25	2.25	1.64	1.64	1.97	1.97
1986	2.26	2.26	3.5	3.5	2.26	2.26	1.82	1.82	2.46	2.46
1987	2.02	2.02	2.27	2.27	2.22	2.22	1.67	1.67	2.05	2.05
1988	2.05	2.05	1.94	1.94	2.21	2.21	1.59	1.59	1.95	1.95
1989	2.36	2.36	2.02	2.02	2.27	2.27	1.88	1.88	2.13	2.13
1990	1.94	1.94	1.96	1.96	2.21	2.21	1.76	1.76	1.97	1.97
1991	2.31	2.31	3.05	3.05	2.23	2.23	1.69	1.69	2.32	2.32
1992	1.83	1.8	1.99	1.81	2.1	1.03	1.36	1.48	1.82	1.53
1993	1.66	1.66	2.17	2.17	1.04	1.04	1.69	1.69	1.64	1.64
1994	1.98	1.98	2.38	2.38	2.94	2.94	1.68	1.68	2.24	2.24
1995	1.83	1.83	2.25	2.25	2.75	2.75	1.77	1.77	2.15	2.15
1996	2.08	2.08	2.16	2.16	2.53	2.53	1.81	1.81	2.15	2.15
1997	1.83	1.83	2.03	2.03	2.35	2.35	1.87	1.87	2.02	2.02
1998	2.06	2.06	2.6	2.6	2.29	2.29	1.85	1.85	2.2	2.2
1999	1.87	1.87	3.47	3.47	2.38	2.38	1.92	1.92	2.41	2.41
2000	1.79	1.79	2.21	2.21	1.95	1.95	1.87	1.87	1.95	1.95
2001	3.22	3.22	1.97	1.97	1.82	1.82	1.74	1.74	2.19	2.19
2002	2.83	3.82	2.3	3.76	1.99	2.43	1.75	2.11	2.22	3.03
2003	3.09	3.09	3.65	3.65	2.47	2.47	2.13	2.13	2.83	2.83
2004	2.22	2.22	3.32	3.32	2.31	2.31	2.13	2.13	2.5	2.5
2005	2.24	2.24	3.39	3.39	2.05	2.05	2.64	2.64	2.58	2.58
2006	2.19	2.19	2.46	2.46	2.03	2.03	2.17	2.17	2.21	2.21
2007	2.24	2.24	2.1	2.1	2.17	2.17	2.18	2.18	2.17	2.17
2008	2.26	2.26	2.73	2.73	2.27	2.27	2.23	2.23	2.37	2.37
2009	2.53	2.53	3.52	3.52	2.14	2.14	1.99	1.99	2.54	2.54
2010	2.34	2.34	2.48	2.48	1.94	1.94	2.1	2.1	2.21	2.21
2011	2.13	2.13	1.5	1.5	1.82	1.82	2.13	2.13	1.9	1.9
2012	1.62	1.62	1.89	1.89	1.74	1.74	2.2	2.2	1.86	1.86
