# Costa - Chamusca - QUSU - ITRDB PRT003
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41059
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41059.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt003-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt003.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/prt003.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-03-06
#--------------------
# File_Last_Modified_Date
#   Date: 2025-03-06
#--------------------
# Title
#   Study_Name: Costa - Chamusca - QUSU - ITRDB PRT003
#--------------------
# Investigators
#   Investigators: Costa, Augusta; Spiecker, Heinrich; Graça, José
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: Costa, Augusta; Luís Catela Nunes; Heinrich Spiecker; José Graça
#   Published_Date_or_Year: 2015
#   Published_Title: Insights into the Responsiveness of Cork Oak (Quercus suber L.) to Bark Harvesting
#   Journal_Name: Econ Bot
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1007/s12231-015-9305-z
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: FCT - Foundation for Science and Technology (Portugal)
#   Grant: EXPL/AGR/ FOR/1220/2012
#--------------------
# Site_Information
#   Site_Name: Chamusca
#   Location: Portugal
#   Northernmost_Latitude: 39.33
#   Southernmost_Latitude: 39.33
#   Easternmost_Longitude: -8.38
#   Westernmost_Longitude: -8.38
#   Elevation_m: 122
#--------------------
# Data_Collection
#   Collection_Name: PRT003
#   First_Year: 1848
#   Last_Year: 1937
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus suber L.
#   Common_Name: cork oak
#   Tree_Species_Code: QUSU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CO001A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO002A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO002A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO003A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## CO004A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: CO004A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	CO001A_raw	CO002A_raw	CO003A_raw	CO004A_raw
1848	2.04	2.07	2.55	2.06
1849	2.58	2.77	2.04	2.67
1850	3.2	3.4	1.94	3.3
1851	3.08	2.98	3.08	3.03
1852	2.57	2.42	2.71	2.5
1853	2.43	2.14	2.77	2.28
1854	2.21	1.96	3.4	2.09
1855	2.22	2.6	2.98	2.41
1856	2.35	2.69	1.81	2.52
1857	2.26	2.55	3.55	2.4
1858	2.17	2.07	6.4	2.12
1859	1.9	1.9	3.52	1.9
1860	1.76	1.81	3.91	1.78
1861	1.92	1.56	1.26	1.74
1862	2.09	1.62	1.13	1.86
1863	2.12	2.08	2.03	2.1
1864	2.02	2.33	2.49	2.18
1865	2.04	1.9	1.95	1.97
1866	1.77	1.69	1.69	1.73
1867	1.81	1.42	1.52	1.61
1868	2.03	1.94	0.94	1.99
1869	1.97	1.94	0.94	1.96
1870	1.64	1.5	1	1.57
1871	1.84	1.76	0.76	1.8
1872	2.09	1.76	0.76	1.92
1873	2.28	2.13	1.13	2.2
1874	2	1.72	0.72	1.86
1875	1.69	1.65	0.65	1.67
1876	2.22	2.65	0.65	2.44
1877	1.55	1.77	0.7	1.66
1878	0.41	0.71	0.64	0.56
1879	1.54	1.75	0.82	1.65
1880	1.23	0.78	0.53	1.01
1881	1.47	1.66	0.47	1.56
1882	1.21	1.56	0.47	1.38
1883	1.38	1.78	0.64	1.58
1884	1.78	1.79	0.65	1.78
1885	1.44	1.7	0.65	1.57
1886	1.27	0.73	0.59	1
1887	0.87	0.56	0.41	0.72
1888	0.58	0.53	0.47	0.56
1889	0.73	0.76	0.59	0.75
1890	0.48	0.65	0.59	0.56
1891	0.63	0.47	0.35	0.55
1892	0.61	0.51	0.53	0.56
1893	0.58	0.72	0.41	0.65
1894	0.74	0.57	0.47	0.66
1895	0.63	0.6	0.41	0.61
1896	0.7	0.57	0.47	0.63
1897	0.61	0.54	0.35	0.58
1898	0.6	0.57	0.53	0.59
1899	0.54	0.57	0.35	0.56
1900	0.61	0.5	0.64	0.56
1901	0.51	0.59	0.76	0.55
1902	0.58	0.64	0.53	0.61
1903	0.51	0.62	0.7	0.56
1904	0.54	0.6	0.88	0.57
1905	0.5	0.59	0.53	0.54
1906	0.6	0.69	0.64	0.64
1907	0.5	0.52	0.53	0.51
1908	0.58	0.56	0.53	0.57
1909	0.47	0.63	0.47	0.55
1910	0.47	0.62	0.47	0.54
1911	0.5	0.57	0.41	0.54
1912	0.5	0.52	0.41	0.51
1913	0.47	0.59	0.53	0.53
1914	0.57	0.56	0.47	0.56
1915	0.54	0.54	0.47	0.54
1916	0.51	0.51	0.36	0.51
1917	0.5	0.54	0.41	0.52
1918	0.48	0.48	0.29	0.48
1919	0.5	0.5	0.47	0.5
1920	0.48	0.47	0.53	0.48
1921	0.57	0.56	0.35	0.57
1922	0.45	0.54	0.54	0.49
1923	0.5	0.57	0.47	0.54
1924	0.57	0.6	0.41	0.59
1925	0.39	0.48	0.41	0.44
1926	0.47	0.48	0.3	0.48
1927	0.43	0.45	0.41	0.44
1928	0.51	0.46	0.35	0.48
1929	0.6	0.47	0.47	0.54
1930	0.41	0.46	0.41	0.43
1931	0.5	0.37	0.41	0.43
1932	0.47	0.52	0.39	0.49
1933	0.45	0.5	0.45	0.48
1934	0.51	0.62	0.5	0.57
1935	0.53	0.46	0.48	0.49
1936	0.45	0.56	0.6	0.5
1937	0.34	0.44	0.34	0.39
