# Costa - Anadia - QUSU - ITRDB PRT004
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/41060
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-41060.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt004-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/prt004.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/prt004.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-03-06
#--------------------
# File_Last_Modified_Date
#   Date: 2025-03-06
#--------------------
# Title
#   Study_Name: Costa - Anadia - QUSU - ITRDB PRT004
#--------------------
# Investigators
#   Investigators: Costa, Augusta; Graça, José; Spiecker, Heinrich
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Oral presentation. Costa A (2024). A dendrochronological study of cork oak (Quercus suber L.): insights into the variability of growth patterns under a changing climate. Proceedings of the Euro-Mediterranean Conference for Environmental Integration (EMCEI-24), held in Marrakech, Morocco, on 15–18 May 2024
#   Abstract:
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Technical Report "Análise dendrocronológica do Sobreiro de Chipar de Cima" Ref: Suberoteca Nacional Laboratório - W/01/2024
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: National Institute for Agrarian and Veterinary Research, I.P. (INIAV)
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Anadia
#   Location: Portugal
#   Northernmost_Latitude: 40.43
#   Southernmost_Latitude: 40.43
#   Easternmost_Longitude: -8.57
#   Westernmost_Longitude: -8.57
#   Elevation_m: 61
#--------------------
# Data_Collection
#   Collection_Name: PRT004
#   First_Year: 1905
#   Last_Year: 2022
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus suber L.
#   Common_Name: cork oak
#   Tree_Species_Code: QUSU
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## WO01S1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO01S1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO02S1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO02S1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO00S1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO00S1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO03S2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO03S2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO04S2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO04S2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO21S2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO21S2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO05S2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO05S2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## WO22S2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: WO22S2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	WO01S1_raw	WO02S1_raw	WO00S1_raw	WO03S2_raw	WO04S2_raw	WO21S2_raw	WO05S2_raw	WO22S2_raw
1905	1.31	2.23	1.4	NA	NA	NA	NA	NA
1906	2.44	1.86	2.33	1.44	1.06	1.44	NA	NA
1907	1.62	1.61	2.08	2.63	3.11	2.31	NA	NA
1908	2.52	2.48	1.92	3.43	3.42	3.29	NA	NA
1909	3.68	3.35	2.53	4.35	5.72	4.43	NA	NA
1910	3.69	3.94	3.88	4.94	6.76	4.77	NA	NA
1911	4.34	3.72	4.34	3.55	3.62	3.5	NA	NA
1912	4.41	4.82	4.5	4.24	3.99	3.51	NA	NA
1913	5.36	5.59	5.25	5.75	5.26	6	NA	NA
1914	5.73	4.13	5.67	7.03	8	6.47	NA	NA
1915	3.48	3.17	3.85	7.41	7.4	6.58	NA	NA
1916	5.36	4.07	5.2	10.06	5.66	9.96	NA	NA
1917	7.89	6.07	6.65	6.2	5.33	5.78	NA	NA
1918	9.48	7.44	8.48	8.14	7.15	7.02	8.54	NA
1919	11.36	9.8	12.42	9.27	8.37	8.85	9.88	NA
1920	11.36	12.31	10.33	7.17	7.46	6.62	7.42	NA
1921	8.87	9.93	8.78	7.44	6.29	6.96	7.65	NA
1922	7.44	9.16	7.03	7.66	6.61	6.93	8.16	NA
1923	7.89	7.8	6.9	7.23	6.63	6.94	7.42	NA
1924	8.23	7.57	7.47	8.16	7.98	7.14	8.74	NA
1925	10.73	7.49	9.23	9.58	11.68	9.1	9.98	NA
1926	14.15	9.31	14.3	11.23	8.27	9.98	12.01	NA
1927	8.24	14.44	8.29	7.14	7.29	9.26	7.76	NA
1928	7.67	8.43	6.37	6.02	7.98	6.47	6.09	NA
1929	5.02	6.79	4.72	4.98	5.94	5.02	5.23	NA
1930	8.38	4.73	9.14	7.87	7.98	6.67	8.67	NA
1931	6.46	8.37	6.38	5.47	5.36	4.77	5.84	NA
1932	6.03	6.26	8.25	7.18	5.94	6.91	7.65	NA
1933	4.52	7.54	5.93	4.43	4.48	3.85	4.82	NA
1934	4.52	6.24	6.83	6.74	5.64	6.03	7.11	6.95
1935	3.33	5.06	5.41	2.98	3.7	3.06	3.06	2.97
1936	5.5	4.2	7.18	4.43	4.24	3.97	4.67	4.37
1937	6.01	5.78	8.05	5.18	6.32	5.11	5.36	5.13
1938	5.73	5.76	7.18	4.88	5.84	4.43	5.18	4.96
1939	6.43	6.55	5.76	5.4	6.13	4.77	5.7	5.55
1940	6.91	4.57	6.34	5.27	4.57	5.37	5.49	5.14
1941	4.42	5.9	5.33	3.14	5.94	3.06	3.31	3.02
1942	6.01	4.38	6.9	5.18	4.58	4.89	5.46	5.46
1943	6.48	5.66	6.18	3.58	6.04	2.84	4.03	4.03
1944	8.35	5.95	10.66	4.16	4.57	4.58	3.98	3.98
1945	6.3	8.9	6.28	3.65	3.11	3.51	3.92	3.92
1946	5.37	6.15	5.26	3.67	3.51	3.4	3.93	3.93
1947	5.4	4.24	4.94	4.68	3.91	4.09	5.05	5.05
1948	4.88	4.24	3.94	2.44	3.51	2.28	2.56	2.56
1949	3.47	3.08	3.94	2.96	3.26	3.07	3.23	3.23
1950	3.2	3.81	4.73	3.08	2.39	2.61	3.34	3.34
1951	2.91	3.92	4.87	4.09	3.39	3.43	4.49	4.58
1952	2.35	3.82	3.94	3.2	3.1	3.22	3.15	3.43
1953	3.02	3.18	3.53	4.18	5.53	4.49	4.15	4.19
1954	3.2	3.07	3.66	5.27	7.56	4.7	5.69	5.83
1955	4.88	3.18	3.08	6.69	5.91	6.14	6.93	7.21
1956	4.22	3.18	3.21	4.15	4.79	5.03	3.89	3.99
1957	2.26	2.88	2.8	3.67	3.86	4.65	2.97	3.32
1958	2.27	3.6	2.85	2.54	4.54	2.83	2.54	2.35
1959	5.45	2.01	2.76	3.01	5.22	2.84	3.03	3.14
1960	3.52	2.65	5.89	3.63	5.55	3.4	3.7	3.93
1961	4.14	3.6	4.39	5.72	5.16	5.44	5.9	5.85
1962	2.07	3.18	4.43	4.93	6.86	4.65	5.21	5.22
1963	1.97	3.5	2.62	6.9	3.15	6.35	7.18	7.15
1964	2.17	2.75	2.7	2.75	2.34	2.72	2.73	2.74
1965	1.78	2.33	2.28	1.66	3.14	1.93	1.67	1.67
1966	1.69	1.59	2.15	2.79	2.15	2.72	2.77	2.78
1967	2.35	2.02	4.28	3.02	3.21	2.72	3.15	3.08
1968	1.98	1.8	2.84	2.33	2.54	2.27	2.39	2.54
1969	3.5	2.44	1.87	4.04	2.72	3.41	4.17	4.36
1970	3.61	2.76	2.1	2.93	3.38	2.83	2.99	2.88
1971	2.16	1.7	2.11	2.85	2.93	3.41	2.69	2.67
1972	2.44	1.59	2.07	2.72	2.13	2.61	2.61	2.74
1973	1.79	1.8	2.95	2.77	1.87	3.29	2.62	2.65
1974	1.5	2.75	NA	4.34	2.89	NA	4.14	4.54
1975	1.31	2.65	NA	3.04	1.67	NA	3.01	3.07
1976	1.31	1.91	NA	3.6	1.71	NA	3.56	3.63
1977	0.94	NA	NA	3.49	3.54	NA	3.68	3.31
1978	1.22	NA	NA	3.64	2.24	NA	3.65	3.62
1979	1.6	NA	NA	2.62	2.28	NA	2.78	2.46
1980	1.6	NA	NA	1.9	1.5	NA	1.92	1.89
1981	1.88	NA	NA	2.34	2.73	NA	2.4	2.28
1982	1.93	NA	NA	2.09	1.73	NA	2.11	2.07
