# Lie - Ström, Jämtland Violin - PCAB - ITRDB SWE347
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40959
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40959.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swe347-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swe347.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2025-02-18
#--------------------
# File_Last_Modified_Date
#   Date: 2025-02-18
#--------------------
# Title
#   Study_Name: Lie - Ström, Jämtland Violin - PCAB - ITRDB SWE347
#--------------------
# Investigators
#   Investigators: Lie, Sondre
#--------------------
# Description_Notes_and_Keywords
#   Description: A Swedish violin labeled "J. August Arnelli, Ström Jemtland, 1889"
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Ström, Jämtland
#   Location: Sweden
#   Northernmost_Latitude: 63.846173
#   Southernmost_Latitude: 63.846173
#   Easternmost_Longitude: 15.547546
#   Westernmost_Longitude: 15.547546
#   Elevation_m: 300
#--------------------
# Data_Collection
#   Collection_Name: SWE347
#   First_Year: 1673
#   Last_Year: 1878
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Picea abies (L.) H. Karst.
#   Common_Name: Norway spruce
#   Tree_Species_Code: PCAB
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## swed347_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: swed347; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	swed347_raw
1673	1.01
1674	0.87
1675	1.01
1676	0.9
1677	0.75
1678	0.63
1679	0.56
1680	0.4
1681	0.68
1682	0.86
1683	0.88
1684	0.86
1685	1.21
1686	0.81
1687	0.79
1688	0.72
1689	0.84
1690	0.6
1691	0.69
1692	0.58
1693	0.45
1694	0.48
1695	0.43
1696	0.35
1697	0.44
1698	0.4
1699	0.33
1700	0.48
1701	0.53
1702	0.96
1703	0.9
1704	0.62
1705	0.59
1706	0.65
1707	0.75
1708	0.54
1709	0.53
1710	0.45
1711	0.46
1712	0.47
1713	0.48
1714	0.52
1715	0.48
1716	0.53
1717	0.54
1718	0.47
1719	0.55
1720	0.57
1721	0.52
1722	0.7
1723	0.75
1724	0.77
1725	0.85
1726	0.93
1727	0.82
1728	0.69
1729	0.82
1730	0.62
1731	0.61
1732	0.72
1733	0.59
1734	0.53
1735	0.52
1736	0.51
1737	0.53
1738	0.64
1739	0.79
1740	0.75
1741	0.6
1742	0.79
1743	0.76
1744	0.51
1745	0.56
1746	0.56
1747	0.58
1748	0.51
1749	0.45
1750	0.46
1751	0.56
1752	0.53
1753	0.76
1754	0.68
1755	0.79
1756	0.58
1757	0.63
1758	0.58
1759	0.73
1760	0.92
1761	0.76
1762	0.65
1763	0.77
1764	0.62
1765	0.69
1766	0.7
1767	0.38
1768	0.33
1769	0.37
1770	0.37
1771	0.56
1772	0.47
1773	0.49
1774	0.47
1775	0.38
1776	0.5
1777	0.58
1778	0.62
1779	0.56
1780	0.54
1781	0.6
1782	0.49
1783	0.56
1784	0.42
1785	0.44
1786	0.5
1787	0.42
1788	0.23
1789	0.36
1790	0.26
1791	0.34
1792	0.36
1793	0.4
1794	0.35
1795	0.39
1796	0.39
1797	0.33
1798	0.41
1799	0.37
1800	0.26
1801	0.38
1802	0.33
1803	0.31
1804	0.48
1805	0.36
1806	0.29
1807	0.43
1808	0.41
1809	0.43
1810	0.38
1811	0.54
1812	0.36
1813	0.42
1814	0.47
1815	0.42
1816	0.52
1817	0.45
1818	0.55
1819	0.6
1820	0.36
1821	0.24
1822	0.36
1823	0.39
1824	0.45
1825	0.4
1826	0.7
1827	0.63
1828	0.65
1829	0.71
1830	0.5
1831	0.63
1832	0.4
1833	0.46
1834	0.32
1835	0.3
1836	0.28
1837	0.31
1838	0.34
1839	0.36
1840	0.3
1841	0.36
1842	0.34
1843	0.36
1844	0.28
1845	0.29
1846	0.29
1847	0.33
1848	0.26
1849	0.17
1850	0.26
1851	0.24
1852	0.3
1853	0.31
1854	0.35
1855	0.3
1856	0.22
1857	0.24
1858	0.23
1859	0.21
1860	0.26
1861	0.36
1862	0.31
1863	0.3
1864	0.3
1865	0.18
1866	0.32
1867	0.23
1868	0.26
1869	0.19
1870	0.27
1871	0.26
1872	0.33
1873	0.27
1874	0.25
1875	0.22
1876	0.3
1877	0.26
1878	0.24

