# Mackey - Malcolm Knapp Research Forest - PSME - ITRDB CAN720
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/39900
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-39900.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can720-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/canada/can720.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/can720.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2024-10-18
#--------------------
# File_Last_Modified_Date
#   Date: 2024-10-18
#--------------------
# Title
#   Study_Name: Mackey - Malcolm Knapp Research Forest - PSME - ITRDB CAN720
#--------------------
# Investigators
#   Investigators: Mackey, Laura (https://orcid.org/0009-0008-2202-8035)
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Malcolm Knapp Research Forest
#   Location: Canada
#   Northernmost_Latitude: 49.272
#   Southernmost_Latitude: 49.272
#   Easternmost_Longitude: -122.582
#   Westernmost_Longitude: -122.582
#   Elevation_m: 175
#--------------------
# Data_Collection
#   Collection_Name: CAN720
#   First_Year: 1981
#   Last_Year: 2021
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## GRoT3C1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRoT3C1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRoT4C1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRoT4C1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRoT6C2_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRoT6C2; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## GRoT7C1_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: GRoT7C1; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	GRoT3C1_raw	GRoT4C1_raw	GRoT6C2_raw	GRoT7C1_raw
1961	NA	NA	2.52	NA
1962	6.6	NA	2.58	NA
1963	6.07	NA	3.83	NA
1964	4.6	NA	5.21	NA
1965	3.27	NA	3.37	NA
1966	1.91	NA	2.31	NA
1967	1.2	1.63	1.8	NA
1968	1.58	1.29	2.52	NA
1969	2.79	1.8	1.78	NA
1970	2.12	3.3	3.81	NA
1971	2.13	3.16	2.88	NA
1972	2.76	3.45	2.36	NA
1973	2.52	3.15	3.69	NA
1974	2.94	3.66	2.43	NA
1975	3.43	2.95	2.31	NA
1976	3.66	3.2	1.91	NA
1977	2.37	2.67	2.58	NA
1978	2.61	3.56	2.37	NA
1979	2.87	2.16	1.98	3.11
1980	2.83	1.59	1.46	2.16
1981	2.56	2.33	2.73	3.79
1982	3.75	2.65	2.5	3.83
1983	4.35	2.77	3.2	3.82
1984	2.14	1.91	2.69	3.6
1985	2.29	1.8	1.67	2.23
1986	2.99	1.66	1.91	2.52
1987	1.78	1.72	2.22	2.54
1988	2.01	1.88	1.82	1.58
1989	2.48	2	2.03	1.48
1990	1.59	2.16	2.1	1.75
1991	2.07	2.78	1.7	1.81
1992	1.63	4.54	2.89	3.15
1993	2.03	2.63	2.48	3.65
1994	2.08	2.52	3.09	6.38
1995	1.75	2.06	2.9	5.69
1996	2.27	1.74	3.6	5.53
1997	2.91	2.3	4.58	6.23
1998	2.54	1.72	4.09	4.29
1999	3.02	1.83	4.07	3.7
2000	3.11	2.85	3.86	3.74
2001	2.69	3.15	2.85	3.39
2002	1.92	2.62	2.58	2.74
2003	1.9	1.99	2.05	1.94
2004	2.05	1.74	1.61	1.43
2005	1.85	1.68	1.59	1.74
2006	1.41	2.1	1.97	1.67
2007	1.87	2.06	2.1	1.7
2008	1.79	3.06	2.94	2.18
2009	1.94	2.48	2.05	1.8
2010	1.01	2.48	2.14	2.33
2011	2.04	2.55	2.3	2.51
2012	1.94	2.9	3.02	3.9
2013	1.56	2.18	1.99	2.91
2014	1.65	2.28	2.19	2.53
2015	1.17	1.12	1.49	1.67
2016	1.21	1.66	2.21	1.53
2017	1.22	1.13	1.76	1.32
2018	0.89	1.28	0.93	0.96
2019	1.22	1.78	1	1.16
2020	1.62	2.04	1.56	1.62
2021	1.57	1.78	1.45	1.32
2022	0.82	1.55	1.08	0.85
