# Wiles - Salmonberry Knoll - TSME - ITRDB AK225
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44492
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44492.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak225-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ak225.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/ak225.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2026-03-03
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-03
#--------------------
# Title
#   Study_Name: Wiles - Salmonberry Knoll - TSME - ITRDB AK225
#--------------------
# Investigators
#   Investigators: Wiles, G.; Wiesenberg, N.; Happ, M.; Starr, K.
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Salmonberry Knoll
#   Location: Alaska
#   Northernmost_Latitude: 61.012
#   Southernmost_Latitude: 61.012
#   Easternmost_Longitude: -147.128
#   Westernmost_Longitude: -147.128
#   Elevation_m: 325
#--------------------
# Data_Collection
#   Collection_Name: AK225
#   First_Year: 1609
#   Last_Year: 2014
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Tsuga mertensiana (Bong.) Carrière
#   Common_Name: mountain hemlock
#   Tree_Species_Code: TSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SK02NW_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK02NW; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK03_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK03; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK04B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK05_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK05; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK07A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK08_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK08; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK10B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK11_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK11; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK12A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK14B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK15A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SK16B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: SK16B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SK02NW_raw	SK03_raw	SK04B_raw	SK05_raw	SK07A_raw	SK08_raw	SK10B_raw	SK11_raw	SK12A_raw	SK14B_raw	SK15A_raw	SK16B_raw
1609	NA	NA	NA	0.484	NA	NA	NA	NA	NA	NA	NA	NA
1610	NA	NA	NA	0.773	NA	NA	NA	NA	NA	NA	NA	NA
1611	NA	NA	NA	0.636	NA	NA	NA	NA	NA	NA	NA	NA
1612	NA	NA	NA	0.745	NA	NA	NA	NA	NA	NA	NA	NA
1613	NA	NA	NA	0.389	NA	NA	NA	NA	NA	NA	NA	NA
1614	NA	NA	NA	0.375	NA	NA	NA	NA	NA	NA	NA	NA
1615	NA	NA	NA	0.436	NA	NA	NA	NA	NA	NA	NA	NA
1616	NA	NA	NA	0.351	NA	NA	NA	NA	NA	NA	NA	NA
1617	NA	NA	NA	0.753	NA	NA	NA	NA	NA	NA	NA	NA
1618	NA	NA	NA	0.422	NA	NA	NA	NA	NA	NA	NA	NA
1619	NA	NA	NA	0.632	NA	NA	NA	NA	NA	NA	NA	NA
1620	NA	NA	NA	0.237	NA	NA	NA	NA	NA	NA	NA	NA
1621	NA	NA	NA	0.308	NA	NA	NA	NA	NA	NA	NA	NA
1622	NA	NA	NA	0.573	NA	NA	NA	NA	NA	NA	NA	NA
1623	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA
1624	NA	NA	NA	0.289	NA	NA	NA	NA	NA	NA	NA	NA
1625	NA	NA	NA	0.344	NA	NA	NA	NA	NA	NA	NA	NA
1626	NA	NA	NA	0.458	NA	NA	NA	NA	NA	NA	NA	NA
1627	NA	NA	NA	0.489	NA	NA	NA	NA	NA	NA	NA	NA
1628	NA	NA	NA	0.425	NA	NA	NA	NA	NA	NA	NA	NA
1629	NA	NA	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA
1630	0.97	NA	NA	0.465	NA	NA	NA	NA	NA	NA	NA	NA
1631	1.387	NA	NA	0.487	NA	NA	NA	NA	NA	NA	NA	NA
1632	2.012	NA	NA	0.573	NA	NA	NA	NA	NA	NA	NA	NA
1633	1.379	NA	NA	0.807	NA	NA	NA	NA	NA	NA	NA	NA
1634	0.917	NA	NA	0.773	NA	NA	NA	NA	NA	NA	NA	NA
1635	1.052	NA	NA	0.706	NA	NA	NA	NA	NA	NA	NA	NA
1636	0.719	NA	NA	0.404	NA	NA	NA	NA	NA	NA	NA	NA
1637	0.822	NA	NA	0.646	NA	NA	NA	NA	NA	NA	NA	NA
1638	1.034	NA	NA	0.656	NA	NA	NA	NA	NA	NA	NA	NA
1639	0.667	NA	NA	0.032	NA	NA	NA	NA	NA	NA	NA	NA
1640	1.011	NA	NA	0.339	NA	NA	NA	NA	NA	NA	NA	NA
1641	1.004	NA	NA	0.402	NA	NA	NA	NA	NA	NA	NA	NA
1642	0.797	NA	NA	0.392	NA	NA	NA	NA	NA	NA	NA	NA
1643	0.974	NA	NA	0.53	NA	NA	NA	NA	NA	NA	NA	NA
1644	0.837	NA	NA	0.805	NA	NA	NA	NA	NA	NA	NA	NA
1645	0.703	NA	NA	0.444	NA	NA	NA	NA	NA	NA	NA	NA
1646	0.55	NA	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA
1647	0.662	NA	NA	0.275	NA	NA	NA	NA	NA	NA	0.598	NA
1648	0.766	NA	NA	0.18	NA	NA	NA	NA	NA	NA	0.275	NA
1649	0.633	NA	NA	0.084	NA	NA	NA	NA	NA	NA	0.355	NA
1650	0.583	NA	NA	0.17	NA	NA	NA	NA	NA	NA	0.672	NA
1651	0.982	NA	NA	0.846	NA	NA	NA	NA	NA	NA	1.167	NA
1652	0.869	NA	NA	0.593	NA	NA	NA	NA	NA	NA	0.781	NA
1653	0.838	NA	NA	0.413	NA	NA	NA	NA	NA	NA	1.172	NA
1654	1.104	NA	NA	0.487	NA	NA	NA	NA	NA	NA	1.083	NA
1655	0.743	NA	NA	0.37	NA	NA	NA	NA	NA	NA	0.923	NA
1656	0.877	NA	NA	0.286	NA	NA	NA	NA	NA	NA	0.85	NA
1657	1.156	NA	NA	0.403	NA	NA	NA	NA	NA	NA	0.813	NA
1658	0.687	NA	NA	0.414	NA	NA	NA	NA	NA	NA	0.582	NA
1659	0.828	NA	NA	0.243	NA	NA	NA	NA	NA	NA	0.641	NA
1660	0.951	NA	NA	0.595	NA	NA	NA	NA	NA	NA	0.786	NA
1661	0.845	NA	NA	0.679	NA	NA	NA	NA	NA	NA	0.825	NA
1662	0.374	NA	NA	0.35	NA	NA	NA	NA	NA	NA	0.679	NA
1663	0.567	NA	NA	0.224	NA	NA	NA	NA	NA	NA	0.561	NA
1664	0.503	NA	NA	0.148	NA	NA	NA	NA	NA	NA	0.64	NA
1665	0.335	NA	NA	0.288	NA	NA	NA	NA	NA	NA	0.757	NA
1666	0.519	NA	NA	0.202	NA	NA	NA	NA	NA	NA	0.82	NA
1667	0.632	NA	NA	0.309	NA	NA	NA	NA	NA	NA	0.915	NA
1668	0.738	NA	NA	0.386	NA	NA	NA	NA	NA	NA	0.975	NA
1669	0.455	NA	NA	0.151	NA	0.712	NA	NA	NA	NA	0.969	NA
1670	0.551	NA	NA	0.557	NA	0.534	NA	NA	NA	NA	0.821	NA
1671	0.962	NA	NA	0.517	NA	0.722	NA	NA	NA	NA	0.881	NA
1672	0.678	NA	NA	0.181	NA	0.479	NA	NA	NA	NA	0.465	NA
1673	0.375	NA	NA	0.545	NA	0.584	NA	NA	NA	NA	0.359	NA
1674	0.415	NA	NA	0.619	NA	0.501	NA	NA	NA	NA	0.304	NA
