# King - Chiricahua Mountains - PIEN - ITRDB AZ629
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/43324
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-43324.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az629bl-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/az629bl.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/az629bl.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-09-19
#--------------------
# File_Last_Modified_Date
#   Date: 2025-09-19
#--------------------
# Title
#   Study_Name: King - Chiricahua Mountains - PIEN - ITRDB AZ629
#--------------------
# Investigators
#   Investigators: King, Karen
#--------------------
# Description_Notes_and_Keywords
#   Description: 
#--------------------
# Publication
#   Authors: King, Karen E., Edward R. Cook, Kevin J. Anchukaitis, Benjamin I. Cook, Jason E. Smerdon, Richard Seager, Grant L. Harley, Benjamin Spei
#   Published_Date_or_Year: 2024
#   Published_Title: Increasing prevalence of hot drought across western North America since the 16th century
#   Journal_Name: Science Advances
#   Volume: 10
#   Edition:
#   Issue: 4
#   Pages: None
#   Report_Number: eadj4289
#   DOI: 10.1126/sciadv.adj4289
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Chiricahua Mountains
#   Location: Arizona
#   Northernmost_Latitude: 31.93
#   Southernmost_Latitude: 31.93
#   Easternmost_Longitude: -109.38
#   Westernmost_Longitude: -109.38
#   Elevation_m: 1980
#--------------------
# Data_Collection
#   Collection_Name: AZ629
#   First_Year: 1807
#   Last_Year: 1986
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus engelmannii Carr.
#   Common_Name: Apache pine
#   Tree_Species_Code: PIEN
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## CHR01A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR01A_L; units are 0.1 reflectance intensity
## CHR01B_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR01B_L; units are 0.1 reflectance intensity
## CHR02B_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR02B_L; units are 0.1 reflectance intensity
## CHR03A1__raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR03A1_; units are 0.1 reflectance intensity
## CHR03B_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR03B_L; units are 0.1 reflectance intensity
## CHR04A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR04A_L; units are 0.1 reflectance intensity
## CHR05A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR05A_L; units are 0.1 reflectance intensity
## CHR06A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR06A_L; units are 0.1 reflectance intensity
## CHR07A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR07A_L; units are 0.1 reflectance intensity
## CHR07B_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR07B_L; units are 0.1 reflectance intensity
## CHR08A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR08A_L; units are 0.1 reflectance intensity
## CHR10A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR10A_L; units are 0.1 reflectance intensity
## CHR10A2__raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR10A2_; units are 0.1 reflectance intensity
## CHR11A1__raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR11A1_; units are 0.1 reflectance intensity
## CHR11B1__raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR11B1_; units are 0.1 reflectance intensity
## CHR13A_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR13A_L; units are 0.1 reflectance intensity
## CHR13B_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR13B_L; units are 0.1 reflectance intensity
## CHR14B_L_raw	blue intensity,latewood,,dimensionless,,tree ring,,,N,Tree ID: CHR14B_L; units are 0.1 reflectance intensity
#---------------------
# Data:
# Missing_Values: NA
age_CE	CHR01A_L_raw	CHR01B_L_raw	CHR02B_L_raw	CHR03A1__raw	CHR03B_L_raw	CHR04A_L_raw	CHR05A_L_raw	CHR06A_L_raw	CHR07A_L_raw	CHR07B_L_raw	CHR08A_L_raw	CHR10A_L_raw	CHR10A2__raw	CHR11A1__raw	CHR11B1__raw	CHR13A_L_raw	CHR13B_L_raw	CHR14B_L_raw
1807	NA	NA	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1808	NA	NA	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1809	NA	NA	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1810	NA	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1811	NA	NA	NA	2.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1812	NA	NA	NA	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1813	NA	NA	NA	2.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1814	NA	NA	NA	2.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1815	NA	NA	NA	2.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1816	NA	NA	NA	2.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1817	NA	NA	NA	2.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1818	NA	NA	NA	2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1819	NA	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1820	NA	NA	NA	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1821	NA	NA	NA	2.49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1822	NA	NA	NA	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1823	NA	NA	NA	2.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1824	NA	NA	NA	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1825	NA	NA	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1826	NA	NA	NA	2.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1827	NA	NA	NA	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1828	NA	NA	NA	2.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1829	NA	NA	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1830	NA	NA	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1831	NA	NA	NA	2.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1832	NA	NA	NA	2.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1833	NA	NA	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1834	NA	NA	NA	2.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1835	NA	NA	NA	2.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1836	NA	NA	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1837	NA	NA	NA	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1838	NA	NA	NA	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1839	NA	NA	NA	2.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1840	NA	NA	NA	2.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1841	NA	NA	NA	2.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1842	NA	NA	NA	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1843	NA	NA	NA	2.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1844	NA	NA	NA	2.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1845	NA	NA	NA	2.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1846	NA	1.55	NA	2.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1847	NA	1.63	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1848	NA	1.73	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1849	NA	1.69	NA	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1850	NA	1.62	NA	2.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1851	NA	1.78	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1852	2.09	1.99	NA	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1853	2.06	1.99	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1854	1.74	1.6	NA	2.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1855	1.95	2.04	NA	2.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1856	2.1	2.03	NA	2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1857	1.95	1.65	NA	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1858	1.86	1.9	NA	2.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1859	1.91	1.96	NA	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1860	1.9	1.91	NA	2.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
