# Dannenberg - Nine Eagles State Park Update - QUAL - ITRDB IA041
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44563
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44563.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia041e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia041e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Dannenberg - Nine Eagles State Park Update - QUAL - ITRDB IA041
#--------------------
# Investigators
#   Investigators: Dannenberg, M.P.; Martin, E.; Eckley, G.; Pearson, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia002
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 2001753
#--------------------
# Site_Information
#   Site_Name: Nine Eagles State Park
#   Location: Iowa
#   Northernmost_Latitude: 40.604948699999994
#   Southernmost_Latitude: 40.604948699999994
#   Easternmost_Longitude: -93.7570969
#   Westernmost_Longitude: -93.7570969
#   Elevation_m: 335
#--------------------
# Data_Collection
#   Collection_Name: IA041
#   First_Year: 1890
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EAG01B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG05A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG01A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG06B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG10B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG07A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG04B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG08B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG05B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: EAG05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	EAG01B_raw	EAG05A_raw	EAG01A_raw	EAG06B_raw	EAG10B_raw	EAG07A_raw	EAG04B_raw	EAG08B_raw	EAG05B_raw
1890	NA	NA	NA	NA	0.296	NA	NA	NA	NA
1891	NA	NA	NA	NA	0.315	NA	NA	NA	NA
1892	NA	NA	NA	NA	0.43	NA	NA	NA	NA
1893	NA	NA	NA	NA	0.393	NA	NA	0.767	NA
1894	NA	NA	NA	NA	0.407	NA	NA	0.671	NA
1895	NA	NA	NA	NA	0.323	NA	NA	0.539	NA
1896	NA	NA	NA	NA	0.352	0.858	NA	0.64	NA
1897	NA	NA	NA	NA	0.568	0.918	NA	0.713	NA
1898	NA	NA	NA	NA	0.578	0.825	NA	0.812	NA
1899	NA	NA	NA	NA	0.542	0.872	NA	0.666	NA
1900	NA	NA	NA	NA	0.61	0.749	NA	0.798	NA
1901	NA	NA	NA	NA	0.615	0.704	NA	0.711	NA
1902	NA	NA	NA	NA	0.656	0.586	NA	0.813	NA
1903	NA	NA	NA	NA	0.918	0.683	NA	0.965	NA
1904	NA	NA	NA	NA	0.777	1.031	NA	0.967	NA
1905	NA	NA	NA	1.248	0.827	0.618	NA	0.747	NA
1906	NA	NA	NA	1.285	0.799	0.759	NA	0.872	NA
1907	NA	NA	NA	1.962	0.944	1.43	NA	0.998	NA
1908	NA	NA	NA	1.649	0.859	1.238	NA	0.93	NA
1909	NA	NA	NA	1.344	0.711	1.736	NA	0.909	NA
1910	NA	NA	NA	1.534	0.715	1.411	NA	0.935	0.642
1911	NA	NA	NA	1.336	0.694	1.18	NA	0.693	0.335
1912	NA	NA	NA	1.818	0.981	1.815	NA	0.686	0.37
1913	NA	0.397	NA	1.83	1.17	1.411	NA	0.894	0.437
1914	NA	0.557	NA	2.064	0.852	1.417	NA	0.724	0.426
1915	NA	0.723	NA	1.794	1.033	1.915	NA	0.803	0.517
1916	NA	0.626	NA	1.629	1.054	1.169	NA	0.923	0.477
1917	0.491	0.761	NA	1.719	0.969	1.476	NA	0.93	0.896
1918	0.408	0.621	NA	1.303	0.939	1.079	NA	0.668	0.682
1919	0.39	1.185	NA	2.113	0.937	2.126	NA	0.642	1.076
1920	0.381	1.008	NA	1.625	1.053	2.08	NA	0.638	1.256
1921	0.565	1.271	NA	2.048	1.268	1.952	NA	0.732	1.189
1922	0.622	1.221	NA	1.48	1.006	1.376	0.481	0.722	0.879
1923	0.492	0.922	NA	2.023	1.144	1.214	0.662	0.777	1.421
1924	0.405	1.123	NA	2.571	1.044	1.031	0.413	0.76	1.576
1925	0.874	1.29	NA	2.336	1.088	1.083	0.353	0.708	1.228
1926	0.85	1.11	NA	1.507	0.824	1.199	0.466	0.714	1.492
1927	1.258	1.354	NA	2.137	0.961	1.201	0.515	0.887	1.557
1928	0.903	1.04	NA	1.911	0.898	1.35	0.369	0.944	1.416
1929	1.162	1.343	NA	1.203	0.842	1.254	0.482	0.83	1.317
1930	0.728	1.029	NA	1.509	0.726	1.349	0.487	0.662	1.132
1931	0.886	1.18	NA	1.41	0.835	1.205	0.574	0.691	1.335
1932	0.847	1.422	NA	1.863	0.853	1.093	0.469	0.587	1.629
1933	1.175	1.312	NA	1.752	0.917	1.477	0.558	0.593	1.334
1934	0.98	1.319	NA	1.646	0.845	1.068	0.561	0.506	1.352
1935	1.03	1.631	NA	1.95	0.961	1.178	0.645	0.583	1.59
1936	1.434	1.445	0.788	1.641	0.921	1.154	0.698	0.704	1.505
1937	0.993	1.075	0.777	1.233	0.84	1.151	1.013	0.608	1.015
1938	1.138	1.281	1.105	1.305	0.816	1.087	0.864	0.475	0.825
1939	0.811	1.363	1.003	1.409	0.79	1.132	0.731	0.385	1.242
1940	1.3	1.402	1.011	1.231	0.847	1.45	0.709	0.582	1.439
1941	0.881	1.62	1.121	1.213	0.954	1.335	0.776	0.485	1.318
1942	1.576	1.949	1.117	1.213	1.188	1.504	0.891	0.63	1.635
1943	0.874	1.528	1.611	1.407	0.973	1.419	0.987	0.659	1.142
1944	1.108	1.403	1.302	1.057	1.06	1.298	0.971	0.513	1.192
1945	1.194	1.854	0.973	1.811	1.049	1.217	1.221	0.345	1.5
1946	1.256	1.394	0.958	1.469	0.986	1.013	0.738	0.545	1.526
1947	1.531	1.434	1.095	1.446	1.23	1.205	0.81	0.586	1.246
1948	1.022	1.026	0.925	1.273	1.057	0.869	0.541	0.48	1.11
1949	1.257	1.039	1.186	1.074	0.92	1.015	0.972	0.501	1.21
1950	1.723	1.324	1.598	1.219	1.183	1.084	0.841	0.495	1.499
1951	1.709	1.03	1.316	1.159	1.043	1.214	0.485	0.558	1.203
1952	1.206	1.118	1.194	1.113	1.199	1.11	0.718	0.5	1.085
1953	1.048	1.094	1.299	1.351	1.081	1.347	0.793	0.725	1.164
1954	1.142	0.895	1.371	1.22	1.133	1.184	0.753	0.402	1.167
1955	0.864	1.141	1.038	0.935	0.799	0.854	0.688	0.551	1.132
1956	0.953	1.006	0.955	0.75	0.936	0.911	0.374	0.553	1.063
