# Dannenberg - Nine Eagles State Park Update - QUAL - ITRDB IA041
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44563
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44563.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia041l-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia041l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Dannenberg - Nine Eagles State Park Update - QUAL - ITRDB IA041
#--------------------
# Investigators
#   Investigators: Dannenberg, M.P.; Martin, E.; Eckley, G.; Pearson, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia002
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 2001753
#--------------------
# Site_Information
#   Site_Name: Nine Eagles State Park
#   Location: Iowa
#   Northernmost_Latitude: 40.604948699999994
#   Southernmost_Latitude: 40.604948699999994
#   Easternmost_Longitude: -93.7570969
#   Westernmost_Longitude: -93.7570969
#   Elevation_m: 335
#--------------------
# Data_Collection
#   Collection_Name: IA041
#   First_Year: 1890
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## EAG01B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG05A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG01A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG06B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG10B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG07A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG04B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG08B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## EAG05B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: EAG05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	EAG01B_raw	EAG05A_raw	EAG01A_raw	EAG06B_raw	EAG10B_raw	EAG07A_raw	EAG04B_raw	EAG08B_raw	EAG05B_raw
1890	NA	NA	NA	NA	0.729	NA	NA	NA	NA
1891	NA	NA	NA	NA	1.003	NA	NA	NA	NA
1892	NA	NA	NA	NA	1.575	NA	NA	NA	NA
1893	NA	NA	NA	NA	1.075	NA	NA	1.807	NA
1894	NA	NA	NA	NA	0.391	NA	NA	1.128	NA
1895	NA	NA	NA	NA	1.166	NA	NA	1.889	NA
1896	NA	NA	NA	NA	1.965	5.401	NA	2.721	NA
1897	NA	NA	NA	NA	1.714	1.951	NA	1.89	NA
1898	NA	NA	NA	NA	1.582	2.636	NA	2.16	NA
1899	NA	NA	NA	NA	1.993	2.571	NA	2.544	NA
1900	NA	NA	NA	NA	1.989	0.685	NA	1.834	NA
1901	NA	NA	NA	NA	1.52	1.364	NA	2.362	NA
1902	NA	NA	NA	NA	4.492	1.261	NA	4.222	NA
1903	NA	NA	NA	NA	3.287	3.061	NA	4.805	NA
1904	NA	NA	NA	NA	3.268	3.657	NA	3.338	NA
1905	NA	NA	NA	4.216	2.609	2.309	NA	1.436	NA
1906	NA	NA	NA	5.284	2.401	4.205	NA	1.813	NA
1907	NA	NA	NA	5.818	3.041	5.206	NA	2.72	NA
1908	NA	NA	NA	5.417	1.698	5.376	NA	2.635	NA
1909	NA	NA	NA	8.149	1.946	5.512	NA	3.138	NA
1910	NA	NA	NA	4.327	1.803	2.227	NA	1.36	0.718
1911	NA	NA	NA	3.005	1.625	2.262	NA	0.934	2.369
1912	NA	NA	NA	3.603	4.047	4.145	NA	1.76	1.213
1913	NA	0.807	NA	3.764	3.057	3.124	NA	2.147	1.776
1914	NA	1.96	NA	2.522	2.331	2.907	NA	1.025	1.815
1915	NA	2.68	NA	5.828	4.747	5.27	NA	4.264	2.923
1916	NA	3.266	NA	3.504	4.234	4.487	NA	3.07	2.822
1917	1.808	2.748	NA	3.694	2.185	3.422	NA	2.132	2.497
1918	1.04	1.568	NA	2.653	2.306	1.174	NA	1.751	2.644
1919	2.529	3.31	NA	3.807	3.192	3.629	NA	1.842	4.256
1920	1.469	2.789	NA	3.473	3.421	3.606	NA	1.388	3.91
1921	2.345	3.004	NA	2.909	2.234	1.798	NA	0.807	1.843
1922	1.728	3.118	NA	2.345	3.458	3.814	1.37	1.44	3.8
1923	0.872	1.776	NA	1.029	2.135	0.926	1.711	1.098	3.151
1924	3.268	3.105	NA	2.119	4.525	2.941	3.189	1.489	4.919
1925	2.164	1.962	NA	1.462	2.769	2.047	1.66	1.252	3.018
1926	2.57	3.23	NA	2.782	3.271	2.462	4.191	1.061	4.579
1927	2.986	4.029	NA	2.893	2.319	3.303	1.443	1.91	4.231
1928	3.448	4.634	NA	2.848	2.677	3.194	3.307	1.91	5.555
1929	3.13	2.683	NA	2.722	1.611	2.532	1.445	1.236	3.796
1930	1.977	2.464	NA	2.054	1.45	2.497	2.438	0.918	3.136
1931	1.834	2.004	NA	1.427	1.107	1.838	3.208	0.57	3.388
1932	3.019	3.182	NA	3.048	1.019	2.996	2.339	0.755	3.508
1933	2.34	2.425	NA	2.166	0.647	1.116	1.72	0.513	2.3
1934	1.653	2.569	NA	1.625	0.707	1.208	1.54	0.296	1.909
1935	3.296	3.492	NA	2.736	1.648	1.643	2.833	0.79	3.64
1936	1.503	1.493	1.605	1.202	0.993	1.353	1.889	0.544	1.778
1937	2.246	2.182	2.24	1.814	1.239	2.063	3.359	0.586	2.216
1938	1.302	1.645	0.926	0.829	0.587	0.913	1.598	0.192	0.816
1939	4.413	3.12	2.834	1.642	1.464	3.109	3.52	0.536	2.483
1940	2.189	2.056	2.688	1.229	1.124	2.494	1.322	0.36	2.501
1941	3.317	2.744	3.888	1.859	1.218	2.162	2.6	0.703	3.017
1942	2.33	3.885	3.006	1.709	1.837	2.804	3.404	1.002	2.942
1943	4.075	2.166	4.28	0.806	1.389	1.692	3.265	0.67	2.12
1944	3.708	2.219	4.062	0.965	0.941	1.854	2.166	0.403	2.049
1945	2.327	3.118	3.36	1.275	1.811	2.376	2.447	1.047	2.734
1946	3.541	2.456	3.771	1.266	1.351	2.252	1.963	1.006	2.035
1947	2.009	2.705	2.096	1.011	1.346	1.159	1.599	1.085	1.524
1948	1.544	1.102	2.086	0.517	0.864	0.722	0.827	0.512	1.033
1949	3.697	2.683	3.409	1.323	1.625	1.663	1.998	0.723	2.996
1950	3.2	2.713	3.522	1.511	1.615	1.605	1.991	0.724	2.326
1951	4.068	3.396	3.842	1.482	2.135	1.463	1.685	0.948	2.584
1952	2.427	2.525	2.718	0.687	1.462	1.335	1.369	0.35	1.557
1953	1.413	1.337	2.095	0.432	0.923	0.831	1.461	0.387	1.027
1954	1.39	1.019	1.963	0.296	0.404	0.31	1.104	0.454	0.968
1955	2.294	1.701	2.15	0.675	1.031	0.832	1.328	0.875	1.739
1956	0.77	0.504	0.855	0.328	0.161	0.342	0.89	0.202	0.393
1957	2.516	1.26	1.926	1.434	0.737	0.703	1.723	0.885	1.613
1958	2.458	1.1	2.03	0.492	0.613	1.127	1.826	0.621	1.177
1959	1.532	1.149	2.109	0.738	0.832	1.131	2.143	0.563	1.195
1960	2.686	1.21	2.251	1.072	1.162	1.398	2.883	1.495	1.106
1961	3.024	0.888	2.993	0.72	0.88	0.849	2.448	1.022	0.961
1962	1.733	1.291	1.821	0.862	0.866	1.448	2.282	1.518	1.699
1963	1.653	1.294	1.54	0.605	0.603	0.954	1.708	1.585	1.165
1964	1.418	1.097	1.124	0.771	0.77	1.296	1.744	1.654	1.227
1965	1.63	1.254	1.832	0.493	0.882	0.788	1.711	1.524	0.899
1966	1.132	1.237	1.399	0.33	0.886	0.78	1.887	1.389	0.935
1967	1.116	0.838	1.72	0.339	0.984	0.975	2.083	1.297	0.844
1968	0.884	0.804	1.734	0.203	0.776	0.588	1.481	0.708	0.813
1969	1.433	1.335	1.881	0.472	1.239	0.775	2.672	1.107	1.063
1970	1.189	0.73	1.228	0.351	0.712	0.614	1.373	0.99	0.774
1971	0.738	0.873	1.072	0.167	0.601	0.507	1.505	0.852	1.033
1972	0.773	0.893	1.307	0.129	0.527	0.545	1.4	0.743	0.898
1973	0.779	0.955	0.973	0.297	0.725	1.112	2.402	1.044	1.081
1974	0.855	1.015	1.331	0.267	0.806	0.801	1.802	0.772	1.275
1975	1.174	1.104	1.618	0.488	0.534	0.631	2.42	0.873	0.977
1976	1.022	1.017	1.751	0.361	0.757	0.597	1.78	0.897	0.625
1977	0.794	0.849	1.391	0.348	0.508	0.464	1.4	0.489	0.633
1978	1.726	1.338	2.327	0.755	1.414	1.134	2.618	1.069	0.882
1979	1.195	1.43	1.308	0.523	1.117	0.62	1.47	0.732	0.879
1980	1.634	0.831	1.864	0.698	0.896	0.626	1.664	0.479	0.871
1981	1.763	1.227	2.736	0.624	1.089	0.909	2.281	0.749	1.068
1982	1.441	1.581	1.9	0.614	0.778	1.025	3.18	1.131	0.971
1983	1.116	0.85	1.591	0.592	0.641	0.803	1.216	0.901	0.697
1984	0.873	0.774	0.948	0.451	0.64	0.636	1.255	0.451	0.613
1985	0.634	0.541	1.163	0.337	0.696	0.57	1.114	0.396	0.629
1986	0.686	1.346	2.143	0.431	0.982	0.993	2.044	0.889	0.956
