# Dannenberg - Pammel State Park Update - QUAL - ITRDB IA042
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44564
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44564.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia042e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia042e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Dannenberg - Pammel State Park Update - QUAL - ITRDB IA042
#--------------------
# Investigators
#   Investigators: Dannenberg, M.P.; Martin, E.; Eckley, G.; Pearson, J.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia024
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 2001753
#--------------------
# Site_Information
#   Site_Name: Pammel State Park
#   Location: Iowa
#   Northernmost_Latitude: 41.292724
#   Southernmost_Latitude: 41.292724
#   Easternmost_Longitude: -94.06995839999999
#   Westernmost_Longitude: -94.06995839999999
#   Elevation_m: 340
#--------------------
# Data_Collection
#   Collection_Name: IA042
#   First_Year: 1783
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PAM02A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM04B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM04A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM06B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM03A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM02B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM07A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM06A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM05A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM07B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PAM05B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PAM05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PAM02A_raw	PAM04B_raw	PAM04A_raw	PAM06B_raw	PAM03A_raw	PAM02B_raw	PAM07A_raw	PAM06A_raw	PAM05A_raw	PAM07B_raw	PAM05B_raw
1783	NA	NA	NA	NA	NA	NA	0.333	NA	NA	NA	NA
1784	NA	NA	NA	NA	NA	NA	0.55	NA	NA	NA	NA
1785	NA	NA	NA	NA	NA	NA	0.412	NA	NA	NA	NA
1786	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA
1787	NA	NA	NA	NA	NA	NA	0.281	NA	NA	NA	NA
1788	NA	NA	NA	NA	NA	NA	0.328	NA	NA	NA	NA
1789	NA	NA	NA	NA	NA	NA	0.282	NA	NA	NA	NA
1790	NA	NA	NA	NA	NA	NA	0.345	NA	NA	NA	NA
1791	NA	NA	NA	NA	NA	NA	0.635	NA	NA	NA	NA
1792	NA	NA	NA	NA	NA	NA	0.187	NA	NA	NA	NA
1793	NA	NA	NA	NA	NA	NA	0.246	NA	NA	NA	NA
1794	NA	NA	NA	NA	NA	NA	0.51	NA	NA	NA	NA
1795	NA	NA	NA	0.49	NA	NA	0.501	NA	NA	NA	NA
1796	NA	NA	NA	0.288	NA	NA	0.168	NA	NA	NA	NA
1797	NA	NA	NA	0.4	NA	NA	0.239	NA	NA	NA	NA
1798	NA	NA	NA	0.348	NA	NA	0.266	NA	NA	NA	NA
1799	NA	NA	NA	0.285	NA	NA	0.247	NA	NA	NA	NA
1800	NA	NA	NA	0.325	NA	NA	0.21	NA	NA	NA	NA
1801	NA	NA	NA	0.285	NA	NA	0.187	NA	NA	NA	NA
1802	NA	NA	NA	0.31	NA	NA	0.254	NA	NA	NA	NA
1803	NA	NA	NA	0.358	NA	NA	0.443	NA	NA	NA	NA
1804	NA	NA	NA	0.426	NA	NA	0.303	NA	NA	0.265	NA
1805	NA	NA	NA	0.446	NA	NA	0.344	NA	NA	0.227	NA
1806	NA	NA	NA	0.424	0.449	NA	0.302	NA	NA	0.234	NA
1807	NA	NA	NA	0.363	0.503	NA	0.354	NA	NA	0.2	NA
1808	NA	NA	NA	0.434	0.46	NA	0.431	NA	NA	0.273	NA
1809	NA	NA	NA	0.297	0.397	NA	0.219	NA	NA	0.233	NA
1810	NA	NA	NA	0.433	0.438	NA	0.25	NA	NA	0.167	NA
1811	NA	NA	NA	0.482	0.509	NA	0.39	NA	NA	0.218	NA
1812	NA	NA	NA	0.23	0.481	NA	0.333	NA	NA	0.31	NA
1813	NA	NA	NA	0.403	0.313	NA	0.309	NA	NA	0.274	NA
1814	NA	NA	NA	0.315	0.326	NA	0.361	NA	NA	0.252	NA
1815	NA	NA	NA	0.463	0.405	NA	0.402	NA	NA	0.309	NA
1816	NA	NA	NA	0.368	0.684	NA	0.43	NA	NA	0.312	NA
1817	NA	NA	NA	0.339	0.438	NA	0.251	NA	NA	0.372	NA
1818	NA	NA	NA	0.307	0.378	NA	0.299	NA	NA	0.398	NA
1819	NA	NA	NA	0.27	0.408	NA	0.327	NA	NA	0.401	NA
1820	NA	NA	NA	0.228	0.32	NA	0.386	NA	NA	0.301	NA
1821	NA	NA	NA	0.199	0.253	NA	0.231	NA	NA	0.181	NA
1822	NA	NA	NA	0.391	0.336	NA	0.274	NA	NA	0.327	NA
1823	NA	NA	NA	0.297	0.436	NA	0.346	NA	NA	0.28	NA
1824	NA	NA	NA	0.277	0.356	NA	0.386	NA	NA	0.383	NA
1825	NA	NA	NA	0.194	0.338	NA	0.271	NA	NA	0.438	NA
1826	NA	NA	NA	0.303	0.377	NA	0.373	NA	NA	0.43	NA
1827	NA	NA	NA	0.182	0.314	NA	0.247	NA	NA	0.316	NA
1828	NA	NA	NA	0.187	0.304	NA	0.392	NA	NA	0.372	NA
1829	NA	NA	NA	0.2	0.28	NA	0.331	NA	NA	0.426	NA
1830	NA	NA	NA	0.254	0.371	NA	0.421	NA	NA	0.414	NA
1831	NA	NA	NA	0.272	0.364	NA	0.397	NA	NA	0.374	NA
1832	NA	NA	NA	0.264	0.318	NA	0.319	NA	NA	0.389	NA
1833	NA	NA	NA	0.347	0.404	NA	0.365	NA	NA	0.42	NA
1834	NA	NA	NA	0.463	0.496	NA	0.332	NA	NA	0.368	NA
1835	NA	NA	NA	0.317	0.335	NA	0.301	NA	NA	0.558	NA
1836	NA	NA	NA	0.217	0.421	NA	0.314	NA	NA	0.517	NA
1837	NA	NA	NA	0.314	0.227	NA	0.358	NA	NA	0.437	NA
1838	NA	NA	NA	0.243	0.267	NA	0.397	NA	NA	0.355	NA
1839	NA	NA	NA	0.236	0.223	0.528	0.384	NA	NA	0.207	NA
1840	NA	NA	NA	0.306	0.335	0.493	0.384	NA	NA	0.342	NA
1841	NA	NA	NA	0.234	0.34	0.496	0.332	NA	NA	0.291	NA
1842	0.52	NA	NA	0.332	0.406	0.6	0.344	NA	NA	0.402	NA
1843	0.441	NA	NA	0.361	0.372	0.657	0.354	NA	NA	0.378	NA
1844	0.418	NA	NA	0.314	0.354	0.51	0.197	NA	NA	0.401	NA
1845	0.469	NA	NA	0.288	0.33	0.629	0.335	NA	NA	0.302	NA
1846	0.482	NA	NA	0.21	0.368	0.64	0.234	NA	NA	0.349	NA
1847	0.346	NA	NA	0.184	0.393	0.502	0.324	NA	NA	0.461	NA
1848	0.551	NA	NA	0.266	0.454	0.633	0.268	NA	NA	0.446	NA
1849	0.45	NA	NA	0.222	0.3	0.483	0.275	NA	NA	0.369	NA
