# Maxwell - Lacey-Keosauqua State Park Update - QUAL - ITRDB IA044
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44566
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44566.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia044e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia044e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Maxwell - Lacey-Keosauqua State Park Update - QUAL - ITRDB IA044
#--------------------
# Investigators
#   Investigators: Maxwell, J.T.; Eckley, G.; Dannenberg, M.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia003
#--------------------
# Publication
#   Authors: Chen, Mengmeng; Yao Zheng; Xiufeng Zhai; Fangling Ma; Ji Chen; Carly Stevens; Wen‐Hao Zhang; Qiuying Tian
#   Published_Date_or_Year: 2024
#   Published_Title: Metal ions steer the duality in microbial community recovery from nitrogen enrichment by shaping functional groups
#   Journal_Name: Global Change Biology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.17475
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: USDA National Institute of Food and Agriculture
#   Grant: 2017-67013-26192
#--------------------
# Site_Information
#   Site_Name: Lacey-Keosauqua State Park
#   Location: Iowa
#   Northernmost_Latitude: 40.7166666666667
#   Southernmost_Latitude: 40.7166666666667
#   Easternmost_Longitude: -91.9666666666667
#   Westernmost_Longitude: -91.9666666666667
#   Elevation_m: 200
#--------------------
# Data_Collection
#   Collection_Name: IA044
#   First_Year: 1858
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## LKA09B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA04B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA02B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA10A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA04A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA08B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA03A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA03B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA06A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA08A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA05B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA02C_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA02C; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA01A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA07B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA09A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA07A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## LKA06B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: LKA06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	LKA09B_raw	LKA04B_raw	LKA02B_raw	LKA10A_raw	LKA04A_raw	LKA08B_raw	LKA03A_raw	LKA03B_raw	LKA06A_raw	LKA08A_raw	LKA05B_raw	LKA02C_raw	LKA01A_raw	LKA07B_raw	LKA09A_raw	LKA07A_raw	LKA06B_raw
1858	NA	NA	0.264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1859	NA	NA	0.449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1860	NA	NA	0.877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1861	NA	NA	0.586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1862	NA	NA	0.447	NA	NA	NA	NA	NA	NA	NA	NA	0.379	NA	NA	NA	NA	NA
1863	NA	NA	0.554	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	NA	NA	NA	NA
1864	NA	NA	0.534	NA	NA	NA	NA	NA	NA	NA	NA	0.35	NA	NA	NA	NA	NA
1865	NA	NA	0.403	NA	NA	NA	NA	NA	NA	NA	NA	0.235	NA	NA	NA	NA	NA
1866	NA	NA	0.392	NA	NA	NA	NA	NA	NA	NA	NA	0.301	NA	NA	NA	NA	NA
1867	NA	NA	0.287	NA	NA	NA	NA	NA	NA	NA	NA	0.261	NA	NA	NA	NA	NA
1868	NA	NA	0.355	NA	NA	NA	NA	NA	NA	NA	NA	0.319	NA	NA	NA	NA	NA
1869	NA	NA	0.357	NA	NA	NA	NA	NA	NA	NA	NA	0.266	NA	NA	NA	NA	NA
1870	NA	NA	0.465	NA	NA	NA	NA	NA	NA	NA	NA	0.401	NA	NA	NA	NA	NA
1871	NA	NA	0.307	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA
1872	NA	NA	0.319	NA	NA	NA	NA	NA	NA	NA	NA	0.315	NA	NA	NA	NA	NA
1873	NA	NA	0.403	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	NA	NA	NA	NA
1874	NA	NA	0.352	NA	NA	NA	NA	NA	NA	NA	NA	0.23	NA	NA	NA	NA	NA
1875	NA	NA	0.301	NA	NA	NA	NA	NA	NA	NA	NA	0.275	NA	NA	0.321	NA	NA
1876	NA	NA	0.221	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	NA	0.34	NA	NA
1877	NA	NA	0.306	NA	NA	NA	NA	NA	NA	NA	NA	0.271	NA	NA	0.33	NA	NA
1878	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA	NA	0.327	NA	NA	0.347	NA	NA
1879	NA	NA	0.384	NA	NA	NA	NA	NA	NA	NA	NA	0.268	NA	NA	0.281	NA	NA
1880	NA	NA	0.273	NA	NA	NA	NA	NA	NA	NA	NA	0.236	NA	NA	0.235	NA	NA
1881	NA	NA	0.392	NA	NA	NA	NA	NA	NA	NA	NA	0.228	NA	NA	0.235	NA	NA
1882	NA	NA	0.371	NA	NA	NA	NA	NA	NA	NA	NA	0.252	NA	NA	0.284	NA	NA
1883	NA	NA	0.381	0.14	NA	NA	NA	NA	NA	NA	NA	0.342	NA	NA	0.252	NA	NA
1884	NA	NA	0.336	0.214	NA	NA	NA	NA	NA	NA	NA	0.357	NA	NA	0.27	NA	NA
1885	NA	NA	0.587	0.24	NA	NA	NA	NA	NA	NA	NA	0.606	NA	NA	0.327	NA	NA
1886	0.345	NA	0.52	0.395	NA	NA	NA	NA	NA	NA	NA	0.982	NA	NA	0.329	NA	NA
1887	0.326	NA	0.996	0.313	NA	NA	NA	NA	NA	NA	NA	1.072	NA	NA	0.341	NA	NA
1888	0.381	NA	0.779	0.257	NA	NA	NA	NA	NA	NA	NA	0.602	NA	NA	0.274	NA	NA
1889	0.354	NA	0.785	0.38	NA	NA	NA	NA	NA	NA	NA	0.718	NA	NA	0.245	NA	NA
1890	0.31	NA	0.981	0.308	NA	NA	NA	NA	NA	NA	NA	0.831	NA	NA	0.382	NA	NA
1891	0.284	NA	0.755	0.406	NA	NA	NA	NA	NA	NA	NA	0.954	NA	NA	0.319	NA	NA
1892	0.271	NA	1.156	0.237	NA	NA	NA	NA	NA	NA	NA	1.298	NA	NA	0.299	NA	NA
1893	0.395	NA	0.94	0.46	NA	NA	NA	NA	NA	NA	NA	1.279	NA	NA	0.422	NA	NA
1894	0.318	NA	0.912	0.316	NA	NA	NA	NA	NA	NA	NA	0.785	NA	NA	0.5	NA	NA
1895	0.816	NA	0.644	0.598	NA	NA	NA	NA	NA	NA	NA	1.292	NA	NA	0.546	NA	NA
1896	0.515	NA	0.608	0.712	NA	NA	NA	NA	NA	NA	NA	1.602	NA	NA	0.817	NA	NA
1897	0.658	NA	0.616	0.755	NA	NA	NA	NA	NA	NA	NA	2.904	NA	NA	0.823	NA	NA
1898	0.627	NA	0.686	0.869	NA	NA	NA	NA	NA	0.632	NA	0.982	NA	NA	0.779	NA	NA
1899	0.773	NA	0.512	0.797	NA	NA	NA	NA	NA	0.52	NA	1.091	NA	0.665	0.583	0.484	NA
1900	0.64	0.285	0.454	0.788	NA	NA	NA	NA	NA	0.518	NA	0.708	NA	0.478	1.077	0.475	NA
1901	0.632	0.344	0.624	0.776	NA	NA	NA	NA	NA	0.405	NA	0.531	0.478	0.418	0.717	0.715	NA
1902	0.638	0.489	0.62	0.781	NA	NA	NA	NA	NA	0.561	NA	0.507	0.434	0.651	0.638	0.521	NA
1903	0.846	0.543	0.905	1.032	0.383	NA	NA	0.566	NA	0.643	NA	0.702	0.441	0.733	0.7	0.609	NA
1904	0.69	0.57	0.694	1.026	0.579	NA	NA	0.65	NA	0.552	NA	0.747	0.388	0.472	0.889	0.522	NA
1905	0.654	0.364	0.753	1.154	0.484	0.639	NA	0.579	NA	0.452	0.551	0.951	0.383	0.573	0.964	0.519	NA
1906	0.735	0.434	0.771	1.023	0.546	0.402	NA	0.624	NA	0.572	0.36	0.651	0.429	0.469	0.686	0.593	NA
1907	0.706	0.584	0.907	1.102	0.368	0.536	NA	0.539	0.481	0.516	0.411	0.67	0.453	0.388	0.754	0.611	NA
1908	0.652	0.589	0.629	1.048	0.472	0.496	NA	0.745	0.688	0.42	0.278	0.624	0.308	0.385	0.815	0.443	NA
1909	0.603	1.122	0.729	0.765	0.798	0.58	NA	0.705	0.455	0.545	0.525	0.836	0.356	0.63	0.669	0.616	NA
1910	0.305	0.638	0.739	0.883	0.823	0.49	NA	0.826	0.452	0.417	0.589	0.846	0.263	0.565	0.666	0.681	NA
1911	0.536	0.655	0.752	0.743	0.651	0.399	NA	0.696	0.39	0.556	0.512	1.289	0.152	0.591	0.559	0.603	NA
1912	0.566	0.75	0.715	0.674	0.631	0.477	0.713	0.619	0.387	0.417	0.459	0.732	0.235	0.736	0.538	0.683	NA
1913	0.55	0.813	0.928	0.776	0.783	0.457	0.722	0.989	0.582	0.571	0.474	0.82	0.267	0.822	0.506	0.567	NA
