# Maxwell - Palisades Kepler State Park Update - QUAL - ITRDB IA045
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44567
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44567.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia045e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia045e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Maxwell - Palisades Kepler State Park Update - QUAL - ITRDB IA045
#--------------------
# Investigators
#   Investigators: Maxwell, J.T.; Eckley, G.; Dannenberg, M.P.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia005
#--------------------
# Publication
#   Authors: Mohanbabu, Neha; Forest Isbell; Sarah E. Hobbie; Peter B. Reich
#   Published_Date_or_Year: 2024
#   Published_Title: Species interactions amplify functional group responses to elevated CO<sub>2</sub> and N enrichment in a 24‐year grassland experiment
#   Journal_Name: Global Change Biology
#   Volume: 
#   Edition:
#   Issue:
#   Pages: 
#   DOI: 10.1111/gcb.17476
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: USDA National Institute of Food and Agriculture
#   Grant: 2017-67013-26193
#--------------------
# Site_Information
#   Site_Name: Palisades Kepler State Park
#   Location: Iowa
#   Northernmost_Latitude: 41.9
#   Southernmost_Latitude: 41.9
#   Easternmost_Longitude: -91.5
#   Westernmost_Longitude: -91.5
#   Elevation_m: 230
#--------------------
# Data_Collection
#   Collection_Name: IA045
#   First_Year: 1860
#   Last_Year: 2018
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PKA003B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA02A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA03A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA002B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA002B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA001B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA001B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA003A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA06B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA002A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA002A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA04B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA05A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA08A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA07A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA04A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA06A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA07B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA01A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA02B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA03B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKA08B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKA08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PKP001A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: PKP001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PKA003B_raw	PKA02A_raw	PKA03A_raw	PKA002B_raw	PKA001B_raw	PKA003A_raw	PKA06B_raw	PKA002A_raw	PKA04B_raw	PKA05A_raw	PKA08A_raw	PKA07A_raw	PKA04A_raw	PKA06A_raw	PKA07B_raw	PKA01A_raw	PKA02B_raw	PKA03B_raw	PKA08B_raw	PKP001A_raw
1860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.492	NA	NA
1861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.535	NA	NA
1862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA
1863	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.586	NA	NA
1864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.491	NA	NA
1865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.524	NA	NA
1866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.451	NA	NA
1867	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.353	NA	NA
1868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.355	NA	NA
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.301	NA	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.462	NA	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.349	NA	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.317	NA	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.337	NA	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.27	NA	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277	NA	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.388	NA	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.448	NA	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.527	NA	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.53	NA	NA
1880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.578	NA	NA
1881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA
1882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.425	NA	NA
1883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.342	NA	NA
1884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.616	0.616	NA	NA
1885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.399	0.465	NA	NA
1886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.513	0.41	NA	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424	0.328	NA	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.389	0.34	NA	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.564	0.389	NA	NA
1890	0.664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.621	0.38	NA	NA
1891	0.687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.639	0.424	NA	NA
1892	0.666	NA	NA	NA	NA	NA	NA	NA	0.088	NA	NA	NA	NA	NA	NA	NA	0.652	0.358	NA	NA
1893	0.703	NA	NA	NA	NA	NA	NA	NA	0.159	NA	NA	NA	NA	NA	NA	NA	0.713	0.587	NA	NA
1894	0.649	NA	NA	NA	NA	NA	NA	NA	0.235	NA	NA	NA	NA	NA	NA	NA	0.759	0.47	NA	NA
1895	0.758	NA	NA	NA	NA	NA	NA	NA	0.184	NA	NA	NA	NA	NA	NA	NA	0.704	0.646	0.449	NA
1896	0.63	NA	NA	NA	NA	NA	NA	NA	0.445	NA	NA	NA	NA	NA	NA	NA	0.314	0.433	0.305	NA
1897	0.667	NA	NA	NA	NA	NA	NA	NA	0.238	0.655	NA	NA	NA	NA	NA	NA	0.562	0.483	0.357	NA
1898	0.629	NA	NA	NA	NA	NA	NA	NA	0.588	0.654	NA	NA	NA	NA	NA	NA	0.802	0.573	0.389	NA
1899	0.71	NA	NA	NA	NA	NA	NA	NA	0.582	0.545	0.387	NA	NA	NA	0.495	NA	0.853	0.451	0.39	NA
1900	0.709	0.824	NA	NA	NA	NA	NA	NA	0.371	0.596	0.503	NA	NA	0.27	0.332	NA	0.65	0.394	0.5	NA
1901	0.587	0.915	NA	NA	NA	NA	NA	NA	0.429	0.573	0.447	NA	NA	0.32	0.267	NA	1.029	0.495	0.283	NA
1902	0.721	0.545	NA	NA	NA	NA	NA	NA	0.363	0.744	1.202	0.368	0.266	0.668	0.287	NA	0.623	0.534	0.533	NA
1903	0.684	0.774	NA	NA	NA	NA	NA	NA	0.548	0.423	1.457	0.485	0.337	1.055	0.433	NA	0.9	0.475	0.689	NA
1904	0.908	0.869	NA	NA	NA	NA	NA	NA	0.404	0.542	0.645	0.504	0.287	0.793	0.357	0.641	0.716	0.449	0.518	NA
1905	0.529	0.926	NA	NA	NA	NA	NA	NA	0.387	0.657	0.761	0.465	0.414	0.788	0.454	0.591	0.762	0.732	0.879	NA
1906	0.577	0.963	0.568	NA	NA	NA	0.717	NA	0.477	0.413	0.612	0.403	0.469	0.658	0.481	0.656	1.017	0.463	0.629	NA
1907	0.868	1.193	0.88	NA	NA	NA	0.743	NA	0.536	0.588	0.588	0.552	0.312	0.676	0.446	0.662	1.018	0.631	1.012	NA
1908	0.558	0.897	0.649	NA	NA	NA	0.858	NA	0.487	0.471	0.453	0.559	0.591	0.532	0.34	0.871	0.75	0.58	0.678	NA
1909	0.779	0.891	0.681	NA	NA	NA	1.051	NA	0.531	0.531	0.653	0.585	0.601	0.611	0.516	0.7	0.553	0.944	0.728	NA
1910	0.68	0.855	0.805	NA	NA	NA	0.697	NA	0.574	0.476	0.472	0.56	0.563	0.555	0.748	0.903	0.556	0.854	0.468	NA
1911	0.528	0.709	0.516	NA	NA	NA	0.673	NA	0.52	0.514	0.543	0.61	0.698	0.522	0.598	0.744	0.835	0.798	0.557	NA
1912	0.755	0.877	0.806	NA	NA	NA	0.734	NA	0.686	0.544	0.509	0.695	0.638	0.661	0.619	0.801	0.689	0.932	0.441	NA
