# Harris - Saylorville Dam Update - QUAL - ITRDB IA046
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44568
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44568.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia046e-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ia046e.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Harris - Saylorville Dam Update - QUAL - ITRDB IA046
#--------------------
# Investigators
#   Investigators: Harris, V.; Dannenberg, M.P.; Long, K.; Johnston, M.; Kraus, E.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ia021
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 2001753
#--------------------
# Site_Information
#   Site_Name: Saylorville Dam
#   Location: Iowa
#   Northernmost_Latitude: 41.710275
#   Southernmost_Latitude: 41.710275
#   Easternmost_Longitude: -93.703309
#   Westernmost_Longitude: -93.703309
#   Elevation_m: 268
#--------------------
# Data_Collection
#   Collection_Name: IA046
#   First_Year: 1869
#   Last_Year: 2020
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Quercus alba L.
#   Common_Name: white oak
#   Tree_Species_Code: QUAL
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## SVL01A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL01A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL01B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL01B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL02A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL02A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL02B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL02B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL03A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL03A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL03B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL03B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL04A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL04A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL04B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL04B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL05A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL05A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL05B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL05B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL06A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL06A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL06B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL06B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL07A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL07A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL07B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL07B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL08A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL08A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL08B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL08B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL09A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL09A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL09B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL09B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL10A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL10A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL10B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL10B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL11A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL11A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL11B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL11B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL12A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL12A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL12B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL12B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL14A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL14A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL14B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL14B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL15A_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL15A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## SVL15B_raw	earlywood width,,,millimeter,,tree ring,,,N,Tree ID: SVL15B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	SVL01A_raw	SVL01B_raw	SVL02A_raw	SVL02B_raw	SVL03A_raw	SVL03B_raw	SVL04A_raw	SVL04B_raw	SVL05A_raw	SVL05B_raw	SVL06A_raw	SVL06B_raw	SVL07A_raw	SVL07B_raw	SVL08A_raw	SVL08B_raw	SVL09A_raw	SVL09B_raw	SVL10A_raw	SVL10B_raw	SVL11A_raw	SVL11B_raw	SVL12A_raw	SVL12B_raw	SVL14A_raw	SVL14B_raw	SVL15A_raw	SVL15B_raw
1869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1873	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.328	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1874	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.282	NA	0.239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.336	NA	0.225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1876	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.207	NA	0.233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1877	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.235	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1878	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.177	NA	0.209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1879	NA	NA	NA	NA	NA	NA	NA	NA	0.282	0.254	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1880	NA	NA	NA	NA	NA	NA	NA	NA	0.288	0.193	NA	0.2	NA	NA	NA	0.365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1881	NA	NA	NA	NA	NA	NA	NA	NA	0.2	0.23	NA	0.202	NA	NA	NA	0.337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1882	NA	NA	NA	NA	NA	NA	NA	NA	0.288	0.234	NA	0.176	NA	NA	NA	0.318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1883	NA	NA	NA	NA	NA	NA	NA	NA	0.396	0.207	NA	0.167	NA	NA	NA	0.312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1884	NA	NA	NA	NA	NA	NA	NA	NA	0.276	0.29	NA	0.261	NA	NA	NA	0.289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1885	NA	NA	NA	NA	NA	NA	NA	NA	0.306	0.288	NA	0.266	NA	NA	NA	0.434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1886	NA	NA	NA	NA	NA	NA	NA	NA	0.36	0.282	NA	0.267	NA	NA	NA	0.464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1887	NA	NA	NA	NA	NA	NA	NA	NA	0.352	0.437	NA	0.397	NA	NA	NA	0.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1888	NA	NA	NA	NA	NA	NA	NA	NA	0.509	0.64	NA	0.278	NA	NA	NA	0.443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1889	NA	NA	NA	NA	NA	NA	NA	NA	0.491	0.3	NA	0.28	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1890	NA	NA	NA	NA	NA	NA	NA	NA	0.422	0.648	NA	0.309	NA	0.267	NA	0.383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1891	NA	NA	NA	NA	NA	NA	NA	NA	0.558	0.596	NA	0.321	NA	0.381	NA	0.297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1892	NA	NA	NA	NA	NA	NA	NA	NA	0.498	0.712	NA	0.395	NA	0.487	NA	0.592	NA	NA	NA	NA	NA	NA	NA	1.081	NA	NA	NA	NA
1893	NA	NA	NA	NA	NA	NA	NA	NA	0.614	0.726	NA	0.302	NA	0.465	NA	0.529	NA	NA	NA	NA	NA	NA	NA	0.796	NA	NA	NA	NA
1894	NA	NA	NA	NA	NA	NA	NA	NA	0.565	0.544	NA	0.37	NA	0.357	NA	0.448	NA	NA	NA	NA	NA	NA	NA	0.652	NA	NA	NA	NA
1895	NA	NA	NA	NA	NA	NA	NA	NA	0.765	0.767	NA	0.37	NA	0.478	NA	0.701	NA	NA	NA	NA	NA	NA	NA	0.819	NA	NA	NA	NA
1896	NA	NA	NA	NA	NA	NA	NA	NA	0.757	0.723	NA	0.45	NA	0.788	NA	0.64	NA	NA	NA	NA	NA	NA	NA	1.006	NA	NA	NA	0.841
1897	NA	NA	NA	NA	NA	NA	NA	NA	0.604	0.883	NA	0.689	NA	1.084	NA	0.785	NA	NA	1.018	NA	NA	NA	NA	1.21	NA	NA	NA	1.068
1898	NA	NA	NA	NA	NA	NA	NA	NA	0.606	0.774	NA	0.667	NA	0.836	NA	1.196	NA	NA	0.799	NA	NA	NA	NA	0.942	NA	NA	NA	0.712
1899	NA	NA	NA	NA	NA	NA	NA	NA	0.65	0.75	NA	0.699	NA	0.797	0.979	1.204	NA	NA	0.546	NA	NA	NA	0.932	0.848	NA	NA	NA	0.732
1900	NA	NA	NA	NA	NA	NA	NA	NA	0.708	0.649	NA	0.62	NA	0.968	0.886	1.109	NA	NA	0.905	NA	NA	NA	1.062	0.887	NA	NA	NA	1.052
1901	NA	NA	NA	NA	NA	NA	NA	NA	0.594	1.04	NA	0.839	NA	1.195	1.119	0.665	NA	NA	1.209	NA	NA	NA	0.992	1.158	NA	NA	NA	1.434
1902	NA	NA	NA	NA	NA	NA	NA	NA	0.506	0.828	NA	1.005	NA	1.4	0.976	1.146	NA	NA	1.221	NA	NA	NA	1.087	1.021	NA	NA	NA	1.065
1903	NA	NA	NA	NA	NA	NA	NA	NA	0.663	0.889	NA	1.033	NA	1.513	1.344	0.945	NA	NA	1.215	NA	NA	NA	1.248	1.317	NA	NA	NA	1.475
1904	NA	NA	NA	NA	NA	NA	NA	NA	0.942	0.833	NA	1.649	NA	0.93	1.084	0.895	NA	NA	0.92	NA	NA	NA	1.007	1.052	NA	NA	NA	0.627
1905	NA	NA	NA	NA	NA	NA	NA	NA	0.732	1.146	NA	1.346	NA	1.06	0.786	1.117	NA	NA	1.472	NA	NA	NA	1.309	0.742	NA	NA	NA	0.939
1906	NA	NA	NA	NA	NA	NA	NA	NA	0.643	0.792	NA	0.988	NA	1.217	1.037	1.128	NA	NA	1.089	NA	NA	NA	0.997	0.706	NA	NA	NA	0.944
1907	NA	NA	NA	NA	NA	NA	NA	NA	1.127	0.993	NA	1.617	NA	1.348	1.262	1.154	NA	NA	1.602	NA	NA	NA	1.343	1.158	NA	NA	NA	1.143
1908	NA	NA	NA	NA	NA	NA	NA	NA	0.832	1.332	NA	1.248	NA	1.771	1.185	1.72	0.797	NA	1.178	NA	NA	1.442	1.266	0.916	NA	NA	1.059	0.962
1909	NA	NA	NA	NA	NA	NA	NA	NA	0.783	0.843	NA	1.666	1.226	1.469	1.253	1.251	0.802	1.147	1.154	NA	NA	1.365	1.595	0.854	NA	NA	1.036	0.837
1910	NA	NA	NA	NA	NA	1.203	NA	NA	0.905	0.949	1.363	1.229	1.072	1.096	1.12	1.241	0.745	1.129	1.113	NA	NA	1.292	1.062	0.88	NA	NA	0.757	1.503
1911	NA	NA	NA	NA	NA	1.227	NA	NA	0.831	1.043	1.114	1.119	0.858	1.352	1.123	1.163	0.483	1.131	1.239	NA	NA	1.508	1.236	0.805	NA	NA	0.833	1.211
1912	NA	NA	NA	NA	NA	0.987	NA	NA	1.066	1.127	0.995	0.798	1.224	1.287	1.013	1.535	0.667	1.114	1.01	NA	NA	1.29	1.286	0.761	NA	NA	1.129	1.17
1913	NA	NA	NA	NA	NA	1	NA	NA	0.96	0.91	1.587	1.588	1.663	1.293	1.481	2.182	0.657	1.392	1.643	NA	NA	1.583	1.421	1.08	NA	NA	1.245	1.198
