# Dannenberg - Niobrara Valley Preserve Update - PIPO - ITRDB NE010
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44570
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44570.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ne010l-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/ne010l.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2026-03-27
#--------------------
# File_Last_Modified_Date
#   Date: 2026-03-27
#--------------------
# Title
#   Study_Name: Dannenberg - Niobrara Valley Preserve Update - PIPO - ITRDB NE010
#--------------------
# Investigators
#   Investigators: Dannenberg, M.P.; Kraus, E.; Griffin, M.; Wise, E.K.
#--------------------
# Description_Notes_and_Keywords
#   Description: this is an update of ne004
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant: 2001753
#--------------------
# Site_Information
#   Site_Name: Niobrara Valley Preserve
#   Location: Nebraska
#   Northernmost_Latitude: 42.80370233333333
#   Southernmost_Latitude: 42.80370233333333
#   Easternmost_Longitude: -100.01150424999999
#   Westernmost_Longitude: -100.01150424999999
#   Elevation_m: 758
#--------------------
# Data_Collection
#   Collection_Name: NE010
#   First_Year: 1898
#   Last_Year: 2020
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Pinus ponderosa Douglas ex C. Lawson
#   Common_Name: ponderosa pine
#   Tree_Species_Code: PIPO
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## NVP001A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP001A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP001B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP001B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP003A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP003A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP003B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP003B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP004B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP004B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP005B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP005B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP006A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP006A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP006B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP006B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP007A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP007A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP007B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP007B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP008A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP008A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP008B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP008B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP010A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP010A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP010B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP010B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP012A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP012A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP011A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP011A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP011B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP011B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP009A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP009A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP009B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP009B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP004A_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP004A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## NVP012B_raw	latewood width,,,millimeter,,tree ring,,,N,Tree ID: NVP012B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	NVP001A_raw	NVP001B_raw	NVP003A_raw	NVP003B_raw	NVP004B_raw	NVP005B_raw	NVP006A_raw	NVP006B_raw	NVP007A_raw	NVP007B_raw	NVP008A_raw	NVP008B_raw	NVP010A_raw	NVP010B_raw	NVP012A_raw	NVP011A_raw	NVP011B_raw	NVP009A_raw	NVP009B_raw	NVP004A_raw	NVP012B_raw
1898	NA	NA	NA	NA	0.559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.253	NA
1899	NA	NA	NA	NA	0.269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.301	NA
1900	NA	NA	NA	NA	0.337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.123	NA
1901	NA	NA	NA	NA	0.448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.337	NA
1902	NA	NA	NA	NA	0.566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.642	NA
1903	NA	NA	NA	NA	0.298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.241	NA
1904	NA	NA	NA	NA	0.489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.588	NA
1905	NA	NA	NA	NA	0.818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.725	NA
1906	NA	NA	NA	NA	0.929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.805	NA
1907	NA	NA	NA	NA	0.552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.204	NA
1908	NA	NA	NA	NA	0.433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.443	NA
1909	0.232	NA	NA	NA	0.512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.278	NA
1910	0.244	NA	0.2	NA	0.672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.706	NA
1911	0.241	NA	0.564	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.483	NA
1912	0.126	NA	0.534	NA	0.145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.184	NA
1913	0.199	NA	0.175	0.23	0.092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111	NA
1914	0.371	NA	0.241	0.317	0.177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.113	NA
1915	0.434	NA	0.345	0.287	0.628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.722	NA
1916	0.199	0.29	0.443	0.27	0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.941	NA
1917	0.203	0.146	0.206	0.262	0.492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.455	NA
1918	0.166	0.228	0.106	0.11	0.377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.232	NA
1919	0.593	1.159	0.127	0.084	0.265	NA	NA	NA	NA	NA	0.216	NA	NA	NA	NA	NA	NA	NA	NA	0.321	NA
1920	0.319	0.32	0.396	0.337	0.551	NA	NA	NA	NA	NA	0.149	NA	0.111	NA	NA	NA	NA	NA	NA	0.629	NA
1921	0.206	0.228	0.454	0.212	0.627	NA	NA	NA	NA	NA	0.18	NA	0.214	NA	NA	NA	NA	NA	NA	0.937	0.494
1922	0.725	0.714	0.205	0.222	0.35	NA	NA	NA	NA	NA	0.154	NA	0.196	NA	NA	NA	NA	NA	NA	0.581	0.453
1923	0.256	0.182	0.463	0.236	0.596	NA	NA	NA	NA	NA	0.212	NA	0.26	NA	NA	1.117	1.392	NA	NA	0.644	0.709
1924	0.158	0.096	0.315	0.215	0.395	NA	NA	NA	NA	NA	0.262	NA	0.24	NA	0.534	0.193	0.165	NA	NA	0.536	0.399
1925	0.108	0.072	0.17	0.086	0.745	NA	NA	NA	NA	NA	0.251	NA	0.087	NA	0.559	0.319	0.099	NA	NA	0.206	0.57
1926	0.203	0.236	0.127	0.05	0.283	NA	NA	NA	NA	NA	0.096	NA	0.064	NA	0.27	0.101	0.092	NA	NA	0.122	0.778
1927	0.558	0.163	0.216	0.292	0.509	NA	NA	NA	NA	NA	0.144	NA	0.133	0.106	0.618	0.274	0.107	NA	NA	0.512	0.574
1928	0.128	0.207	0.103	0.065	0.257	NA	NA	NA	NA	NA	0.124	NA	0.137	0.159	0.481	0.48	0.353	NA	NA	0.254	0.381
1929	0.324	0.267	0.221	0.308	0.459	NA	NA	NA	NA	NA	0.148	NA	0.068	0.099	0.306	0.485	0.581	NA	NA	0.568	0.39
1930	0.289	0.303	0.681	0.366	0.347	NA	NA	NA	0.237	NA	0.205	NA	0.097	0.151	0.764	0.471	0.249	NA	NA	0.386	0.649
1931	0.289	0.174	0.461	0.127	0.34	NA	NA	NA	0.325	NA	0.08	NA	0.166	0.259	0.66	0.104	0.138	NA	NA	0.396	0.546
1932	0.401	0.286	0.146	0.046	0.324	NA	NA	NA	0.267	NA	0.096	NA	0.082	0.098	0.277	0.201	0.185	NA	NA	0.407	0.316
1933	0.243	0.318	0.312	0.151	0.283	NA	NA	NA	0.107	NA	0.068	NA	0.077	0.127	0.306	0.184	0.131	NA	NA	0.419	0.126
1934	0.106	0.062	0.047	0.067	0.113	NA	NA	NA	0.171	NA	0.075	NA	0.086	0.162	0.118	0.047	0.079	NA	NA	0.135	0.1
1935	0.199	0.139	0.103	0.049	0.163	NA	NA	NA	0.089	NA	0.149	NA	0.145	0.171	0.12	0.099	0.104	NA	NA	0.112	0.116
1936	0.115	0.143	0.091	0.037	0.094	NA	NA	NA	0.085	NA	0.878	NA	0.106	0.081	0.117	0.058	0.09	NA	NA	0.094	0.095
1937	0.155	0.158	0.1	0.061	0.2	NA	NA	NA	0.114	NA	0.165	0.472	0.109	0.081	0.088	0.108	0.086	NA	NA	0.146	0.064
1938	0.327	0.323	0.136	0.099	0.198	0.294	NA	NA	0.151	NA	0.167	0.479	0.212	0.164	0.33	0.206	0.272	NA	NA	0.144	0.331
1939	0.257	0.179	0.065	0.063	0.104	0.4	NA	NA	0.077	NA	0.218	0.281	0.185	0.163	0.321	0.132	0.147	NA	NA	0.093	0.266
1940	0.323	0.296	0.099	0.061	0.172	0.299	NA	NA	0.102	NA	0.175	0.204	0.213	0.131	0.475	0.115	0.126	NA	NA	0.168	0.12
1941	0.332	0.413	0.159	0.048	0.206	0.415	NA	NA	0.236	NA	0.315	0.483	0.186	0.201	0.295	0.07	0.16	NA	NA	0.119	0.1
1942	0.474	0.433	0.161	0.062	0.33	0.358	NA	NA	0.283	NA	0.247	0.318	0.105	0.273	0.589	0.148	0.147	NA	NA	0.316	0.496
1943	0.093	0.27	0.333	0.058	0.141	0.253	NA	NA	0.369	NA	0.144	0.604	0.104	0.186	0.449	0.149	0.147	NA	NA	0.215	0.31
1944	0.335	0.45	0.376	0.25	0.432	0.368	NA	NA	0.805	NA	0.646	0.645	0.462	0.622	0.435	0.379	0.396	NA	NA	0.271	0.528
1945	0.274	0.182	0.177	0.248	0.238	0.697	0.339	NA	0.302	NA	0.392	0.514	0.189	0.288	0.423	0.163	0.209	NA	NA	0.42	0.481
