# Prom - Platteville Mound Ash - FRSP - ITRDB WI071
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# Data License: CC0
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/44760
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-44760.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi071-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wi071.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/wi071.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2026-05-26
#--------------------
# File_Last_Modified_Date
#   Date: 2026-05-26
#--------------------
# Title
#   Study_Name: Prom - Platteville Mound Ash - FRSP - ITRDB WI071
#--------------------
# Investigators
#   Investigators: Prom, Kiersten; Riser, James P.;Larson, Evan
#--------------------
# Description_Notes_and_Keywords
#   Description: Prom, K. Platte Mound Ash. TREES Lab contribution, Department of Environmental Sciences & Society, University of Wisconsin-Platteville. Platte Mound M, 18600 W Mound Road, Platteville, WI 53818
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation:
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Platteville Mound Ash
#   Location: Wisconsin
#   Northernmost_Latitude: 42.7653
#   Southernmost_Latitude: 42.7653
#   Easternmost_Longitude: -90.4044
#   Westernmost_Longitude: -90.4044
#   Elevation_m: 426
#--------------------
# Data_Collection
#   Collection_Name: WI071
#   First_Year: 1943
#   Last_Year: 2019
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Fraxinus spp. L.
#   Common_Name: ash
#   Tree_Species_Code: FRSP
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## PMA2B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA2B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA3A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA3A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA3B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA3B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RJM4_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RJM4; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA5A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA5A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA5B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA5B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RJM6A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RJM6A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## RJM6B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: RJM6B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA7A_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA7A; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA7B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA7B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## PMA9B_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: PMA9B; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	PMA2B_raw	PMA3A_raw	PMA3B_raw	RJM4_raw	PMA5A_raw	PMA5B_raw	RJM6A_raw	RJM6B_raw	PMA7A_raw	PMA7B_raw	PMA9B_raw
1943	NA	NA	NA	NA	NA	NA	NA	NA	0.56	0.552	NA
1944	NA	1.04	1.892	NA	NA	0.717	NA	NA	1.024	1.183	NA
1945	NA	1.43	1.461	NA	1.432	1.486	NA	NA	0.873	0.946	0.431
1946	NA	2.154	2.215	NA	2.104	2.446	1.729	3.131	0.883	1.053	1.014
1947	NA	2.08	2.391	1.844	2.484	2.349	1.64	1.872	2.05	2.327	0.817
1948	1.024	2.024	2.907	1.637	2.95	2.195	1.265	1.033	1.527	1.857	0.52
1949	1.35	2.625	3.314	1.668	3.919	2.859	1.866	1.656	1.946	2.26	1.562
1950	0.98	3.352	3.358	1.821	4.969	2.946	1.73	1.781	1.722	2.403	1.257
1951	1.928	3.67	4.228	1.924	5.91	3.031	1.358	1.472	2.464	2.655	2.639
1952	1.502	3.399	4.248	2.423	4.586	2.768	2.48	2.388	2.288	1.947	3.068
1953	2.056	2.856	4.411	2.776	4.189	3.016	2.643	2.757	1.939	1.966	2.797
1954	2.007	2.515	4.096	3.068	3.366	3.367	2.884	2.233	2.071	2.539	1.955
1955	1.72	1.794	3.456	3.271	2.632	2.777	2.325	2.051	2.05	2.361	2.52
1956	1.909	2.218	4.867	3.762	4.025	3.736	2.118	1.798	2.378	1.918	3.592
1957	2.647	2.924	4.192	3.583	3.955	2.87	2.925	2.487	2.814	2.186	3.049
1958	2.718	2.876	4.645	3.499	4.157	3.045	1.746	1.831	3.198	3.063	2.866
1959	3.883	2.604	3.905	3.156	3.94	3.372	2.226	1.67	2.856	3.063	2.965
1960	3.718	3.794	4.92	3.238	5.187	4.204	2.26	2.553	3.541	3.06	3.314
1961	2.583	4.032	5.376	3.833	5.171	4	3.195	2.469	3.731	2.661	2.882
1962	1.515	1.905	3.283	2.289	2.876	2.82	2.612	1.936	4.128	2.954	2.661
1963	1.681	2.997	3.638	3.36	4.128	3.302	2.904	1.999	3.207	1.826	2.978
1964	1.486	2.29	2.995	3.421	3.499	3.067	2.376	1.81	3.165	2.255	2.698
1965	1.529	2.831	3.698	4.468	3.105	3.113	2.62	1.892	2.388	1.564	2.509
1966	0.972	2.598	2.814	3.922	2.856	2.598	2.557	2.238	2.507	1.768	2.974
1967	1.023	2.125	2.891	3.6	2.749	3.034	2.753	2.626	1.62	1.318	2.181
1968	1.729	1.551	2.941	3.427	2.406	2.449	2.337	2.678	2.186	1.549	2.88
1969	2.343	1.22	2.028	3.714	1.502	2.147	2.188	2.445	2.401	1.418	2.934
1970	1.849	1.719	2.551	3.043	2.189	2.363	2.329	2.602	1.427	0.872	2.326
1971	2.234	1.162	1.935	2.462	2.007	1.657	1.369	1.548	1.74	1.457	2.574
1972	1.949	1.49	2.527	3.686	2.151	1.892	1.062	1.633	1.119	0.817	2.316
1973	1.891	1.553	2.272	2.884	1.974	1.986	1.853	1.762	1.57	1.112	2.558
1974	1.22	1.388	1.976	3	1.784	1.834	1.524	1.485	1.199	0.805	2.516
1975	1.384	1.517	2.061	1.638	1.763	2.049	2.006	1.717	2.017	1.071	2.936
1976	1.211	0.851	1.365	1.484	1.346	1.474	3.228	2.608	1.314	1.503	2.281
1977	1.049	1.592	2.205	1.57	2.055	2.013	3.313	2.449	1.163	1.242	2.569
1978	1.248	1.776	2.683	1.701	2.284	2.017	3.9	2.975	2.61	2.036	2.326
1979	1.324	1.798	2.535	2.147	2.334	2.375	4.798	4.409	2.495	2.383	4.133
1980	1.419	1.881	3.025	1.803	2.57	2.416	3.929	3.475	3.384	2.742	2.724
1981	1.303	1.266	2.241	1.569	2.145	1.65	3.589	2.862	4.095	3.071	4.421
1982	2.221	2.134	2.947	1.861	2.735	2.168	3.044	3.169	5.063	3.046	4.704
1983	1.545	1.298	1.555	1.698	1.617	1.669	3.148	3.4	4.416	2.647	3.935
1984	1.381	1.328	2.076	1.928	2	1.578	2.887	3.064	3.873	2.609	3.04
1985	1.436	0.731	1.183	1.852	1.196	0.937	3.14	3.007	2.987	3.131	3.97
1986	2.097	0.66	0.699	1.858	0.89	0.552	2.859	2.423	3.582	3.394	3.025
1987	1.244	0.651	0.814	1.242	0.898	0.521	2.618	2.093	2.588	1.881	2.334
1988	1.03	0.604	0.648	1.562	0.757	0.511	1.608	1.409	1.893	1.271	2.23
1989	1.425	0.642	0.868	2.308	0.855	0.7	2.033	2.138	2.152	1.475	3.837
1990	1.373	0.956	1.24	2.651	1.104	0.901	2.546	2.879	3.509	3.462	4.073
1991	2.217	0.585	1.178	2.151	0.964	0.592	1.77	1.64	2.893	2.61	2.262
1992	2.249	1.165	1.267	2.577	1.496	1.286	2.505	2.456	2.522	2.171	2.278
1993	1.593	1.52	1.71	2.837	1.88	1.633	3.69	4.297	4.09	4.307	2.925
1994	1.185	1.151	1.528	2.079	1.431	1.077	2.124	2.529	2.197	3.046	2.521
1995	1.31	1.15	1.353	2.132	1.352	1.078	2.214	1.958	1.922	2.314	2.654
1996	1.548	1.482	1.548	2.52	1.872	1.65	3.162	3.08	3.952	2.514	3.069
1997	2.956	1.699	1.927	3.264	2.158	1.445	4.375	3.935	3.903	2.799	4.099
1998	2.431	0.806	0.986	3.42	1.06	0.803	4.321	3.642	4.356	4.976	2.8
1999	2.291	1.008	1.295	3.139	1.17	1.326	2.632	2.449	4.665	5.5	3.516
2000	1.785	0.885	1.251	2.038	1.197	1.028	3.579	2.858	2.439	2.229	2.811
2001	3.295	0.996	1.292	2.854	1.277	1.174	2.807	3.073	2.31	1.975	1.76
2002	3.897	1.074	1.319	2.974	1.29	1.302	4.736	5.052	3.395	3.716	1.004
2003	1.885	0.919	1.083	2.694	0.984	1.095	2.688	2.566	4.034	4.013	0.912
2004	1.658	0.86	1.127	1.827	1.07	1.198	3.022	2.476	1.867	1.676	0.76
2005	1.765	0.993	1.201	1.756	1.099	1.205	3.769	3.356	2.639	1.982	0.747
2006	3.164	1.148	1.498	2.604	1.236	1.462	3.871	3.156	2.929	2.309	0.644
2007	5.21	1.406	2.5	2.922	1.876	1.801	4.95	3.387	3.508	4.22	0.922
2008	8.836	1.328	1.726	2.532	1.407	1.585	5.293	2.939	4.126	5.902	1.098
2009	9.539	1.913	2.433	2.419	2.156	2.8	4.336	3.183	5.621	7.663	0.96
2010	5.611	1.396	1.824	2.106	1.585	1.817	2.924	2.439	6.621	7.382	0.799
2011	4.904	1.233	1.258	2.486	1.344	1.369	2.809	2.29	1.927	3.193	0.781
2012	5.3	0.787	0.831	1.443	0.8	0.896	2.162	1.717	2.005	2.422	0.832
2013	7.441	1.847	1.977	1.946	1.661	2.004	2.475	2.405	2.074	2.406	1.533
2014	7.173	1.32	1.305	1.879	1.264	1.698	2.773	2.553	2.663	3.004	1.083
2015	9.995	1.292	1.175	2.147	1.368	2.106	2.939	2.679	3.332	4.113	0.881
2016	8.461	2.138	1.644	2.893	1.633	4.079	3.44	2.851	2.882	3.238	0.879
2017	7.908	1.324	1.438	2.573	1.427	2.019	2.262	2.156	2.849	5.044	0.721
2018	7.467	1.32	1.406	3.491	1.626	NA	2.034	1.655	1.505	2.656	NA
2019	NA	NA	NA	NA	NA	NA	NA	NA	2.125	2.921	NA
