# Aragão - Fazenda São Pedro - ASPY - ITRDB BRA017
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/40447
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-40447.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords:
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra017-rwl-noaa.txt
#   Data_Download_Description: RWL File; Raw Measurements - NOAA Template File
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/southamerica/bra017.rwl
#   Related_Online_Description: RWL File; Raw Measurements - Tucson Decadal File
#
# Supplemental_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/correlation-stats/bra017.txt
#   Supplemental_Description: Text File; Correlation Stats
#--------------------
# Contribution_Date
#   Date: 2025-01-14
#--------------------
# File_Last_Modified_Date
#   Date: 2025-01-14
#--------------------
# Title
#   Study_Name: Aragão - Fazenda São Pedro - ASPY - ITRDB BRA017
#--------------------
# Investigators
#   Investigators: Aragão, José Roberto Vieira; Lisi, Claudio Sergio
#--------------------
# Description_Notes_and_Keywords
#   Description: Tropical Tree Ring Network SiteID = ASPYR_BRA_02
#--------------------
# Publication
#   Authors:
#   Published_Date_or_Year:
#   Published_Title:
#   Journal_Name:
#   Volume:
#   Edition:
#   Issue:
#   Pages:
#   DOI:
#   Full_Citation: Pieter A. ZUIDEMA, Peter GROENENDIJK, Mizanur RAHMAN, Valerie TROUET,, Abrham ABIYU, Rodolfo ACUÑA-SOTO,, Eduardo ADENESKY-FILHO, Raquel ALFARO-SÁNCHEZ,, Claudio Roberto ANHOLETTO JUNIOR, José Roberto Vieira ARAGÃO, Gabriel ASSIS-PEREIRA,, Claudia C. ASTUDILLO-SÁNCHEZ, Ana Carolina BARBOSA, Giovanna BATTIPAGLIA, Hans BEECKMAN, Paulo Cesar BOTOSSO, Nils BOURLAND, Achim BRÄUNING, Roel BRIENEN, Matthew BROOKHOUSE, Supaporn BUAJAN, Brendan M. BUCKLEY, J. Julio CAMARERO, Artemio CARRILLO-PARRA, Gregório CECCANTINI, Librado R. CENTENO-ERGUERA, Julián CERANO-PAREDES, Wirong CHANTHORN, Ya-Jun CHEN, Bruno Barçante Ladvocat CINTRA,, Eladio Heriberto CORNEJO-OVIEDO, Otoniel CORTÉS-CORTÉS, Clayane Matos COSTA, Camille COURALET, Doris Bianca CRISPÍN-DE-LA-CRUZ,, Rosanne D'ARRIGO, Diego A. DAVID, Maaike DE RIDDER, Jorge Ignacio DEL VALLE, Mário DOBNER JR, Jean-Louis DOUCET, Oliver DÜNISCH, Brian J. ENQUIST,, Karin ESEMANN-QUADROS,, Gerardo ESQUIVEL-ARRIAGA, Ze-Xin FAN, Adeline FAYOLLE,, Tatiele Anete Bergamo FENILLI, M. Eugenia FERRERO,, Esther FICHTLER, Patrick M. FINNEGAN, Claudia FONTANA, Kainana S. FRANCISCO, Pei-Li FU, Franklin GALVÃO, Aster GEBREKIRSTOS, Jorge A. GIRALDO, Emanuel GLOOR, Milena GODOY-VEIGA, Daniela GRANATO-SOUZA, Anthony GUERRA, Kristof HANECA, Grant Logan HARLEY, Ingo HEINRICH,, Gerhard HELLE, Bruna HORNINK,, Wannes HUBAU, Janet G. INGA, Mahmuda ISLAM,, Yu-mei JIANG, Mark KAIB, Zakia Hassan KHAMISI, Marcin KOPROWSKI,, Eva LAYME, A. Joshua LEFFLER, Gauthier LIGOT, Claudio Sergio LISI, Neil J. LOADER, Francisco de Almeida LOBO, Giuliano Maselli LOCOSSELLI,, Tomaz LONGHI-SANTOS, Lidio LOPEZ, María I. LÓPEZ-HERNÁNDEZ, José Luís Penetra Cerveira LOUSADA, Rubén D. MANZANEDO,, Amanda K. MARCON, Justin T. MAXWELL, Omar N. MENDOZA-VILLA, Ítallo Romany Nunes MENEZES,, Mulugeta MOKRIA,, Valdinez Ribeiro MONTÓIA, Eddy MOORS,, Miyer MORENO, Miguel Angel MUÑIZ-CASTRO, Cristina NABAIS, Anuttara NATHALANG, Justine NGOMA, Francisco de Carvalho NOGUEIRA JR., Juliano Morales OLIVEIRA,, Gabriela Morais OLMEDO, Daigard Ricardo ORTEGA-RODRIGUEZ, Carmen Eugenia Rodríguez ORTÍZ, Mariana Alves PAGOTTO, Shankar PANTHI, Kathelyn PAREDES-VILLANUEVA,, Gonzalo PÉREZ-DE-LIS, Laura Patricia PONCE CALDERÓN, Leif Armando PORTAL-CAHUANA,, Darwin Alexander PUCHA-COFREP, Nathsuda PUMIJUMNONG, Paulo QUADRI, Jorge Andrés RAMÍREZ, Edilson Jimmy REQUENA-ROJAS, Judith REYES-FLORES, Adauto de Souza RIBEIRO, Iain ROBERTSON, Fidel Alejandro ROIG,, José Guilherme ROQUETTE, Ernesto Alonso RUBIO-CAMACHO, Raúl SÁNCHEZ-SALGUERO, Ute SASS-KLAASSEN,, Jochen SCHÖNGART, Marcelo Callegari SCIPIONI, Paul R. SHEPPARD, Lucas C.R. SILVA, Franziska SLOTTA, Leroy SORIA-DÍAZ, Luciana K.V.S. SOUSA, James H. SPEER, Matthew D. THERRELL, Ginette TICSE-OTAROLA,, Mario TOMAZELLO-FILHO, Max C.A. TORBENSON, Pantana TOR-NGERN,, Ramzi TOUCHAN, Jan VAN DEN BULCKE, Lorenzo VÁZQUEZ-SELEM, Adín H. VELÁZQUEZ-PÉREZ, Alejandro VENEGAS-GONZÁLEZ, Ricardo VILLALBA, Jose VILLANUEVA-DIAZ, Mart VLAM, George VOURLITIS, Christian WEHENKEL, Tommy WILS,, Erika S. ZAVALETA, Eshetu Asfaw ZEWDU, Yong-Jiang ZHANG, Zhe-Kun ZHOU, Flurin BABST. Pantropical tree rings show small effects of drought on growth. Science, in revision.
#   Abstract:
#--------------------
# Funding_Agency
#   Funding_Agency_Name: 
#   Grant: 
#--------------------
# Site_Information
#   Site_Name: Fazenda São Pedro
#   Location: Brazil
#   Northernmost_Latitude: -10.005048
#   Southernmost_Latitude: -10.005048
#   Easternmost_Longitude: -37.395754
#   Westernmost_Longitude: -37.395754
#   Elevation_m: 139.0
#--------------------
# Data_Collection
#   Collection_Name: BRA017
#   First_Year: 1975
#   Last_Year: 2015
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords: width
#   Notes:
#--------------------
# Species
#   Species_Name: Aspidosperma pyrifolium Mart.
#   Common_Name: Aspidosperma pyrifolium
#   Tree_Species_Code: ASPY
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## APF02a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF02a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF02b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF02b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF03a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF03a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF03b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF03b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF05a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF05a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF05b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF05b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF06a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF06a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF06b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF06b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF07a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF07a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF07b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF07b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF08a_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF08a; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
## APF08b_raw	total ring width,,,millimeter,,tree ring,,,N,Tree ID: APF08b; units are 0.01 mm if end-of-series marker is 999 and 0.001 mm if end-of-series marker is -9999
#---------------------
# Data:
# Missing_Values: NA
age_CE	APF02a_raw	APF02b_raw	APF03a_raw	APF03b_raw	APF05a_raw	APF05b_raw	APF06a_raw	APF06b_raw	APF07a_raw	APF07b_raw	APF08a_raw	APF08b_raw
1975	NA	NA	NA	NA	NA	NA	NA	NA	1.59	NA	NA	NA
1976	NA	NA	NA	NA	NA	NA	NA	NA	1.24	NA	NA	NA
1977	NA	NA	NA	NA	NA	NA	NA	NA	2.21	NA	NA	NA
1978	NA	NA	NA	NA	1.21	NA	NA	NA	2.11	NA	NA	NA
1979	NA	NA	NA	NA	1.04	NA	NA	NA	1.16	NA	NA	NA
1980	NA	NA	NA	NA	1.35	NA	NA	NA	2.66	NA	NA	NA
1981	NA	NA	NA	NA	0.91	NA	NA	1.65	2.51	NA	NA	NA
1982	NA	NA	NA	NA	0.87	0.75	NA	1.32	1.92	NA	NA	NA
1983	NA	1.31	NA	NA	0.8	0.64	NA	0.76	1.06	NA	1.65	NA
1984	2.15	2.21	1.3	NA	1.39	0.75	1.46	1.19	2.04	NA	3.39	NA
1985	1.14	1.25	0.95	NA	0.68	0.65	0.8	1.14	1.19	NA	2.39	NA
1986	3.1	2.57	1.74	NA	2.44	1.3	2.06	2.16	2.77	NA	4.09	NA
1987	0.54	0.59	1.08	NA	0.76	0.75	1.02	1.26	0.71	1.28	1.66	NA
1988	1.78	2.39	1.66	NA	2.44	1.5	2.06	2.2	1.94	2.65	2.68	NA
1989	3.68	3.86	2.19	1.71	3.65	2.25	2.55	2.47	2.01	3.43	3.19	NA
1990	1.22	1.79	1.1	1.28	0.58	0.89	0.86	0.81	1.46	2.03	0.87	NA
1991	1.61	1.84	2.23	1.71	3.26	1.8	2.07	2.42	2.58	2.27	3.72	NA
1992	2.78	2.86	2.14	1.57	2.81	1.7	1.93	2.25	2.36	2.59	2.82	NA
1993	1.91	1.29	1	0.9	0.58	0.75	0.66	1.05	1.3	0.7	2.06	NA
1994	2.67	2.57	1.95	1.9	1.65	2.79	2.58	2.92	2.17	2.74	3.75	NA
1995	2.34	2.2	1.4	0.93	1.28	1.21	1.72	2.42	1.7	1.77	1.23	NA
1996	2.39	1.79	1.54	1	1.34	1.28	1.89	2.51	1.83	1.77	1.66	1.96
1997	3.41	2.83	2.58	2.29	2.53	3.1	2.07	3	2.33	3.33	3.67	2.32
1998	2.26	1.66	0.92	1.43	1.15	1.62	1.2	1.26	1.32	1.07	1.28	0.83
1999	2.73	2.11	1.97	1.52	2.55	2.29	2.03	1.75	2.21	2.62	1.96	2.31
2000	0.77	0.81	1.28	0.82	1.71	1.77	0.76	0.94	1.26	1.65	1.49	1.91
2001	1.62	2.15	1.85	1.2	2.06	2.66	0.85	1.3	1.41	2.21	2.38	2.38
2002	2.77	3.28	2.14	2.7	2.54	3.1	1.61	1.96	2.23	2.84	2.77	2.7
2003	2.23	2.01	1.83	1.59	1.19	0.71	1.02	1.4	1.85	1.85	1.79	1.41
2004	2.56	3.05	2.73	2.11	2.26	3.31	1.65	2.55	1.92	2.23	2.89	2.47
2005	4.86	4.73	3.25	3.07	3.36	4.28	2.68	3.32	3	3.93	3.89	3.38
2006	0.9	0.68	2.28	1.64	2.26	2.5	1.85	1.25	1.81	1.39	2.37	2.1
2007	3.12	3.13	2.52	2.39	3.05	3.42	2.47	2.55	3.41	2.56	3.74	3.51
2008	2	1.47	0.9	0.97	1.43	1.53	1.02	1.02	1.04	1.8	1.38	2.01
2009	2.47	2.89	1.68	2.72	2.56	1.85	2.26	2.63	2.18	2.37	3.43	3.06
2010	2.35	2.6	0.91	NA	1.96	1.2	1.47	2.38	1.79	1.99	3.14	2.21
2011	2.98	2.14	NA	NA	1.83	0.96	0.92	2.04	1.62	1.45	2.11	1.48
2012	1.19	1.18	NA	NA	0.94	0.57	0.68	1.28	0.81	0.92	1.08	0.92
2013	1.62	2.14	NA	NA	1.45	1.38	1.9	NA	2	1.67	1.33	2.7
2014	NA	2.04	NA	NA	1.21	1.26	0.94	NA	1.51	1.51	NA	1.21
2015	NA	0.94	NA	NA	0.64	0.66	NA	NA	0.53	0.57	NA	NA
